Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR24516459_1	1.8205560272273176	38.009356016286304
SRR24516459_2	1.7090223510032092	36.82315452074888
SRR24516460_1	2.81375807860794	36.4156538044565
SRR24516460_2	2.4533530826312075	32.80803191441248
SRR24516461_1	2.0075214620575683	35.84747116243189
SRR24516461_2	2.4784023148192196	30.947518794039766
SRR24516462_1	1.9652053190731964	31.18901932554407
SRR24516462_2	2.5179965668087934	28.15677580628574
SRR24516463_1	1.7577102107776232	31.091539503082707
SRR24516463_2	2.4611716981309164	27.76852547544633
SRR24516464_1	1.3182281792075496	27.159569912821617
SRR24516464_2	1.3440824943001308	24.0182429082205
