Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR24516459_1	(1, 0.003383080208153007)	(2, 0.0031761364720159883)	(3, 0.0026632759085459846)	(4, 0.002807236768467389)	(5, 0.003095158488310198)	(6, 0.025849971909637205)	(7, 0.0027982392147223012)	(8, 0.004687725501190736)	(9, 0.0027172612310165114)	(10, 0.0026632759085459846)	(11, 0.0027982392147223012)	(12, 0.0027982392147223012)	(13, 0.0030411731658396713)	(14, 0.0037699750191917823)	(15, 0.0027532514459968622)	(16, 0.0028612220909379157)	(17, 0.0030321756120945836)	(18, 0.003320097331937393)	(19, 0.0029062098596633547)	(20, 0.002780244107232126)	(21, 0.0031401462570356375)	(22, 0.0032751095632119536)	(23, 0.006631197110129697)	(24, 0.0036530068205056407)	(25, 0.0037159896967212556)	(26, 0.0030142621387710504)	(27, 0.002375419162506384)	(28, 0.0017185797728739368)	(29, 0.0012326988023746278)	(30, 0.0020964896305643355)	(31, 0.001151719936263099)	(32, 0.0012237028727054783)	(33, 0.001061743726916634)	(34, 0.0004408940575669073)	(35, 0.0005488688038898062)	(36, 0.000800810312061382)	(37, 0.0005668663385860247)	(38, 0.0008368041208913818)	(39, 0.0007738205355413973)	(40, 0.0005128828062787653)	(41, 0.0007828245768405757)	(42, 0.00013497048330500603)	(43, 0.00032393131684288983)	(44, 0.0005398897545121287)	(45, 5.398928150794222e-05)	(46, 0.0004679108115202161)	(47, 0.00020696233906316067)	(48, 0.0003149458922957036)	(49, 0.0010168386683768753)	(50, 8.99872128170587e-05)	(51, 0.00045894254957164465)	(52, 0.00010798872705678255)	(53, 0.0002789772298784973)	(54, 3.599805646493146e-05)	(55, 0.001043976239100798)	(56, 0.00030600325281457744)	(57, 0.0005580261714274399)	(58, 0.0010260911579384711)	(59, 0.0005490728454944117)	(60, 0.0007921487259232921)	(61, 0.0005131276045727051)	(62, 0.00036911856826649857)	(63, 0.0002791143754887878)	(64, 0.0008374242558765122)	(65, 0.00026116206673213127)	(66, 0.00046834602340901503)	(67, 0.0008287084794532541)	(68, 0.0001261248762399652)	(69, 0.0002703178072396155)	(70, 0.00014420597083019649)	(71, 0.00018939110399321222)	(72, 3.613753693595064e-05)	(73, 9.116801636356493e-05)	(74, 0.0)	(75, 0.0)
SRR24516459_2	(1, 0.1440238427976202)	(2, 0.062128108609831166)	(3, 0.024563321724089652)	(4, 0.011057993552712888)	(5, 0.003967921201583713)	(6, 0.0008187773908029884)	(7, 0.00046787279474456484)	(8, 0.0010617113419203587)	(9, 0.0019794618239193126)	(10, 0.001511589029174748)	(11, 0.0017455254265470303)	(12, 0.002222395775036683)	(13, 0.0012956477392926412)	(14, 0.0019524691626840493)	(15, 0.002096430022605454)	(16, 0.0028882147521731793)	(17, 0.0024293395111737023)	(18, 0.002177408006311244)	(19, 0.003464058191858798)	(20, 0.0016555498890961525)	(21, 0.0021144251300956292)	(22, 0.0029152074134084424)	(23, 0.002366356634958088)	(24, 0.0027082636772714237)	(25, 0.0028162343222124767)	(26, 0.0018535042432200658)	(27, 0.003122165757309647)	(28, 0.001754531189266228)	(29, 0.003626031776994907)	(30, 0.0016735546336408957)	(31, 0.001970476326211546)	(32, 0.0027262762009314144)	(33, 0.0026273060233869827)	(34, 0.0015925807690383583)	(35, 0.0011876885286833529)	(36, 0.001196688430200313)	(37, 0.0023663864433229754)	(38, 0.0027892813137766924)	(39, 0.00148462054583469)	(40, 0.0016375867549823801)	(41, 0.002033494900201739)	(42, 0.002663350435462295)	(43, 0.0020965020807558205)	(44, 0.0021685007894332647)	(45, 0.0009447876873109074)	(46, 0.0025284500115534867)	(47, 0.0008728174502302843)	(48, 0.0015386936922466843)	(49, 0.0023215664706772656)	(50, 0.001475747263523649)	(51, 0.002294644605443509)	(52, 0.0032125660465784278)	(53, 0.0047244676942248915)	(54, 0.002195811489583619)	(55, 0.0035278044537991257)	(56, 0.005057879420154623)	(57, 0.004761051038467132)	(58, 0.006543332204976047)	(59, 0.003627337269819348)	(60, 0.003474501301047715)	(61, 0.0030336159757238705)	(62, 0.004429209085496159)	(63, 0.0016385863681318358)	(64, 0.0030703861258165)	(65, 0.006501678909994431)	(66, 0.0046834762634217625)	(67, 0.0030536422250080327)	(68, 0.0039999978378390064)	(69, 0.005640744920738973)	(70, 0.0071481387301390135)	(71, 0.007448174249359457)	(72, 0.007269284965464116)	(73, 0.004547033572935471)	(74, 0.010050616658623184)	(75, 0.00031297098220684855)
SRR24516460_1	(1, 0.0033688748087355937)	(2, 0.0029443042848949436)	(3, 0.002492044379064686)	(4, 0.0026950998469884753)	(5, 0.002981223460881087)	(6, 0.02476353729270575)	(7, 0.002575112525033509)	(8, 0.004310313796382253)	(9, 0.002565882731036973)	(10, 0.0025381933490473654)	(11, 0.0026120317010196524)	(12, 0.0026581806710023314)	(13, 0.002713559434981547)	(14, 0.0034150237787182736)	(15, 0.002575112525033509)	(16, 0.002547423143043901)	(17, 0.002787397786953834)	(18, 0.0032027385167979483)	(19, 0.0027781679929572978)	(20, 0.0026028019070231164)	(21, 0.002787397786953834)	(22, 0.0031012107828360534)	(23, 0.0065162345615543266)	(24, 0.0033781046027321297)	(25, 0.003553470688666311)	(26, 0.002584408154841492)	(27, 0.0022059771643520363)	(28, 0.0015414154328728348)	(29, 0.0013106653454175447)	(30, 0.002252130016573462)	(31, 0.0010983754934151928)	(32, 0.0010429961791265637)	(33, 0.001162987963443781)	(34, 0.0003968932305521394)	(35, 0.000627645688101813)	(36, 0.0006553371488108215)	(37, 0.0005445766945357636)	(38, 0.0008307117455164409)	(39, 0.0008399442018605595)	(40, 0.0004799694001047072)	(41, 0.000766107478971965)	(42, 0.00014768390107024678)	(43, 0.0002953691107783696)	(44, 0.0006368927020403642)	(45, 7.384302744597644e-05)	(46, 0.0004799825138678025)	(47, 6.461354362641853e-05)	(48, 0.0003138403695267278)	(49, 0.0011722993960350434)	(50, 4.61541031966978e-05)	(51, 0.00034154607013399315)	(52, 3.692463911934736e-05)	(53, 0.00023078408616333088)	(54, 4.6157946399730955e-05)	(55, 0.0008770251086749508)	(56, 0.00023080428461381088)	(57, 0.0004246939595316512)	(58, 0.0011264090384538502)	(59, 0.0006647958818111108)	(60, 0.0006278944317398418)	(61, 0.0004340125475797798)	(62, 0.00037863161978514594)	(63, 0.00028630505045803265)	(64, 0.000840515274656377)	(65, 0.00021245768743502144)	(66, 0.00035105755163594666)	(67, 0.0007853433858518634)	(68, 0.00018480689573666201)	(69, 0.00028649865830829936)	(70, 0.000120174896998558)	(71, 0.00026825066526164985)	(72, 3.7057373986631365e-05)	(73, 8.40114849300665e-05)	(74, 0.0)	(75, 0.0)
SRR24516460_2	(1, 0.14245264054253468)	(2, 0.060815112643174865)	(3, 0.024994282142619145)	(4, 0.01123265929378416)	(5, 0.0039411220365208185)	(6, 0.0006460855797575111)	(7, 0.00034150237787182735)	(8, 0.0008122218716951569)	(9, 0.0015967543614007062)	(10, 0.0012737115715219505)	(11, 0.00131986054150463)	(12, 0.001753660859341816)	(13, 0.0011352646615739124)	(14, 0.001735201271348744)	(15, 0.0017167416833556725)	(16, 0.0027689381989607622)	(17, 0.002122852619203251)	(18, 0.0016521331253799216)	(19, 0.0030735214008464455)	(20, 0.001449077657456132)	(21, 0.0018459587993071747)	(22, 0.0027781679929572978)	(23, 0.002141312207196323)	(24, 0.0022612995291512892)	(25, 0.0027412488169711543)	(26, 0.0017721261720607144)	(27, 0.0028427859967315346)	(28, 0.001569070627468575)	(29, 0.0037842309067552585)	(30, 0.0016429104583341753)	(31, 0.002049024290629175)	(32, 0.002593587194140154)	(33, 0.0024828315429256654)	(34, 0.0014583192962409513)	(35, 0.001070665590340086)	(36, 0.0012091156242197859)	(37, 0.0022797858404255134)	(38, 0.002538226381549697)	(39, 0.0014491001272808328)	(40, 0.001393723720577777)	(41, 0.0019844469203368245)	(42, 0.0027320833252186152)	(43, 0.0018644686365916184)	(44, 0.0022429097055317996)	(45, 0.000867631706954622)	(46, 0.0026582896084690155)	(47, 0.0005630440932751767)	(48, 0.0014676201459386704)	(49, 0.0022060681828293314)	(50, 0.0014953428378062547)	(51, 0.002049204350257761)	(52, 0.003498478438803535)	(53, 0.004366264816453489)	(54, 0.002132408735675475)	(55, 0.0036741145337816365)	(56, 0.005049769307705247)	(57, 0.004329823622003628)	(58, 0.006508833456401063)	(59, 0.003693106880636662)	(60, 0.003619407818714942)	(61, 0.002908614114627097)	(62, 0.004432437873150092)	(63, 0.001625343238322786)	(64, 0.0034356539420942697)	(65, 0.006299286490348837)	(66, 0.005145474195169776)	(67, 0.0030118675898010033)	(68, 0.004167181789471019)	(69, 0.005591126724781731)	(70, 0.0069612106183145105)	(71, 0.007134273410340922)	(72, 0.007199307309891265)	(73, 0.004619998991659449)	(74, 0.009718274707610261)	(75, 0.0003011276444735156)
SRR24516461_1	(1, 0.01472672959113133)	(2, 0.014352235436580226)	(3, 0.013866405182027438)	(4, 0.014068834454757765)	(5, 0.014362356900216741)	(6, 0.03637654030963987)	(7, 0.013937255427483053)	(8, 0.015890697909330714)	(9, 0.013927133963846535)	(10, 0.013896769572936988)	(11, 0.013987862745665634)	(12, 0.0140283486002117)	(13, 0.014119441772940349)	(14, 0.014767215445677396)	(15, 0.013987862745665634)	(16, 0.014048591527484732)	(17, 0.014159927627486413)	(18, 0.01450405739112797)	(19, 0.01413968470021338)	(20, 0.013937255427483053)	(21, 0.014321871045670675)	(22, 0.014564786172947068)	(23, 0.017732804291176695)	(24, 0.015010130572953789)	(25, 0.015050616427499854)	(26, 0.0029761266056405494)	(27, 0.002378877190211983)	(28, 0.0019638404337131475)	(29, 0.00130585411362267)	(30, 0.002034707246625043)	(31, 0.0011641391686872074)	(32, 0.0012147563745353051)	(33, 0.001133776403703764)	(34, 0.00045553751402043234)	(35, 0.0007288634902458325)	(36, 0.0008098520116926434)	(37, 0.0006175154095402689)	(38, 0.0008098612758250842)	(39, 0.0008301146145322293)	(40, 0.00040493740173940863)	(41, 0.0007491443556629644)	(42, 8.09895546758965e-05)	(43, 0.00029359091042541327)	(44, 0.000597314534596306)	(45, 9.11172985381343e-05)	(46, 0.0005770874417065752)	(47, 0.00019236682368861763)	(48, 0.00035436984081808)	(49, 0.0011137696455043346)	(50, 7.08789701083132e-05)	(51, 0.0003442853890951451)	(52, 0.00012151920884514018)	(53, 0.0002531798374869005)	(54, 0.00010127877621208666)	(55, 0.0010837638002633445)	(56, 0.0003342745694847431)	(57, 0.0006280896693229457)	(58, 0.001509594537091447)	(59, 0.0005775601468097098)	(60, 0.0007600523767293852)	(61, 0.0006385377606906424)	(62, 0.00037507985652891366)	(63, 0.00040556993526292694)	(64, 0.0009025947164133604)	(65, 0.00030432265992612264)	(66, 0.00042617060948891184)	(67, 0.0007612171435844315)	(68, 0.00020305151914516934)	(69, 0.0004164000267714749)	(70, 0.00016257428247586406)	(71, 0.00031527390182980905)	(72, 5.094975956298965e-05)	(73, 0.00010277404622344948)	(74, 0.0)	(75, 0.0)
SRR24516461_2	(1, 0.14316810313852418)	(2, 0.06218627258275663)	(3, 0.024858314691284227)	(4, 0.011730776354722482)	(5, 0.004281379118246428)	(6, 0.0008502029454673757)	(7, 0.0005769234272814336)	(8, 0.0012246971000184818)	(9, 0.0023178151727622507)	(10, 0.001417004909112293)	(11, 0.001497976618204424)	(12, 0.0020242927273032753)	(13, 0.0011639683181993835)	(14, 0.0019028351636650792)	(15, 0.002044535654576308)	(16, 0.002783402500042004)	(17, 0.0023178151727622507)	(18, 0.0021659932182145052)	(19, 0.003917006427331838)	(20, 0.001659920036388686)	(21, 0.0021457502909414724)	(22, 0.00315789665459311)	(23, 0.0025000015182195454)	(24, 0.0026821878636768405)	(25, 0.002692309327313357)	(26, 0.0017307814933911476)	(27, 0.0029858517187574644)	(28, 0.0014473797012385624)	(29, 0.003502053711584824)	(30, 0.001589084909766293)	(31, 0.0020243154701325918)	(32, 0.002631613840223995)	(33, 0.002692350203100373)	(34, 0.0014777627077471203)	(35, 0.0011336307764561082)	(36, 0.0012652180426165924)	(37, 0.0023077670531839087)	(38, 0.0029150895155161715)	(39, 0.0017308471889675194)	(40, 0.0014879322620356007)	(41, 0.0022268630948862316)	(42, 0.0029455617672155938)	(43, 0.0019940980770315024)	(44, 0.0023888980215875403)	(45, 0.0009009118442576486)	(46, 0.0029760967802378267)	(47, 0.0006782404176017357)	(48, 0.0014982403268593491)	(49, 0.00234866308428056)	(50, 0.0016299476250245756)	(51, 0.0024804618073171196)	(52, 0.0037158126254403165)	(53, 0.0051538129660011365)	(54, 0.0022884743420003395)	(55, 0.003513963905210874)	(56, 0.005478998119113621)	(57, 0.005287025204626613)	(58, 0.007222227118075107)	(59, 0.004254753141755307)	(60, 0.003910797742963122)	(61, 0.0031614824434368235)	(62, 0.004661886543869872)	(63, 0.001905623393270595)	(64, 0.0034673322051999643)	(65, 0.007169533922492572)	(66, 0.005305143646147122)	(67, 0.0033989875684312587)	(68, 0.004587372445419655)	(69, 0.005756495372518856)	(70, 0.0074663230735896036)	(71, 0.0074541890254202076)	(72, 0.00784390506674501)	(73, 0.005055945063958221)	(74, 0.010609731002252796)	(75, 0.00018764285214248444)
SRR24516462_1	(1, 0.0040937245378244325)	(2, 0.0038959600673981317)	(3, 0.003332331326683173)	(4, 0.0035399840206307895)	(5, 0.003876183620355501)	(6, 0.025897257402324125)	(7, 0.0034114371148536936)	(8, 0.005161652678126459)	(9, 0.0034312135618963235)	(10, 0.0033718842207684334)	(11, 0.003470766455981584)	(12, 0.0035696486911947346)	(13, 0.0035696486911947346)	(14, 0.004133277431909693)	(15, 0.0034509900089389543)	(16, 0.0035202075735881596)	(17, 0.0037080838204931453)	(18, 0.0038860718438768166)	(19, 0.003648754479365255)	(20, 0.003391660667811064)	(21, 0.0036784191499292)	(22, 0.004054171643739172)	(23, 0.007396391193943661)	(24, 0.004212383220080214)	(25, 0.004232159667122843)	(26, 0.0029171248777650513)	(27, 0.002472140460296732)	(28, 0.0018194959185443321)	(29, 0.001255848223128037)	(30, 0.0019876028955319873)	(31, 0.000929526191823156)	(32, 0.0010481896281834063)	(33, 0.0010185257976268347)	(34, 0.000444987615005813)	(35, 0.0006625377708333271)	(36, 0.0007812033379335332)	(37, 0.0005735422015812954)	(38, 0.0008108716128186935)	(39, 0.0008800947970872225)	(40, 0.00045488203128955497)	(41, 0.0007713250613005648)	(42, 5.933296691929985e-05)	(43, 0.000266999671293738)	(44, 0.000583447476426497)	(45, 7.91119603340542e-05)	(46, 0.0005142313526855732)	(47, 0.0002373394015744107)	(48, 0.0004351266253091995)	(49, 0.0008801514572539115)	(50, 6.922630603585152e-05)	(51, 0.00035602800911906405)	(52, 0.00012856825109893713)	(53, 0.00028681301976824126)	(54, 3.956146902811713e-05)	(55, 0.0011176472042747532)	(56, 0.0002868398282442672)	(57, 0.000741852530399633)	(58, 0.0012760398686292224)	(59, 0.0006429954646067598)	(60, 0.0006727085789832584)	(61, 0.00048477854722356437)	(62, 0.000326508707690408)	(63, 0.0003661209123218587)	(64, 0.0008807579426800752)	(65, 0.0002474311940861173)	(66, 0.0004157365386488484)	(67, 0.0009899695297278445)	(68, 0.00015841610822513267)	(69, 0.00047533906281952315)	(70, 0.00020802385657210762)	(71, 0.00023790038635022743)	(72, 7.942649306418077e-05)	(73, 5.002743504537888e-05)	(74, 0.0)	(75, 0.0)
SRR24516462_2	(1, 0.14297382389469437)	(2, 0.06160363253779279)	(3, 0.024720558803287638)	(4, 0.011559333296417298)	(5, 0.004301377231772049)	(6, 0.0007613932111412593)	(7, 0.0004251936114165473)	(8, 0.001067928140302026)	(9, 0.0017601037867940798)	(10, 0.001433792410590683)	(11, 0.001453568857633313)	(12, 0.001977644704263011)	(13, 0.0011668103755151764)	(14, 0.0017601037867940798)	(15, 0.002294067856945093)	(16, 0.00269948502131901)	(17, 0.002175409174689312)	(18, 0.0018392095749646)	(19, 0.0032037844209060777)	(20, 0.0015821157634104087)	(21, 0.001997421151305641)	(22, 0.0028082554800534752)	(23, 0.0021259680570827368)	(24, 0.0022545149628598327)	(25, 0.002620379233148489)	(26, 0.0015030165145917193)	(27, 0.002926927765103763)	(28, 0.0015524587683761182)	(29, 0.0036586618770497775)	(30, 0.0016315659156585236)	(31, 0.0019183273135101565)	(32, 0.0027192797527769287)	(33, 0.002739060395490656)	(34, 0.0015129127099796765)	(35, 0.00104816267959427)	(36, 0.0012953740610144916)	(37, 0.0023534293123773967)	(38, 0.002946736064608276)	(39, 0.00164147480776204)	(40, 0.0015228180440094415)	(41, 0.0019678029855427787)	(42, 0.002600674019553311)	(43, 0.0019282640293816018)	(44, 0.002185377353359696)	(45, 0.0008899772541591109)	(46, 0.002630394385116635)	(47, 0.000533993745153265)	(48, 0.0015327730108537138)	(49, 0.0023634590637517864)	(50, 0.00140424784974548)	(51, 0.001948182691672498)	(52, 0.0035305304350018965)	(53, 0.004292118414602222)	(54, 0.0020373211521308252)	(55, 0.0036395943157844553)	(56, 0.004915598092787502)	(57, 0.004619025359932853)	(58, 0.006201803112434734)	(59, 0.0037687141137552225)	(60, 0.003709548119664681)	(61, 0.0029282510239233162)	(62, 0.003947475035683097)	(63, 0.0017611850836330397)	(64, 0.003394052571004718)	(65, 0.006135681491627715)	(66, 0.005008156564871761)	(67, 0.002890428889163634)	(68, 0.003930300428402747)	(69, 0.005772768770410153)	(70, 0.006993484271743025)	(71, 0.007238029439544508)	(72, 0.007239372893543581)	(73, 0.004640436016171618)	(74, 0.009850920553798463)	(75, 0.0001378848383072761)
SRR24516463_1	(1, 0.009800623505392566)	(2, 0.009523993003224228)	(3, 0.008990491320471002)	(4, 0.009168325214722078)	(5, 0.009583270967974586)	(6, 0.03132840437056434)	(7, 0.00907940826759654)	(8, 0.011114618390692175)	(9, 0.009069528606804813)	(10, 0.009049769285221361)	(11, 0.009178204875513804)	(12, 0.00918808453630553)	(13, 0.009237482840264164)	(14, 0.009948818417268461)	(15, 0.009069528606804813)	(16, 0.009178204875513804)	(17, 0.00918808453630553)	(18, 0.00960303028955804)	(19, 0.009207843857888984)	(20, 0.009069528606804813)	(21, 0.009356038769764879)	(22, 0.00957339130718286)	(23, 0.013031272584287091)	(24, 0.009958698078060189)	(25, 0.010126652311519537)	(26, 0.002924643400996671)	(27, 0.0022527660855155935)	(28, 0.0019662314082445763)	(29, 0.0013437566693805282)	(30, 0.0019958756514137964)	(31, 0.001007819294443497)	(32, 0.0009485378683982753)	(33, 0.0011560331542404135)	(34, 0.000405107596577651)	(35, 0.0006224845571956103)	(36, 0.0009287901530063209)	(37, 0.0005236819345640649)	(38, 0.0007904682180395914)	(39, 0.0008596386889185953)	(40, 0.0004545242104790952)	(41, 0.0007608403946568056)	(42, 0.0001284546266145141)	(43, 0.00020750588303881497)	(44, 0.0006719311152030838)	(45, 9.881461005630358e-05)	(46, 0.00045455309031871085)	(47, 0.0001778717819165467)	(48, 0.000355751262669933)	(49, 0.0009486940337225153)	(50, 9.882497109369595e-05)	(51, 0.0003063667961642877)	(52, 0.00012848165519160765)	(53, 0.00023720698266194862)	(54, 3.953655643907679e-05)	(55, 0.0010280091979146043)	(56, 0.00022736454929970235)	(57, 0.0006129417913896112)	(58, 0.0012655376884044517)	(59, 0.000553726281233623)	(60, 0.0006823449089356329)	(61, 0.0004549516742419417)	(62, 0.000296747675155068)	(63, 0.00028690333751684566)	(64, 0.000940035064297409)	(65, 0.00030681331419346103)	(66, 0.0003761833565197575)	(67, 0.0008812626334939608)	(68, 7.923425637610441e-05)	(69, 0.0003566630957425423)	(70, 0.0001387666008219146)	(71, 0.000198408387754274)	(72, 4.9693539939194985e-05)	(73, 4.006673515407262e-05)	(74, 0.0)	(75, 0.0)
SRR24516463_2	(1, 0.14346255435665872)	(2, 0.061718240965914675)	(3, 0.02418540961814617)	(4, 0.01055147772556377)	(5, 0.003507279581062864)	(6, 0.0005532610043366771)	(7, 0.0002963898237517913)	(8, 0.0008990491320471002)	(9, 0.0016400236914265785)	(10, 0.0013831525108416926)	(11, 0.001393032171633419)	(12, 0.001966052497553549)	(13, 0.0010670033655064486)	(14, 0.0017289406385521157)	(15, 0.001807977924885927)	(16, 0.002588471127432311)	(17, 0.001985811819137002)	(18, 0.0018474965680528325)	(19, 0.003309686365228336)	(20, 0.0014720694579672302)	(21, 0.001857376228844559)	(22, 0.002934259255142734)	(23, 0.002232803338930161)	(24, 0.002519313501890226)	(25, 0.00261811010980749)	(26, 0.0016005101082587013)	(27, 0.003161501760758887)	(28, 0.001630150150660453)	(29, 0.003536933239792317)	(30, 0.001758587960568506)	(31, 0.001926544322869069)	(32, 0.002469933987556275)	(33, 0.002578616687740189)	(34, 0.0015214897083570985)	(35, 0.0012843781090595091)	(36, 0.0013733009352870959)	(37, 0.002351416649492104)	(38, 0.002450230193198675)	(39, 0.001580800857426385)	(40, 0.0014721286525833685)	(41, 0.002045187175629115)	(42, 0.0030826241074839887)	(43, 0.002144024711811462)	(44, 0.0024009345267130646)	(45, 0.0008892447624471542)	(46, 0.0026776449450707325)	(47, 0.0006027269541173612)	(48, 0.0016204800217539564)	(49, 0.0023121999574713305)	(50, 0.0014525720406562068)	(51, 0.002272795995610144)	(52, 0.0035081432899644474)	(53, 0.004338407227410907)	(54, 0.002213781302521714)	(55, 0.0035481660577295513)	(56, 0.00536709125004003)	(57, 0.0045371458802122315)	(58, 0.0063169251778501115)	(59, 0.0036678991203171756)	(60, 0.003816576141633338)	(61, 0.0031445704393172564)	(62, 0.004806438491383569)	(63, 0.0017013004958598556)	(64, 0.0033141609944224155)	(65, 0.006619774126182394)	(66, 0.005136760558863713)	(67, 0.0029698918305997458)	(68, 0.0041291331434526206)	(69, 0.005754838149881937)	(70, 0.007056344015006226)	(71, 0.007381621706571409)	(72, 0.0073049089882879946)	(73, 0.005028564762131287)	(74, 0.009986549843700662)	(75, 0.0001801881469187619)
