Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR24516459_1	(1, 31.606726013331496)	(2, 31.637499896528134)	(3, 31.690129647551423)	(4, 31.71530867187829)	(5, 31.717668460299013)	(6, 35.404070061431696)	(7, 35.36532506542121)	(8, 35.3404138082938)	(9, 35.329779959424634)	(10, 35.29727764615356)	(11, 35.366266749396175)	(12, 35.30764444762758)	(13, 35.300190064325314)	(14, 35.29969591867363)	(15, 35.316331225866314)	(16, 35.33036300090731)	(17, 35.34080241264005)	(18, 35.32428245408639)	(19, 35.29939666003607)	(20, 35.309919209165415)	(21, 35.315475198603)	(22, 35.30156273112466)	(23, 35.300161002226716)	(24, 35.278281650784784)	(25, 35.25520589462137)	(26, 35.21262794080637)	(27, 35.2190572861124)	(28, 35.19896159990959)	(29, 35.2236824654264)	(30, 35.18959392525483)	(31, 35.19920786862259)	(32, 35.16351891597201)	(33, 35.155680693351044)	(34, 35.16018715862765)	(35, 35.164776803400684)	(36, 35.160640299132346)	(37, 35.144732313567786)	(38, 35.11118580362709)	(39, 35.12134864682183)	(40, 35.104002375457206)	(41, 35.11709615992152)	(42, 35.126670518424326)	(43, 35.126013331393345)	(44, 35.11932814319316)	(45, 35.09869231661438)	(46, 35.1105248528578)	(47, 35.081482512627176)	(48, 35.099884099911634)	(49, 35.09021959575894)	(50, 35.04087615149887)	(51, 35.02964822863474)	(52, 35.01432281484136)	(53, 35.01138974036939)	(54, 34.999799670815776)	(55, 34.968180684207624)	(56, 34.93169116387707)	(57, 34.909841061545784)	(58, 34.93034200158342)	(59, 34.926392914547975)	(60, 34.8855633145123)	(61, 34.84737181442281)	(62, 34.76434309228811)	(63, 34.770722126513)	(64, 34.77622439080087)	(65, 34.72593697745073)	(66, 34.64706596527647)	(67, 34.68158570124771)	(68, 34.64611602948079)	(69, 34.66104165345113)	(70, 34.67280512428707)	(71, 34.57465355406836)	(72, 34.617147369688716)	(73, 34.564168562733485)	(74, 34.45619171555762)	(75, 34.549033706334576)
SRR24516459_2	(1, 31.31948468850289)	(2, 31.083701363273352)	(3, 31.147503286806383)	(4, 31.155267095981944)	(5, 31.087696187160635)	(6, 34.676296448521576)	(7, 34.59754634909861)	(8, 34.51994658692195)	(9, 34.50320321910879)	(10, 34.54221841165824)	(11, 34.47598426939684)	(12, 34.44890649130314)	(13, 34.51882189270381)	(14, 34.50540186134194)	(15, 34.5163487351059)	(16, 34.49865225642452)	(17, 34.53617079588402)	(18, 34.37520347967794)	(19, 34.42699510856988)	(20, 34.510442380925475)	(21, 34.46926930506134)	(22, 34.42584279186175)	(23, 34.40446073521531)	(24, 34.34930330141841)	(25, 34.32533390821703)	(26, 34.387623792264286)	(27, 34.274502252998)	(28, 34.27431708247556)	(29, 34.20643313822343)	(30, 34.286667671999126)	(31, 34.29303889198407)	(32, 34.20571382503659)	(33, 34.20076738930179)	(34, 34.19534793660917)	(35, 34.24255227066702)	(36, 34.232491818430155)	(37, 34.20954594892636)	(38, 34.203512263030305)	(39, 34.215611171940566)	(40, 34.10586845409561)	(41, 34.24386597613019)	(42, 34.19976001053103)	(43, 34.27955649533236)	(44, 34.14941519312839)	(45, 34.092239981831284)	(46, 34.081182411201915)	(47, 34.06843266730763)	(48, 34.079392455343914)	(49, 34.135887584352496)	(50, 34.15084935553937)	(51, 34.09851674172704)	(52, 34.06482823300229)	(53, 34.11551296515422)	(54, 34.0941185999182)	(55, 34.02024860761968)	(56, 34.03229825000972)	(57, 34.1132882644502)	(58, 34.05445051445262)	(59, 34.00283580367302)	(60, 33.99113804139661)	(61, 34.03223482528127)	(62, 33.9451450556973)	(63, 34.047006991451894)	(64, 33.97306659091247)	(65, 33.980321435080825)	(66, 34.024162144109845)	(67, 33.997310362737565)	(68, 33.95400290774617)	(69, 33.94935223793851)	(70, 33.96208773245085)	(71, 33.9813532926347)	(72, 34.00969002919016)	(73, 33.91050175371857)	(74, 33.994782943037706)	(75, 34.40862442868712)
SRR24516460_1	(1, 31.587373844868207)	(2, 31.61984546002124)	(3, 31.672911791412563)	(4, 31.701327835083518)	(5, 31.70113299413225)	(6, 35.37874773477781)	(7, 35.32903172630929)	(8, 35.309692354352464)	(9, 35.296111081678326)	(10, 35.27307840765379)	(11, 35.34467235061994)	(12, 35.27210863319857)	(13, 35.2676616261531)	(14, 35.27861646864759)	(15, 35.28360240336452)	(16, 35.30043551705952)	(17, 35.316173700292715)	(18, 35.306119039606706)	(19, 35.26743466551873)	(20, 35.28964745694255)	(21, 35.29061206271313)	(22, 35.26064605973633)	(23, 35.2768264423999)	(24, 35.24670482509633)	(25, 35.23006987507843)	(26, 35.177146964769534)	(27, 35.18349678024249)	(28, 35.16609628142295)	(29, 35.18284639962076)	(30, 35.15246818681751)	(31, 35.16406942397682)	(32, 35.118890119152624)	(33, 35.124594315647116)	(34, 35.107848535943944)	(35, 35.12361361836078)	(36, 35.12433324060159)	(37, 35.099651166321756)	(38, 35.05061222071125)	(39, 35.08171401782879)	(40, 35.05292096454651)	(41, 35.08265312065574)	(42, 35.07454160301644)	(43, 35.08611846405847)	(44, 35.07448192470821)	(45, 35.06034784496509)	(46, 35.06745065041323)	(47, 35.04429055344454)	(48, 35.05618305681074)	(49, 35.053431468023454)	(50, 35.000550618451136)	(51, 34.99953134340593)	(52, 34.985238360084466)	(53, 34.97629275090569)	(54, 34.96895758093957)	(55, 34.928649576124535)	(56, 34.89700017208767)	(57, 34.88412031432154)	(58, 34.89026532380244)	(59, 34.87985384093207)	(60, 34.84216580734389)	(61, 34.792996607314684)	(62, 34.70199133450746)	(63, 34.728647646406245)	(64, 34.74885680686215)	(65, 34.685498238679585)	(66, 34.60281293177769)	(67, 34.64877531242577)	(68, 34.63136134211203)	(69, 34.664016646496236)	(70, 34.64924497347694)	(71, 34.55530311215172)	(72, 34.59124558449808)	(73, 34.541091650835945)	(74, 34.452682707610016)	(75, 34.52143918927835)
SRR24516460_2	(1, 31.13201955830267)	(2, 30.766714187799355)	(3, 30.879618381245503)	(4, 30.836149743439417)	(5, 30.735470319843742)	(6, 34.17637407173655)	(7, 34.07459814861408)	(8, 33.992238112440674)	(9, 33.94881682347779)	(10, 33.97124060799237)	(11, 33.87133584100683)	(12, 33.8543737870897)	(13, 33.93823458776694)	(14, 33.88896207089996)	(15, 33.90042999764271)	(16, 33.89606891997935)	(17, 33.92203796066594)	(18, 33.75620394448168)	(19, 33.80425028321623)	(20, 33.879231652877046)	(21, 33.85030990879302)	(22, 33.81522081636051)	(23, 33.78548869636359)	(24, 33.715250610135534)	(25, 33.65680921591239)	(26, 33.73020182025047)	(27, 33.60398034342701)	(28, 33.58327154733161)	(29, 33.5368484408138)	(30, 33.617918559821)	(31, 33.6482893185379)	(32, 33.521062004732144)	(33, 33.52982028360766)	(34, 33.516349789882035)	(35, 33.5482291468032)	(36, 33.53977875030055)	(37, 33.507973112556535)	(38, 33.53109295012699)	(39, 33.51692576638475)	(40, 33.40238908243599)	(41, 33.53995545424313)	(42, 33.491129543853766)	(43, 33.56914834210895)	(44, 33.446793520593836)	(45, 33.38739737255275)	(46, 33.3763797492236)	(47, 33.354461086038214)	(48, 33.37678405843307)	(49, 33.446139906813464)	(50, 33.438710973859564)	(51, 33.36915954837382)	(52, 33.3544028812693)	(53, 33.41976688392142)	(54, 33.37267119734289)	(55, 33.28421528391028)	(56, 33.323499853861335)	(57, 33.38039882383896)	(58, 33.32766058492347)	(59, 33.24946152193488)	(60, 33.26689116228326)	(61, 33.32391490226133)	(62, 33.211183594808695)	(63, 33.30257749885903)	(64, 33.227142257222795)	(65, 33.21961474044122)	(66, 33.285347490870016)	(67, 33.280547428183816)	(68, 33.20650806613013)	(69, 33.19436872806118)	(70, 33.23082570127033)	(71, 33.24902121192521)	(72, 33.27227780246009)	(73, 33.1828685564368)	(74, 33.26545369873225)	(75, 33.80776914559744)
SRR24516461_1	(1, 31.545190614488227)	(2, 31.613419299647347)	(3, 31.6681942316969)	(4, 31.696104370103868)	(5, 31.699380586668372)	(6, 35.37372117837319)	(7, 35.3295479734097)	(8, 35.305067290526694)	(9, 35.296516678046565)	(10, 35.27951616164949)	(11, 35.33928816151103)	(12, 35.27558215116325)	(13, 35.25686614789442)	(14, 35.26837850306387)	(15, 35.27383761569086)	(16, 35.2888363090099)	(17, 35.303958484185316)	(18, 35.29026687668029)	(19, 35.24951472642595)	(20, 35.28080533247287)	(21, 35.27111969906055)	(22, 35.25061320887442)	(23, 35.2602305224072)	(24, 35.23149710414804)	(25, 35.217314808085916)	(26, 35.16066133582329)	(27, 35.16258957484909)	(28, 35.145246144621865)	(29, 35.16488412518707)	(30, 35.14106463374105)	(31, 35.14832965262897)	(32, 35.10524325293941)	(33, 35.10601507861879)	(34, 35.0959367066055)	(35, 35.10853526479459)	(36, 35.10145076889375)	(37, 35.083241178438065)	(38, 35.041261723374674)	(39, 35.06743334837663)	(40, 35.037335329674725)	(41, 35.06025985590512)	(42, 35.052365213892905)	(43, 35.06545093032885)	(44, 35.05261794355135)	(45, 35.03464370807718)	(46, 35.046193014893106)	(47, 35.01437678768261)	(48, 35.02933898786101)	(49, 35.030190650025325)	(50, 34.97915165973234)	(51, 34.9724845091827)	(52, 34.956433540840884)	(53, 34.95054739506303)	(54, 34.94527279792848)	(55, 34.90709531044262)	(56, 34.88025089636232)	(57, 34.85565091262442)	(58, 34.868856760754596)	(59, 34.84905536491567)	(60, 34.82359974790583)	(61, 34.77146926119762)	(62, 34.68359935956635)	(63, 34.70674839982382)	(64, 34.72113616188939)	(65, 34.66084609003203)	(66, 34.58055020249192)	(67, 34.624970439400926)	(68, 34.597494323948595)	(69, 34.63191517301777)	(70, 34.62333347389235)	(71, 34.52467872572391)	(72, 34.56741555000928)	(73, 34.512389051563076)	(74, 34.41903968693344)	(75, 34.484228745922685)
SRR24516461_2	(1, 31.169205973202008)	(2, 30.75693467020324)	(3, 30.878915311082174)	(4, 30.85726722101248)	(5, 30.75237940427899)	(6, 34.23687230984148)	(7, 34.09388386268251)	(8, 34.017703350831994)	(9, 33.98217974626301)	(10, 34.01613826890988)	(11, 33.89333657490075)	(12, 33.88919659262951)	(13, 33.96925625663335)	(14, 33.92228102567674)	(15, 33.924551877258224)	(16, 33.925758052079786)	(17, 33.94757172929457)	(18, 33.77246716951448)	(19, 33.824122362827346)	(20, 33.91838001116195)	(21, 33.862459329428745)	(22, 33.82927236595488)	(23, 33.794327405461985)	(24, 33.72669335629151)	(25, 33.67763138317695)	(26, 33.765167971837855)	(27, 33.62361952435281)	(28, 33.5985435311591)	(29, 33.54188299355146)	(30, 33.625170396461506)	(31, 33.658725007168606)	(32, 33.53697614816553)	(33, 33.535690138427285)	(34, 33.51760480981397)	(35, 33.56541039458448)	(36, 33.55449071431174)	(37, 33.51520504712703)	(38, 33.53923356223534)	(39, 33.52671329832163)	(40, 33.40843598885043)	(41, 33.544340589398026)	(42, 33.49787200876178)	(43, 33.58072286156516)	(44, 33.45378616042544)	(45, 33.392126536611435)	(46, 33.3738461424775)	(47, 33.381518130834195)	(48, 33.38599762812359)	(49, 33.45832439086613)	(50, 33.4432561575068)	(51, 33.36224036525357)	(52, 33.3566517956538)	(53, 33.425265206203655)	(54, 33.36641461383261)	(55, 33.277110180895214)	(56, 33.31581167964409)	(57, 33.366856246696244)	(58, 33.323569246926326)	(59, 33.25928242777835)	(60, 33.26957108579044)	(61, 33.30940780164697)	(62, 33.20290729433226)	(63, 33.303302262887236)	(64, 33.23134993482531)	(65, 33.22119583972329)	(66, 33.271950285427884)	(67, 33.26265356828759)	(68, 33.19148514660562)	(69, 33.17686126429898)	(70, 33.210109949987825)	(71, 33.25272049933507)	(72, 33.282202821177606)	(73, 33.180750758314375)	(74, 33.26690527872933)	(75, 33.89431261732189)
SRR24516462_1	(1, 31.57991286497433)	(2, 31.618955230079184)	(3, 31.67008673949673)	(4, 31.698497286671465)	(5, 31.7027527825461)	(6, 35.38476689501871)	(7, 35.33701686139875)	(8, 35.310957437130675)	(9, 35.31014304304146)	(10, 35.289453616321104)	(11, 35.355206545212916)	(12, 35.299433503674464)	(13, 35.27306279812994)	(14, 35.27571007333106)	(15, 35.29182234026564)	(16, 35.30490623986457)	(17, 35.31339419205303)	(18, 35.30392948114513)	(19, 35.27274439733255)	(20, 35.29272770601125)	(21, 35.28995425707799)	(22, 35.269398914668585)	(23, 35.27691060254879)	(24, 35.252250065262274)	(25, 35.23422551478092)	(26, 35.18474181516563)	(27, 35.18478804955435)	(28, 35.16499060438018)	(29, 35.1798926437652)	(30, 35.15689009960165)	(31, 35.16439956217339)	(32, 35.12810370432192)	(33, 35.12011751612213)	(34, 35.11162267107079)	(35, 35.12124777419447)	(36, 35.12047559659214)	(37, 35.09565566503949)	(38, 35.06005077836258)	(39, 35.08571371782005)	(40, 35.058610363082884)	(41, 35.08405257747169)	(42, 35.07711743042369)	(43, 35.08610591066072)	(44, 35.07216750836382)	(45, 35.061435480586866)	(46, 35.068740766086044)	(47, 35.03681460460096)	(48, 35.05178580417186)	(49, 35.0538343155428)	(50, 35.00739989653634)	(51, 34.997793021930136)	(52, 34.977527950985035)	(53, 34.97065615994751)	(54, 34.96899478658961)	(55, 34.931021979570794)	(56, 34.896324711389674)	(57, 34.870634370957525)	(58, 34.882113501866876)	(59, 34.8636786304711)	(60, 34.839838672611435)	(61, 34.78610769127877)	(62, 34.706077850757424)	(63, 34.71727341642563)	(64, 34.729098451221795)	(65, 34.67478376245655)	(66, 34.59924106305021)	(67, 34.63565517816927)	(68, 34.612335783139436)	(69, 34.644996090831356)	(70, 34.64353368738333)	(71, 34.547459640199456)	(72, 34.5836982484274)	(73, 34.52896498439744)	(74, 34.43783379731186)	(75, 34.51696178946305)
SRR24516462_2	(1, 31.203853836235197)	(2, 30.82478760095876)	(3, 30.931890707443063)	(4, 30.91033062264166)	(5, 30.809077092545863)	(6, 34.299346783954185)	(7, 34.193565040779035)	(8, 34.115311815240524)	(9, 34.08294143007444)	(10, 34.11188544690815)	(11, 34.002801927016996)	(12, 33.99975388211656)	(13, 34.06902217335242)	(14, 34.035128111823944)	(15, 34.0387571887385)	(16, 34.03519475845047)	(17, 34.05510697080205)	(18, 33.892961364733054)	(19, 33.957461159058006)	(20, 34.02663126023431)	(21, 33.98442159825334)	(22, 33.9568085363056)	(23, 33.918191958105574)	(24, 33.84733047629595)	(25, 33.81702494996559)	(26, 33.88815945343991)	(27, 33.76951215134827)	(28, 33.74222213212907)	(29, 33.70192258726329)	(30, 33.77491480259437)	(31, 33.80470369901958)	(32, 33.69469865040663)	(33, 33.67901366534041)	(34, 33.67277309879033)	(35, 33.71713115105864)	(36, 33.70432464091193)	(37, 33.67460635928243)	(38, 33.68567403719849)	(39, 33.672599048913675)	(40, 33.578280560436596)	(41, 33.70723699596185)	(42, 33.65808533236663)	(43, 33.736457925328324)	(44, 33.616345831516306)	(45, 33.55123510054469)	(46, 33.539047314663996)	(47, 33.53085178528942)	(48, 33.54656589129119)	(49, 33.610679156278735)	(50, 33.60297186312539)	(51, 33.530574798941615)	(52, 33.514490849547485)	(53, 33.57314724132001)	(54, 33.52524532659791)	(55, 33.46666403587295)	(56, 33.50734520910183)	(57, 33.53934717247401)	(58, 33.50868653030679)	(59, 33.43104237389818)	(60, 33.43484796985829)	(61, 33.478662992239244)	(62, 33.38687075739185)	(63, 33.47228463600509)	(64, 33.41133562103691)	(65, 33.40275929513687)	(66, 33.45714185890499)	(67, 33.44665678839497)	(68, 33.38324894077414)	(69, 33.360048281338806)	(70, 33.380209192350634)	(71, 33.414522937513595)	(72, 33.45082444937816)	(73, 33.35286508253699)	(74, 33.434439341893054)	(75, 33.979499144355636)
SRR24516463_1	(1, 31.557157048569895)	(2, 31.59968829670202)	(3, 31.65138925320138)	(4, 31.684780827135082)	(5, 31.689194368000567)	(6, 35.366142303670145)	(7, 35.31726505302167)	(8, 35.297888963480325)	(9, 35.29609244596196)	(10, 35.27494513083388)	(11, 35.33694484333575)	(12, 35.28152626927707)	(13, 35.262232279716905)	(14, 35.26820749856375)	(15, 35.27334166188738)	(16, 35.28368220885504)	(17, 35.295535331889916)	(18, 35.28279244660414)	(19, 35.24939929192471)	(20, 35.27182039171867)	(21, 35.267700770761735)	(22, 35.25032274381891)	(23, 35.25514480865814)	(24, 35.23229137490793)	(25, 35.2141283101186)	(26, 35.16617774401703)	(27, 35.15867407326094)	(28, 35.14214756339466)	(29, 35.15870092323988)	(30, 35.13664950378283)	(31, 35.145010079181006)	(32, 35.10870639195956)	(33, 35.100447918384454)	(34, 35.09010195668945)	(35, 35.10162880494921)	(36, 35.0992851971698)	(37, 35.07658956981703)	(38, 35.04107470477988)	(39, 35.06050265544367)	(40, 35.03392519302211)	(41, 35.05604182369292)	(42, 35.04728444449056)	(43, 35.056821830014144)	(44, 35.045896353637346)	(45, 35.032562773710296)	(46, 35.03965214830684)	(47, 35.00288201695533)	(48, 35.02757902371972)	(49, 35.02422737270848)	(50, 34.97713209933886)	(51, 34.964082446269686)	(52, 34.93930842871284)	(53, 34.93673373496429)	(54, 34.936108035221935)	(55, 34.897273907416505)	(56, 34.86852130895155)	(57, 34.835045500547544)	(58, 34.84912882560673)	(59, 34.835501567243135)	(60, 34.80975858043779)	(61, 34.7529165369395)	(62, 34.6760634126042)	(63, 34.682329148567845)	(64, 34.6904790082254)	(65, 34.63035042831139)	(66, 34.55858763740716)	(67, 34.593544048179915)	(68, 34.57017495815193)	(69, 34.602923012586544)	(70, 34.60831848282907)	(71, 34.50502295634649)	(72, 34.548073729311334)	(73, 34.48651203444457)	(74, 34.39556812060803)	(75, 34.47476655056468)
SRR24516463_2	(1, 31.183957505603004)	(2, 30.83327104207204)	(3, 30.928826923656402)	(4, 30.907415130008925)	(5, 30.80685105077602)	(6, 34.29112001268548)	(7, 34.179559969787995)	(8, 34.09696679594203)	(9, 34.06968104997083)	(10, 34.09608424584351)	(11, 33.992182422008725)	(12, 33.980658785661255)	(13, 34.05109395014031)	(14, 34.01291103711245)	(15, 34.01321394751233)	(16, 34.010705007654266)	(17, 34.03087265561824)	(18, 33.86566516545221)	(19, 33.93344843138156)	(20, 33.9971885449285)	(21, 33.95076461164783)	(22, 33.92233489975355)	(23, 33.876782056164885)	(24, 33.81605108970189)	(25, 33.7835469069005)	(26, 33.850665491115045)	(27, 33.73018756004383)	(28, 33.704106901492594)	(29, 33.65696361394749)	(30, 33.73692640516859)	(31, 33.756689604070445)	(32, 33.652247718966564)	(33, 33.633459715190305)	(34, 33.63355898474746)	(35, 33.67724990935255)	(36, 33.66039265736497)	(37, 33.63011603549572)	(38, 33.63879220249809)	(39, 33.621807128068184)	(40, 33.53314700202482)	(41, 33.67058189922405)	(42, 33.61777081420896)	(43, 33.69671367449081)	(44, 33.57895917808601)	(45, 33.503891137470525)	(46, 33.489158996185495)	(47, 33.48067029956221)	(48, 33.510742300397865)	(49, 33.5679719595361)	(50, 33.563984711432234)	(51, 33.47798648852426)	(52, 33.46541716814175)	(53, 33.511762667185565)	(54, 33.47332373764557)	(55, 33.40722361145387)	(56, 33.46015255981589)	(57, 33.4948185596351)	(58, 33.45442032029282)	(59, 33.37829376846678)	(60, 33.374917501147195)	(61, 33.41799894765665)	(62, 33.32998534234056)	(63, 33.416214758722454)	(64, 33.35597917678022)	(65, 33.35222759357357)	(66, 33.405535468193456)	(67, 33.384019487242234)	(68, 33.32573780776895)	(69, 33.303196768019504)	(70, 33.30670349708247)	(71, 33.34948030009864)	(72, 33.386446680574814)	(73, 33.29598041675739)	(74, 33.38740197829838)	(75, 33.91838488770328)
