Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR24516459_1	(0.0, 297.0)	(1.0, 296.5)	(2.0, 150.5)	(3.0, 3.0)	(4.0, 1.0)	(5.0, 8.0)	(6.0, 13.0)	(7.0, 12.5)	(8.0, 14.0)	(9.0, 25.0)	(10.0, 34.0)	(11.0, 25.0)	(12.0, 18.0)	(13.0, 26.0)	(14.0, 32.0)	(15.0, 29.5)	(16.0, 33.5)	(17.0, 33.5)	(18.0, 31.0)	(19.0, 31.5)	(20.0, 31.0)	(21.0, 39.5)	(22.0, 57.5)	(23.0, 73.5)	(24.0, 80.0)	(25.0, 74.0)	(26.0, 84.5)	(27.0, 104.5)	(28.0, 108.5)	(29.0, 113.5)	(30.0, 124.5)	(31.0, 152.0)	(32.0, 178.0)	(33.0, 194.0)	(34.0, 219.5)	(35.0, 241.5)	(36.0, 251.0)	(37.0, 292.0)	(38.0, 366.0)	(39.0, 447.0)	(40.0, 518.0)	(41.0, 622.0)	(42.0, 811.0)	(43.0, 1153.0)	(44.0, 1585.5)	(45.0, 2924.0)	(46.0, 4673.0)	(47.0, 10431.5)	(48.0, 17244.5)	(49.0, 37965.5)	(50.0, 202637.5)	(51.0, 424700.5)	(52.0, 529592.0)	(53.0, 621368.0)	(54.0, 661999.0)	(55.0, 610112.5)	(56.0, 682226.5)	(57.0, 865960.5)	(58.0, 1030315.5)	(59.0, 1267890.0)	(60.0, 1345035.5)	(61.0, 1207598.5)	(62.0, 873715.5)	(63.0, 636055.0)	(64.0, 646669.0)	(65.0, 561858.5)	(66.0, 438688.0)	(67.0, 320759.5)	(68.0, 263401.5)	(69.0, 255790.0)	(70.0, 237456.0)	(71.0, 207537.0)	(72.0, 190134.5)	(73.0, 172544.0)	(74.0, 141863.5)	(75.0, 108037.0)	(76.0, 86518.0)	(77.0, 72383.5)	(78.0, 52038.0)	(79.0, 34391.5)	(80.0, 24829.0)	(81.0, 19077.0)	(82.0, 11562.5)	(83.0, 6641.5)	(84.0, 4701.0)	(85.0, 3445.0)	(86.0, 2146.5)	(87.0, 1259.5)	(88.0, 772.0)	(89.0, 584.5)	(90.0, 355.0)	(91.0, 277.5)	(92.0, 247.0)	(93.0, 235.5)	(94.0, 221.5)	(95.0, 196.5)	(96.0, 175.5)	(97.0, 205.0)	(98.0, 406.5)	(99.0, 1188.0)	(100.0, 1799.0)
SRR24516459_2	(0.0, 47.0)	(1.0, 48.0)	(2.0, 29.0)	(3.0, 7.0)	(4.0, 5.0)	(5.0, 6.5)	(6.0, 10.0)	(7.0, 18.5)	(8.0, 24.0)	(9.0, 20.0)	(10.0, 22.5)	(11.0, 35.5)	(12.0, 44.0)	(13.0, 57.5)	(14.0, 75.5)	(15.0, 83.0)	(16.0, 103.5)	(17.0, 138.5)	(18.0, 196.0)	(19.0, 243.0)	(20.0, 277.5)	(21.0, 353.5)	(22.0, 467.0)	(23.0, 569.5)	(24.0, 707.0)	(25.0, 902.5)	(26.0, 1145.0)	(27.0, 1403.5)	(28.0, 1658.5)	(29.0, 2069.5)	(30.0, 2537.5)	(31.0, 2877.0)	(32.0, 3206.5)	(33.0, 3725.0)	(34.0, 4499.5)	(35.0, 5178.0)	(36.0, 5598.0)	(37.0, 6290.5)	(38.0, 7061.0)	(39.0, 7857.0)	(40.0, 8559.0)	(41.0, 9303.5)	(42.0, 10363.5)	(43.0, 11923.0)	(44.0, 13216.5)	(45.0, 14770.0)	(46.0, 17936.0)	(47.0, 29991.0)	(48.0, 43331.0)	(49.0, 66419.5)	(50.0, 105267.5)	(51.0, 129868.0)	(52.0, 148445.0)	(53.0, 278064.0)	(54.0, 497022.0)	(55.0, 843947.0)	(56.0, 1101717.0)	(57.0, 1335645.0)	(58.0, 1403343.5)	(59.0, 1309556.5)	(60.0, 1286830.5)	(61.0, 1071578.5)	(62.0, 743668.5)	(63.0, 631519.5)	(64.0, 722829.5)	(65.0, 572723.5)	(66.0, 393827.5)	(67.0, 319906.5)	(68.0, 252441.5)	(69.0, 236291.0)	(70.0, 223528.0)	(71.0, 201925.5)	(72.0, 187036.5)	(73.0, 172680.0)	(74.0, 146173.5)	(75.0, 115243.5)	(76.0, 96294.0)	(77.0, 85200.5)	(78.0, 61209.5)	(79.0, 37438.5)	(80.0, 29292.5)	(81.0, 23923.0)	(82.0, 16372.5)	(83.0, 10660.5)	(84.0, 7776.0)	(85.0, 6441.0)	(86.0, 4644.5)	(87.0, 3436.0)	(88.0, 3011.0)	(89.0, 2753.0)	(90.0, 2442.0)	(91.0, 2306.0)	(92.0, 2222.0)	(93.0, 2156.0)	(94.0, 2166.5)	(95.0, 2315.0)	(96.0, 2421.5)	(97.0, 2595.0)	(98.0, 3361.0)	(99.0, 12123.5)	(100.0, 20294.0)
SRR24516460_1	(0.0, 272.0)	(1.0, 274.5)	(2.0, 141.5)	(3.0, 5.0)	(4.0, 4.0)	(5.0, 7.5)	(6.0, 15.5)	(7.0, 29.0)	(8.0, 38.0)	(9.0, 39.0)	(10.0, 39.0)	(11.0, 37.0)	(12.0, 35.5)	(13.0, 38.0)	(14.0, 36.0)	(15.0, 32.5)	(16.0, 32.5)	(17.0, 38.0)	(18.0, 37.5)	(19.0, 34.0)	(20.0, 33.5)	(21.0, 37.0)	(22.0, 52.0)	(23.0, 62.5)	(24.0, 71.5)	(25.0, 76.0)	(26.0, 86.0)	(27.0, 91.0)	(28.0, 78.5)	(29.0, 104.5)	(30.0, 136.0)	(31.0, 158.5)	(32.0, 190.5)	(33.0, 192.0)	(34.0, 215.0)	(35.0, 262.0)	(36.0, 281.0)	(37.0, 299.0)	(38.0, 365.0)	(39.0, 462.0)	(40.0, 526.5)	(41.0, 646.0)	(42.0, 893.0)	(43.0, 1313.0)	(44.0, 1732.0)	(45.0, 3013.0)	(46.0, 4809.0)	(47.0, 9321.5)	(48.0, 14422.5)	(49.0, 29013.5)	(50.0, 161946.0)	(51.0, 343408.0)	(52.0, 427904.0)	(53.0, 510971.0)	(54.0, 565602.0)	(55.0, 602587.0)	(56.0, 811820.5)	(57.0, 967749.0)	(58.0, 1008598.5)	(59.0, 1201609.5)	(60.0, 1266890.5)	(61.0, 1166452.5)	(62.0, 851387.0)	(63.0, 577195.5)	(64.0, 577685.5)	(65.0, 514089.5)	(66.0, 415792.0)	(67.0, 321834.0)	(68.0, 275735.5)	(69.0, 273102.5)	(70.0, 257151.5)	(71.0, 225533.0)	(72.0, 207624.5)	(73.0, 189128.0)	(74.0, 158303.5)	(75.0, 123081.5)	(76.0, 98878.5)	(77.0, 81775.0)	(78.0, 57807.5)	(79.0, 37606.0)	(80.0, 26737.5)	(81.0, 20590.0)	(82.0, 12206.5)	(83.0, 6595.0)	(84.0, 4476.0)	(85.0, 3267.0)	(86.0, 2016.0)	(87.0, 1282.5)	(88.0, 936.0)	(89.0, 707.0)	(90.0, 465.0)	(91.0, 427.5)	(92.0, 409.5)	(93.0, 395.5)	(94.0, 381.0)	(95.0, 384.0)	(96.0, 388.0)	(97.0, 452.5)	(98.0, 873.0)	(99.0, 2388.5)	(100.0, 3549.0)
SRR24516460_2	(0.0, 30.0)	(1.0, 34.0)	(2.0, 23.0)	(3.0, 11.0)	(4.0, 14.0)	(5.0, 11.5)	(6.0, 16.5)	(7.0, 24.5)	(8.0, 25.0)	(9.0, 30.0)	(10.0, 43.0)	(11.0, 57.5)	(12.0, 64.5)	(13.0, 73.0)	(14.0, 113.0)	(15.0, 150.5)	(16.0, 189.5)	(17.0, 253.5)	(18.0, 322.5)	(19.0, 373.0)	(20.0, 438.5)	(21.0, 575.5)	(22.0, 768.5)	(23.0, 932.5)	(24.0, 1060.0)	(25.0, 1307.0)	(26.0, 1730.0)	(27.0, 2122.0)	(28.0, 2335.0)	(29.0, 2786.0)	(30.0, 3469.0)	(31.0, 3962.0)	(32.0, 4462.5)	(33.0, 5162.5)	(34.0, 6036.0)	(35.0, 6903.5)	(36.0, 7570.5)	(37.0, 8395.5)	(38.0, 9530.5)	(39.0, 10840.5)	(40.0, 11817.5)	(41.0, 12938.0)	(42.0, 14384.0)	(43.0, 16271.0)	(44.0, 18080.5)	(45.0, 20123.0)	(46.0, 23642.0)	(47.0, 35624.0)	(48.0, 48702.5)	(49.0, 66273.0)	(50.0, 98545.5)	(51.0, 122789.5)	(52.0, 144974.0)	(53.0, 234146.0)	(54.0, 395879.5)	(55.0, 696169.0)	(56.0, 922821.5)	(57.0, 1111060.0)	(58.0, 1222571.0)	(59.0, 1340637.0)	(60.0, 1435023.5)	(61.0, 1142841.5)	(62.0, 762289.5)	(63.0, 670595.5)	(64.0, 769433.0)	(65.0, 585344.0)	(66.0, 376342.0)	(67.0, 321823.0)	(68.0, 263965.5)	(69.0, 249706.0)	(70.0, 237129.0)	(71.0, 217436.0)	(72.0, 204592.5)	(73.0, 190121.0)	(74.0, 163028.5)	(75.0, 130467.5)	(76.0, 109838.0)	(77.0, 95684.0)	(78.0, 68970.0)	(79.0, 44737.5)	(80.0, 35829.0)	(81.0, 30245.0)	(82.0, 22203.0)	(83.0, 15957.0)	(84.0, 12840.5)	(85.0, 11162.0)	(86.0, 9210.0)	(87.0, 7812.5)	(88.0, 7260.5)	(89.0, 6936.5)	(90.0, 6454.5)	(91.0, 6263.5)	(92.0, 6248.5)	(93.0, 6195.5)	(94.0, 6175.5)	(95.0, 6450.0)	(96.0, 6671.0)	(97.0, 7339.0)	(98.0, 9780.5)	(99.0, 36605.0)	(100.0, 61658.0)
SRR24516461_1	(0.0, 1374.0)	(1.0, 1372.0)	(2.0, 686.5)	(3.0, 2.0)	(4.0, 1.0)	(5.0, 3.0)	(6.0, 8.0)	(7.0, 10.0)	(8.0, 9.0)	(9.0, 10.0)	(10.0, 13.5)	(11.0, 16.5)	(12.0, 17.0)	(13.0, 15.0)	(14.0, 18.0)	(15.0, 18.0)	(16.0, 14.0)	(17.0, 21.0)	(18.0, 31.0)	(19.0, 35.5)	(20.0, 32.5)	(21.0, 33.0)	(22.0, 39.5)	(23.0, 48.0)	(24.0, 56.5)	(25.0, 72.0)	(26.0, 95.5)	(27.0, 119.0)	(28.0, 136.0)	(29.0, 161.0)	(30.0, 188.0)	(31.0, 203.5)	(32.0, 216.0)	(33.0, 252.5)	(34.0, 319.0)	(35.0, 360.5)	(36.0, 396.5)	(37.0, 441.5)	(38.0, 490.5)	(39.0, 586.5)	(40.0, 675.5)	(41.0, 766.5)	(42.0, 952.0)	(43.0, 1369.5)	(44.0, 1814.5)	(45.0, 2911.5)	(46.0, 4457.5)	(47.0, 8586.0)	(48.0, 13085.5)	(49.0, 25364.5)	(50.0, 138254.0)	(51.0, 310883.5)	(52.0, 401174.0)	(53.0, 465445.5)	(54.0, 519734.5)	(55.0, 535183.0)	(56.0, 651650.0)	(57.0, 796199.5)	(58.0, 897654.5)	(59.0, 1116285.5)	(60.0, 1194027.5)	(61.0, 1063887.0)	(62.0, 765475.0)	(63.0, 527979.0)	(64.0, 513638.0)	(65.0, 444674.5)	(66.0, 363078.5)	(67.0, 304997.5)	(68.0, 276447.0)	(69.0, 275976.0)	(70.0, 263014.0)	(71.0, 234413.5)	(72.0, 217460.5)	(73.0, 199786.5)	(74.0, 168477.0)	(75.0, 130506.5)	(76.0, 104761.5)	(77.0, 85984.0)	(78.0, 59915.5)	(79.0, 38684.5)	(80.0, 27463.0)	(81.0, 21106.5)	(82.0, 12333.0)	(83.0, 6608.0)	(84.0, 4387.0)	(85.0, 3229.0)	(86.0, 2078.5)	(87.0, 1494.5)	(88.0, 1254.0)	(89.0, 1075.5)	(90.0, 921.0)	(91.0, 935.5)	(92.0, 951.0)	(93.0, 964.5)	(94.0, 927.0)	(95.0, 893.5)	(96.0, 908.5)	(97.0, 966.5)	(98.0, 1468.0)	(99.0, 4801.5)	(100.0, 7694.0)
SRR24516461_2	(0.0, 55.0)	(1.0, 55.0)	(2.0, 33.5)	(3.0, 11.5)	(4.0, 11.0)	(5.0, 14.0)	(6.0, 21.0)	(7.0, 29.5)	(8.0, 35.0)	(9.0, 38.5)	(10.0, 50.0)	(11.0, 64.0)	(12.0, 71.0)	(13.0, 102.0)	(14.0, 160.5)	(15.0, 195.0)	(16.0, 257.0)	(17.0, 373.5)	(18.0, 489.5)	(19.0, 566.0)	(20.0, 707.5)	(21.0, 931.0)	(22.0, 1135.0)	(23.0, 1358.5)	(24.0, 1682.0)	(25.0, 2088.5)	(26.0, 2573.0)	(27.0, 3037.0)	(28.0, 3450.0)	(29.0, 4113.0)	(30.0, 5030.0)	(31.0, 5774.5)	(32.0, 6392.5)	(33.0, 7319.5)	(34.0, 8517.0)	(35.0, 9542.0)	(36.0, 10296.5)	(37.0, 11171.0)	(38.0, 12168.0)	(39.0, 13295.0)	(40.0, 14361.0)	(41.0, 15483.5)	(42.0, 16805.0)	(43.0, 18769.0)	(44.0, 20397.5)	(45.0, 21961.0)	(46.0, 24527.0)	(47.0, 33862.5)	(48.0, 44139.5)	(49.0, 56349.5)	(50.0, 79892.5)	(51.0, 106320.0)	(52.0, 134356.5)	(53.0, 216042.5)	(54.0, 379470.5)	(55.0, 662627.0)	(56.0, 854320.0)	(57.0, 965729.0)	(58.0, 1051930.0)	(59.0, 1174663.0)	(60.0, 1235933.0)	(61.0, 1004155.0)	(62.0, 687643.0)	(63.0, 586640.0)	(64.0, 666695.0)	(65.0, 521677.0)	(66.0, 352002.0)	(67.0, 308029.0)	(68.0, 263270.5)	(69.0, 251228.0)	(70.0, 240584.5)	(71.0, 222203.5)	(72.0, 209852.0)	(73.0, 195477.0)	(74.0, 167999.5)	(75.0, 134375.0)	(76.0, 112475.5)	(77.0, 96447.5)	(78.0, 68523.0)	(79.0, 43939.5)	(80.0, 34141.0)	(81.0, 28189.5)	(82.0, 20000.0)	(83.0, 13630.0)	(84.0, 10453.0)	(85.0, 9034.5)	(86.0, 7395.0)	(87.0, 6240.0)	(88.0, 5729.5)	(89.0, 5530.5)	(90.0, 5190.5)	(91.0, 5017.5)	(92.0, 5023.0)	(93.0, 5096.0)	(94.0, 5175.5)	(95.0, 5460.0)	(96.0, 5721.5)	(97.0, 6380.5)	(98.0, 8734.0)	(99.0, 30452.0)	(100.0, 50480.0)
SRR24516462_1	(0.0, 343.0)	(1.0, 339.5)	(2.0, 171.0)	(3.0, 4.5)	(4.0, 3.0)	(5.0, 5.0)	(6.0, 11.5)	(7.0, 27.5)	(8.0, 38.0)	(9.0, 43.5)	(10.0, 51.0)	(11.0, 47.5)	(12.0, 43.0)	(13.0, 56.5)	(14.0, 64.0)	(15.0, 60.5)	(16.0, 61.0)	(17.0, 63.0)	(18.0, 73.0)	(19.0, 81.0)	(20.0, 92.0)	(21.0, 110.0)	(22.0, 126.0)	(23.0, 138.5)	(24.0, 149.0)	(25.0, 161.0)	(26.0, 189.0)	(27.0, 216.5)	(28.0, 225.5)	(29.0, 251.5)	(30.0, 273.0)	(31.0, 309.0)	(32.0, 387.5)	(33.0, 418.5)	(34.0, 449.0)	(35.0, 511.0)	(36.0, 562.5)	(37.0, 594.0)	(38.0, 654.5)	(39.0, 692.5)	(40.0, 674.5)	(41.0, 752.0)	(42.0, 1025.5)	(43.0, 1406.0)	(44.0, 1663.0)	(45.0, 2248.5)	(46.0, 3302.5)	(47.0, 6791.5)	(48.0, 10449.0)	(49.0, 19360.0)	(50.0, 113818.0)	(51.0, 259562.0)	(52.0, 338568.5)	(53.0, 405194.0)	(54.0, 456120.5)	(55.0, 470269.0)	(56.0, 591550.5)	(57.0, 751541.5)	(58.0, 855767.0)	(59.0, 1011293.5)	(60.0, 1061340.0)	(61.0, 1010901.5)	(62.0, 771283.0)	(63.0, 542451.5)	(64.0, 540525.0)	(65.0, 508294.0)	(66.0, 462756.0)	(67.0, 399306.0)	(68.0, 358863.5)	(69.0, 361480.5)	(70.0, 348009.5)	(71.0, 312702.5)	(72.0, 292282.0)	(73.0, 271431.5)	(74.0, 230231.5)	(75.0, 175180.5)	(76.0, 139226.0)	(77.0, 113766.5)	(78.0, 77178.0)	(79.0, 48695.5)	(80.0, 34685.0)	(81.0, 25750.0)	(82.0, 14062.0)	(83.0, 7019.5)	(84.0, 4414.0)	(85.0, 3078.5)	(86.0, 1627.0)	(87.0, 977.0)	(88.0, 723.0)	(89.0, 622.5)	(90.0, 495.0)	(91.0, 433.0)	(92.0, 407.0)	(93.0, 386.0)	(94.0, 360.5)	(95.0, 351.5)	(96.0, 348.5)	(97.0, 387.0)	(98.0, 763.5)	(99.0, 2102.0)	(100.0, 3104.0)
SRR24516462_2	(0.0, 39.0)	(1.0, 43.0)	(2.0, 28.5)	(3.0, 8.0)	(4.0, 6.0)	(5.0, 12.0)	(6.0, 23.0)	(7.0, 34.0)	(8.0, 39.0)	(9.0, 39.0)	(10.0, 57.5)	(11.0, 78.5)	(12.0, 82.0)	(13.0, 96.5)	(14.0, 121.5)	(15.0, 130.0)	(16.0, 165.5)	(17.0, 240.5)	(18.0, 345.0)	(19.0, 427.0)	(20.0, 497.0)	(21.0, 628.0)	(22.0, 811.5)	(23.0, 987.0)	(24.0, 1147.0)	(25.0, 1441.5)	(26.0, 1829.5)	(27.0, 2101.0)	(28.0, 2396.0)	(29.0, 2902.5)	(30.0, 3528.0)	(31.0, 4058.0)	(32.0, 4467.5)	(33.0, 5047.5)	(34.0, 5924.5)	(35.0, 6750.0)	(36.0, 7300.5)	(37.0, 8071.0)	(38.0, 8995.5)	(39.0, 9853.5)	(40.0, 10609.5)	(41.0, 11503.5)	(42.0, 12635.5)	(43.0, 14072.5)	(44.0, 15385.0)	(45.0, 16989.5)	(46.0, 19507.5)	(47.0, 28579.5)	(48.0, 38444.0)	(49.0, 50235.0)	(50.0, 72436.5)	(51.0, 89709.0)	(52.0, 106297.5)	(53.0, 180365.0)	(54.0, 335117.5)	(55.0, 601989.5)	(56.0, 781170.5)	(57.0, 894283.0)	(58.0, 966204.0)	(59.0, 1103216.5)	(60.0, 1211868.0)	(61.0, 997544.5)	(62.0, 696623.5)	(63.0, 617195.5)	(64.0, 707167.5)	(65.0, 575130.0)	(66.0, 422632.5)	(67.0, 388855.5)	(68.0, 347479.5)	(69.0, 331820.0)	(70.0, 318066.0)	(71.0, 297166.5)	(72.0, 279476.0)	(73.0, 260556.5)	(74.0, 223914.0)	(75.0, 178323.5)	(76.0, 149476.0)	(77.0, 126287.5)	(78.0, 87997.5)	(79.0, 55354.0)	(80.0, 41643.0)	(81.0, 33178.5)	(82.0, 21926.5)	(83.0, 14276.0)	(84.0, 10973.0)	(85.0, 9437.5)	(86.0, 7594.5)	(87.0, 6301.0)	(88.0, 5714.5)	(89.0, 5403.0)	(90.0, 5016.5)	(91.0, 4792.0)	(92.0, 4698.0)	(93.0, 4577.0)	(94.0, 4652.0)	(95.0, 4889.5)	(96.0, 4938.0)	(97.0, 5402.5)	(98.0, 7197.5)	(99.0, 24502.5)	(100.0, 40477.0)
SRR24516463_1	(0.0, 912.0)	(1.0, 912.5)	(2.0, 456.5)	(3.0, 1.5)	(4.0, 3.0)	(5.0, 5.5)	(6.0, 10.5)	(7.0, 22.0)	(8.0, 31.5)	(9.0, 29.5)	(10.0, 29.0)	(11.0, 29.5)	(12.0, 28.0)	(13.0, 33.5)	(14.0, 39.0)	(15.0, 45.5)	(16.0, 51.5)	(17.0, 50.5)	(18.0, 48.5)	(19.0, 60.0)	(20.0, 77.5)	(21.0, 82.0)	(22.0, 84.5)	(23.0, 86.0)	(24.0, 91.5)	(25.0, 115.5)	(26.0, 140.5)	(27.0, 153.5)	(28.0, 171.0)	(29.0, 203.5)	(30.0, 239.5)	(31.0, 273.5)	(32.0, 313.0)	(33.0, 332.0)	(34.0, 363.5)	(35.0, 401.0)	(36.0, 402.5)	(37.0, 440.0)	(38.0, 496.0)	(39.0, 587.0)	(40.0, 668.0)	(41.0, 743.0)	(42.0, 896.0)	(43.0, 1169.5)	(44.0, 1454.0)	(45.0, 1967.5)	(46.0, 2979.0)	(47.0, 6828.5)	(48.0, 10915.0)	(49.0, 19857.5)	(50.0, 107487.5)	(51.0, 258464.5)	(52.0, 353520.0)	(53.0, 436449.0)	(54.0, 522173.0)	(55.0, 516897.5)	(56.0, 577748.5)	(57.0, 731190.0)	(58.0, 836683.5)	(59.0, 994878.0)	(60.0, 1053578.5)	(61.0, 989748.5)	(62.0, 742821.5)	(63.0, 516541.5)	(64.0, 514479.0)	(65.0, 476270.0)	(66.0, 430357.0)	(67.0, 378243.0)	(68.0, 344952.0)	(69.0, 348578.0)	(70.0, 338624.5)	(71.0, 311017.0)	(72.0, 296558.0)	(73.0, 279803.0)	(74.0, 244648.5)	(75.0, 194250.5)	(76.0, 160127.5)	(77.0, 134792.5)	(78.0, 97112.5)	(79.0, 65399.0)	(80.0, 48809.0)	(81.0, 37310.0)	(82.0, 22215.0)	(83.0, 12591.0)	(84.0, 8509.0)	(85.0, 6004.0)	(86.0, 3155.5)	(87.0, 1744.0)	(88.0, 1176.0)	(89.0, 937.0)	(90.0, 655.0)	(91.0, 544.0)	(92.0, 493.0)	(93.0, 501.0)	(94.0, 470.5)	(95.0, 449.5)	(96.0, 465.0)	(97.0, 521.0)	(98.0, 918.5)	(99.0, 2868.0)	(100.0, 4477.0)
SRR24516463_2	(0.0, 30.0)	(1.0, 34.5)	(2.0, 23.0)	(3.0, 8.0)	(4.0, 9.0)	(5.0, 9.0)	(6.0, 13.0)	(7.0, 22.5)	(8.0, 28.0)	(9.0, 28.5)	(10.0, 41.5)	(11.0, 52.0)	(12.0, 52.0)	(13.0, 71.0)	(14.0, 94.5)	(15.0, 107.0)	(16.0, 140.0)	(17.0, 203.5)	(18.0, 285.0)	(19.0, 334.5)	(20.0, 395.5)	(21.0, 536.0)	(22.0, 691.0)	(23.0, 831.5)	(24.0, 1022.5)	(25.0, 1290.5)	(26.0, 1581.0)	(27.0, 1879.0)	(28.0, 2166.0)	(29.0, 2602.5)	(30.0, 3174.5)	(31.0, 3612.5)	(32.0, 4024.5)	(33.0, 4586.5)	(34.0, 5344.5)	(35.0, 6052.5)	(36.0, 6633.5)	(37.0, 7343.0)	(38.0, 8045.0)	(39.0, 8927.5)	(40.0, 9839.5)	(41.0, 10773.0)	(42.0, 11904.0)	(43.0, 13309.0)	(44.0, 14614.5)	(45.0, 16225.0)	(46.0, 18714.0)	(47.0, 27300.5)	(48.0, 36730.5)	(49.0, 48125.5)	(50.0, 68725.5)	(51.0, 92353.0)	(52.0, 116309.5)	(53.0, 189091.0)	(54.0, 341470.5)	(55.0, 597065.0)	(56.0, 765529.5)	(57.0, 890748.5)	(58.0, 993569.5)	(59.0, 1105018.5)	(60.0, 1161928.5)	(61.0, 966583.0)	(62.0, 688397.5)	(63.0, 596825.0)	(64.0, 681194.0)	(65.0, 554112.5)	(66.0, 404708.0)	(67.0, 372016.5)	(68.0, 332247.0)	(69.0, 319625.0)	(70.0, 310938.5)	(71.0, 295415.5)	(72.0, 280951.5)	(73.0, 266772.5)	(74.0, 235407.0)	(75.0, 194498.5)	(76.0, 169030.0)	(77.0, 145879.0)	(78.0, 106929.5)	(79.0, 71868.0)	(80.0, 56168.0)	(81.0, 45530.5)	(82.0, 30963.0)	(83.0, 20768.0)	(84.0, 16137.5)	(85.0, 13741.0)	(86.0, 10326.0)	(87.0, 7899.0)	(88.0, 7088.5)	(89.0, 6679.0)	(90.0, 6051.5)	(91.0, 5663.5)	(92.0, 5565.0)	(93.0, 5536.0)	(94.0, 5466.0)	(95.0, 5675.5)	(96.0, 5891.0)	(97.0, 6297.0)	(98.0, 8298.0)	(99.0, 28053.0)	(100.0, 46214.0)
