Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR24516459_1	(2.0, 296.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 97.0)	(17.0, 329.0)	(18.0, 576.0)	(19.0, 598.0)	(20.0, 598.0)	(21.0, 951.0)	(22.0, 1938.0)	(23.0, 4749.0)	(24.0, 10776.0)	(25.0, 22091.0)	(26.0, 40316.0)	(27.0, 66368.0)	(28.0, 99222.0)	(29.0, 139298.0)	(30.0, 187029.0)	(31.0, 247865.0)	(32.0, 341533.0)	(33.0, 531792.0)	(34.0, 1201504.0)	(35.0, 8216200.0)
SRR24516459_2	(2.0, 44.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 2.0)	(10.0, 5.0)	(11.0, 3.0)	(12.0, 9.0)	(13.0, 11.0)	(14.0, 2052.0)	(15.0, 20919.0)	(16.0, 56797.0)	(17.0, 77060.0)	(18.0, 74005.0)	(19.0, 60529.0)	(20.0, 48095.0)	(21.0, 38834.0)	(22.0, 32711.0)	(23.0, 32621.0)	(24.0, 39733.0)	(25.0, 53485.0)	(26.0, 74144.0)	(27.0, 100805.0)	(28.0, 132636.0)	(29.0, 168589.0)	(30.0, 211872.0)	(31.0, 269442.0)	(32.0, 356388.0)	(33.0, 538457.0)	(34.0, 1218658.0)	(35.0, 7506225.0)
SRR24516460_1	(2.0, 269.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 31.0)	(16.0, 188.0)	(17.0, 656.0)	(18.0, 1205.0)	(19.0, 1170.0)	(20.0, 1245.0)	(21.0, 1549.0)	(22.0, 2868.0)	(23.0, 5891.0)	(24.0, 12444.0)	(25.0, 24828.0)	(26.0, 43347.0)	(27.0, 69920.0)	(28.0, 103147.0)	(29.0, 141307.0)	(30.0, 186770.0)	(31.0, 246077.0)	(32.0, 336850.0)	(33.0, 521841.0)	(34.0, 1170386.0)	(35.0, 7962489.0)
SRR24516460_2	(2.0, 29.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 1.0)	(9.0, 6.0)	(10.0, 3.0)	(11.0, 6.0)	(12.0, 13.0)	(13.0, 14.0)	(14.0, 5041.0)	(15.0, 48088.0)	(16.0, 116390.0)	(17.0, 142084.0)	(18.0, 133439.0)	(19.0, 113054.0)	(20.0, 90481.0)	(21.0, 69858.0)	(22.0, 55471.0)	(23.0, 51090.0)	(24.0, 55796.0)	(25.0, 67251.0)	(26.0, 85330.0)	(27.0, 108968.0)	(28.0, 136084.0)	(29.0, 167494.0)	(30.0, 205236.0)	(31.0, 257317.0)	(32.0, 338123.0)	(33.0, 509919.0)	(34.0, 1161495.0)	(35.0, 6916396.0)
SRR24516461_1	(2.0, 1369.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 42.0)	(16.0, 545.0)	(17.0, 1787.0)	(18.0, 2728.0)	(19.0, 2590.0)	(20.0, 2275.0)	(21.0, 2366.0)	(22.0, 3607.0)	(23.0, 6666.0)	(24.0, 12744.0)	(25.0, 24000.0)	(26.0, 41026.0)	(27.0, 64317.0)	(28.0, 93855.0)	(29.0, 128644.0)	(30.0, 170360.0)	(31.0, 223484.0)	(32.0, 306441.0)	(33.0, 473719.0)	(34.0, 1060426.0)	(35.0, 7257003.0)
SRR24516461_2	(2.0, 53.0)	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 3.0)	(8.0, 3.0)	(9.0, 7.0)	(10.0, 3.0)	(11.0, 5.0)	(12.0, 10.0)	(13.0, 13.0)	(14.0, 4327.0)	(15.0, 41466.0)	(16.0, 98870.0)	(17.0, 124341.0)	(18.0, 121901.0)	(19.0, 107047.0)	(20.0, 88081.0)	(21.0, 69013.0)	(22.0, 55044.0)	(23.0, 49824.0)	(24.0, 53045.0)	(25.0, 62671.0)	(26.0, 77650.0)	(27.0, 96301.0)	(28.0, 120578.0)	(29.0, 147716.0)	(30.0, 182244.0)	(31.0, 228120.0)	(32.0, 301158.0)	(33.0, 454583.0)	(34.0, 1045634.0)	(35.0, 6350282.0)
SRR24516462_1	(2.0, 336.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 23.0)	(16.0, 177.0)	(17.0, 576.0)	(18.0, 940.0)	(19.0, 990.0)	(20.0, 1066.0)	(21.0, 1419.0)	(22.0, 2614.0)	(23.0, 5479.0)	(24.0, 11769.0)	(25.0, 22836.0)	(26.0, 40974.0)	(27.0, 64594.0)	(28.0, 95738.0)	(29.0, 131243.0)	(30.0, 172687.0)	(31.0, 229784.0)	(32.0, 316544.0)	(33.0, 490874.0)	(34.0, 1104757.0)	(35.0, 7417620.0)
SRR24516462_2	(2.0, 37.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 1.0)	(10.0, 5.0)	(11.0, 5.0)	(12.0, 16.0)	(13.0, 5.0)	(14.0, 4174.0)	(15.0, 39660.0)	(16.0, 93341.0)	(17.0, 114895.0)	(18.0, 109441.0)	(19.0, 93837.0)	(20.0, 76934.0)	(21.0, 61307.0)	(22.0, 50567.0)	(23.0, 46394.0)	(24.0, 49722.0)	(25.0, 59939.0)	(26.0, 76972.0)	(27.0, 97437.0)	(28.0, 123569.0)	(29.0, 153765.0)	(30.0, 189300.0)	(31.0, 239288.0)	(32.0, 315518.0)	(33.0, 476655.0)	(34.0, 1089921.0)	(35.0, 6550331.0)
SRR24516463_1	(2.0, 910.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 18.0)	(16.0, 219.0)	(17.0, 699.0)	(18.0, 1166.0)	(19.0, 1273.0)	(20.0, 1281.0)	(21.0, 1632.0)	(22.0, 2826.0)	(23.0, 5792.0)	(24.0, 11977.0)	(25.0, 23455.0)	(26.0, 41218.0)	(27.0, 66544.0)	(28.0, 97723.0)	(29.0, 134514.0)	(30.0, 179475.0)	(31.0, 237303.0)	(32.0, 325881.0)	(33.0, 506735.0)	(34.0, 1136228.0)	(35.0, 7344936.0)
SRR24516463_2	(2.0, 29.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 2.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 2.0)	(9.0, 3.0)	(10.0, 5.0)	(11.0, 5.0)	(12.0, 7.0)	(13.0, 14.0)	(14.0, 4034.0)	(15.0, 39471.0)	(16.0, 93590.0)	(17.0, 115863.0)	(18.0, 110440.0)	(19.0, 95091.0)	(20.0, 77965.0)	(21.0, 61018.0)	(22.0, 50281.0)	(23.0, 46281.0)	(24.0, 50988.0)	(25.0, 62029.0)	(26.0, 79532.0)	(27.0, 101613.0)	(28.0, 128249.0)	(29.0, 159179.0)	(30.0, 196836.0)	(31.0, 247166.0)	(32.0, 327074.0)	(33.0, 493018.0)	(34.0, 1122734.0)	(35.0, 6459286.0)
