Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24516459_1	(1.0, 6.313786532101469)	(2.0, 3.164460355494657)	(3.0, 2.0984885647964333)	(4.0, 1.425653884895215)	(5.0, 1.0595113444286288)	(6.0, 0.8513986962456782)	(7.0, 0.6966971498790956)	(8.0, 0.568280561155279)	(9.0, 0.5166108641251144)	('>10', 7.304901973686347)	('>50', 2.8733481224294124)	('>100', 7.236719223752121)	('>500', 3.6560604627094913)	('>1k', 11.593009469178659)	('>5k', 8.907180076940508)	('>10k+', 41.7338927181819)
SRR24516459_2	(1.0, 10.835038898043294)	(2.0, 2.899686233478388)	(3.0, 1.9393280156073105)	(4.0, 1.3941103207173977)	(5.0, 1.0110195040490144)	(6.0, 0.8090919962525821)	(7.0, 0.6841701756701609)	(8.0, 0.590066710565782)	(9.0, 0.5240720090349654)	('>10', 6.768641847537784)	('>50', 2.605281415085345)	('>100', 6.032143678792587)	('>500', 3.2063114716498378)	('>1k', 12.233628628220918)	('>5k', 7.692875431323139)	('>10k+', 40.774533663971496)
SRR24516460_1	(1.0, 5.223337627599965)	(2.0, 3.037014040077387)	(3.0, 2.5108939101362697)	(4.0, 1.9502014102189351)	(5.0, 1.4345769336981118)	(6.0, 1.1022424381965112)	(7.0, 0.8767945554462713)	(8.0, 0.6944378022026642)	(9.0, 0.6185352977207836)	('>10', 8.128791052515277)	('>50', 3.0853905658645076)	('>100', 7.506560233649649)	('>500', 3.5867640424097242)	('>1k', 11.250560703228535)	('>5k', 8.072821796072699)	('>10k+', 40.92107759096271)
SRR24516460_2	(1.0, 13.471055245058425)	(2.0, 2.7986542264299854)	(3.0, 2.292224075469429)	(4.0, 1.7447345025980463)	(5.0, 1.3004812075797667)	(6.0, 1.0182594522666448)	(7.0, 0.8203523252887985)	(8.0, 0.6708423096035359)	(9.0, 0.584569379294333)	('>10', 7.232902463513072)	('>50', 2.743239766337119)	('>100', 5.857488367074889)	('>500', 3.01828061963368)	('>1k', 11.672891123325913)	('>5k', 8.679379763561961)	('>10k+', 36.09464517296441)
SRR24516461_1	(1.0, 6.711316700589712)	(2.0, 3.955046498044864)	(3.0, 2.789065321461979)	(4.0, 1.9287567303624595)	(5.0, 1.3973554970257689)	(6.0, 1.1126815679531352)	(7.0, 0.8946951810091404)	(8.0, 0.761656714196513)	(9.0, 0.6541564069654585)	('>10', 8.675781992721591)	('>50', 3.260237560211647)	('>100', 7.298525615592603)	('>500', 3.366369944596853)	('>1k', 11.608368779436397)	('>5k', 7.515174193555272)	('>10k+', 38.0708112962766)
SRR24516461_2	(1.0, 14.764576016444348)	(2.0, 3.600556716251285)	(3.0, 2.5503587032163355)	(4.0, 1.8605131718288994)	(5.0, 1.31324421616384)	(6.0, 1.061013677867287)	(7.0, 0.8471714328575073)	(8.0, 0.7284457103849786)	(9.0, 0.5911899985719689)	('>10', 7.714467946847474)	('>50', 2.6189458524777636)	('>100', 5.380000646718947)	('>500', 2.949579844098493)	('>1k', 11.896409510833827)	('>5k', 8.485138887093935)	('>10k+', 33.63838766834312)
SRR24516462_1	(1.0, 6.5835122039063165)	(2.0, 4.587304797599854)	(3.0, 3.94916629768041)	(4.0, 2.986596441171708)	(5.0, 2.2171998075686608)	(6.0, 1.7650813211506406)	(7.0, 1.3585725334442622)	(8.0, 1.093044132483391)	(9.0, 0.9673564887960108)	('>10', 11.071024095370543)	('>50', 3.2628275320212263)	('>100', 6.259576961404418)	('>500', 2.7972093835592124)	('>1k', 10.812066467453873)	('>5k', 6.602814527916788)	('>10k+', 33.68664700847261)
SRR24516462_2	(1.0, 14.110936411266026)	(2.0, 4.165635973938775)	(3.0, 3.6037461234785475)	(4.0, 2.8808962894234758)	(5.0, 2.144369434980171)	(6.0, 1.651113351977334)	(7.0, 1.3606435288809802)	(8.0, 1.1366759092579204)	(9.0, 0.9003046307280389)	('>10', 9.997647271348535)	('>50', 2.401239599505205)	('>100', 4.264068457394654)	('>500', 2.365534240893864)	('>1k', 11.011968021217488)	('>5k', 6.941736395470391)	('>10k+', 31.06348436023864)
SRR24516463_1	(1.0, 9.403092881328925)	(2.0, 5.3677603145810435)	(3.0, 3.584598817687269)	(4.0, 2.3486885368236674)	(5.0, 1.734070790182085)	(6.0, 1.3854824662629943)	(7.0, 1.1138867447388492)	(8.0, 0.951613338545099)	(9.0, 0.8315642001798009)	('>10', 10.246375692278074)	('>50', 2.952053438209245)	('>100', 5.916917064615516)	('>500', 2.988793245875466)	('>1k', 10.942320228150491)	('>5k', 6.859236918616012)	('>10k+', 33.373545321925455)
SRR24516463_2	(1.0, 16.539238441540423)	(2.0, 4.873152804275873)	(3.0, 3.375282484659165)	(4.0, 2.3566877782890168)	(5.0, 1.7597500718464991)	(6.0, 1.38302809760574)	(7.0, 1.1239727324211255)	(8.0, 0.9300439638062908)	(9.0, 0.8239413056296018)	('>10', 8.87958732324482)	('>50', 2.1806886453043717)	('>100', 4.063756380471994)	('>500', 2.3852772124013963)	('>1k', 11.601135944367678)	('>5k', 7.113882857508044)	('>10k+', 30.610573956628013)
SRR24516464_1	(1.0, 8.461237640890936)	(2.0, 5.386065848492992)	(3.0, 4.002798383483653)	(4.0, 2.8473265284550027)	(5.0, 2.066221112786314)	(6.0, 1.6543412593738347)	(7.0, 1.2821772881472293)	(8.0, 1.0483492382119757)	(9.0, 0.9110884821314471)	('>10', 10.86282173239746)	('>50', 3.1704957713635658)	('>100', 6.4854540964690965)	('>500', 3.0143305495101873)	('>1k', 11.476977083154523)	('>5k', 7.294022154142908)	('>10k+', 30.03629283098882)
SRR24516464_2	(1.0, 17.295814647821476)	(2.0, 4.814867873471)	(3.0, 3.675786231154996)	(4.0, 2.639595889362258)	(5.0, 2.0174815683132152)	(6.0, 1.5806827443386469)	(7.0, 1.2626015030401745)	(8.0, 1.0535804481051716)	(9.0, 0.8703241717680995)	('>10', 9.2518306884953)	('>50', 2.240831468767165)	('>100', 4.610907208317559)	('>500', 2.618975227663626)	('>1k', 11.270248253857849)	('>5k', 7.896716356131837)	('>10k+', 26.899755719391553)
