Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR24516459_1	(24, 301.0)	(26, 3.0)	(28, 12.0)	(30, 7.0)	(32, 28.0)	(34, 38.0)	(36, 31.0)	(38, 62.0)	(40, 109.0)	(42, 161.0)	(44, 151.0)	(46, 209.0)	(48, 330.0)	(50, 419.0)	(52, 560.0)	(54, 718.0)	(56, 869.0)	(58, 1099.0)	(60, 1483.0)	(62, 2060.0)	(64, 2580.0)	(66, 2792.0)	(68, 4869.0)	(70, 26418.0)	(72, 752498.0)	(74, 10316325.0)
SRR24516459_2	(24, 49.0)	(26, 3.0)	(28, 12.0)	(30, 7.0)	(32, 25.0)	(34, 32.0)	(36, 30.0)	(38, 59.0)	(40, 94.0)	(42, 152.0)	(44, 141.0)	(46, 205.0)	(48, 309.0)	(50, 402.0)	(52, 547.0)	(54, 689.0)	(56, 829.0)	(58, 1039.0)	(60, 1430.0)	(62, 1983.0)	(64, 3231.0)	(66, 2858.0)	(68, 6209.0)	(70, 33562.0)	(72, 1021050.0)	(74, 10039185.0)
SRR24516460_1	(24, 276.0)	(26, 4.0)	(28, 10.0)	(30, 16.0)	(32, 24.0)	(34, 30.0)	(36, 35.0)	(38, 59.0)	(40, 74.0)	(42, 100.0)	(44, 122.0)	(46, 195.0)	(48, 260.0)	(50, 398.0)	(52, 504.0)	(54, 683.0)	(56, 809.0)	(58, 1033.0)	(60, 1379.0)	(62, 1775.0)	(64, 2256.0)	(66, 2329.0)	(68, 4540.0)	(70, 23494.0)	(72, 709504.0)	(74, 10084569.0)
SRR24516460_2	(24, 35.0)	(26, 4.0)	(28, 8.0)	(30, 16.0)	(32, 25.0)	(34, 25.0)	(36, 28.0)	(38, 52.0)	(40, 62.0)	(42, 82.0)	(44, 107.0)	(46, 168.0)	(48, 230.0)	(50, 355.0)	(52, 461.0)	(54, 642.0)	(56, 744.0)	(58, 933.0)	(60, 1246.0)	(62, 1622.0)	(64, 2586.0)	(66, 2385.0)	(68, 5578.0)	(70, 24379.0)	(72, 1048177.0)	(74, 9744528.0)
SRR24516461_1	(24, 1382.0)	(26, 9.0)	(28, 32.0)	(30, 47.0)	(32, 84.0)	(34, 92.0)	(36, 113.0)	(38, 165.0)	(40, 253.0)	(42, 274.0)	(44, 357.0)	(46, 499.0)	(48, 697.0)	(50, 1008.0)	(52, 1245.0)	(54, 1613.0)	(56, 1924.0)	(58, 2459.0)	(60, 3175.0)	(62, 4105.0)	(64, 5253.0)	(66, 5491.0)	(68, 8062.0)	(70, 28066.0)	(72, 639310.0)	(74, 9174279.0)
SRR24516461_2	(24, 64.0)	(26, 7.0)	(28, 23.0)	(30, 31.0)	(32, 69.0)	(34, 80.0)	(36, 92.0)	(38, 146.0)	(40, 212.0)	(42, 238.0)	(44, 321.0)	(46, 456.0)	(48, 637.0)	(50, 909.0)	(52, 1134.0)	(54, 1507.0)	(56, 1767.0)	(58, 2192.0)	(60, 2859.0)	(62, 3759.0)	(64, 5134.0)	(66, 5222.0)	(68, 8932.0)	(70, 27664.0)	(72, 928472.0)	(74, 8888067.0)
SRR24516462_1	(24, 343.0)	(26, 6.0)	(28, 7.0)	(30, 10.0)	(32, 33.0)	(34, 37.0)	(36, 29.0)	(38, 63.0)	(40, 90.0)	(42, 115.0)	(44, 127.0)	(46, 181.0)	(48, 236.0)	(50, 402.0)	(52, 513.0)	(54, 676.0)	(56, 770.0)	(58, 1013.0)	(60, 1461.0)	(62, 1995.0)	(64, 2381.0)	(66, 2569.0)	(68, 4987.0)	(70, 22790.0)	(72, 679530.0)	(74, 9392676.0)
SRR24516462_2	(24, 44.0)	(26, 6.0)	(28, 6.0)	(30, 12.0)	(32, 29.0)	(34, 34.0)	(36, 25.0)	(38, 54.0)	(40, 67.0)	(42, 93.0)	(44, 118.0)	(46, 161.0)	(48, 216.0)	(50, 380.0)	(52, 478.0)	(54, 645.0)	(56, 709.0)	(58, 915.0)	(60, 1321.0)	(62, 1814.0)	(64, 2395.0)	(66, 2509.0)	(68, 5898.0)	(70, 25178.0)	(72, 903277.0)	(74, 9166656.0)
SRR24516463_1	(24, 913.0)	(26, 8.0)	(28, 13.0)	(30, 31.0)	(32, 72.0)	(34, 75.0)	(36, 109.0)	(38, 111.0)	(40, 168.0)	(42, 220.0)	(44, 255.0)	(46, 400.0)	(48, 530.0)	(50, 724.0)	(52, 957.0)	(54, 1306.0)	(56, 1635.0)	(58, 2090.0)	(60, 2589.0)	(62, 3593.0)	(64, 4549.0)	(66, 4814.0)	(68, 7760.0)	(70, 27213.0)	(72, 673373.0)	(74, 9388297.0)
SRR24516463_2	(24, 32.0)	(26, 6.0)	(28, 10.0)	(30, 29.0)	(32, 69.0)	(34, 61.0)	(36, 100.0)	(38, 100.0)	(40, 151.0)	(42, 188.0)	(44, 225.0)	(46, 376.0)	(48, 478.0)	(50, 667.0)	(52, 879.0)	(54, 1222.0)	(56, 1531.0)	(58, 1904.0)	(60, 2340.0)	(62, 3298.0)	(64, 4495.0)	(66, 4672.0)	(68, 8761.0)	(70, 28484.0)	(72, 909417.0)	(74, 9152310.0)
