Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR24516459_1	89.99919885108616	60.0	73.83323555991598	74	27.27272727272727	11.114132
SRR24516459_2	85.71907376787101	60.0	73.78273499001092	74	36.36363636363637	11.114132
SRR24516460_1	90.66280386886845	60.0	73.84034062370148	74	27.27272727272727	10.834477999999999
SRR24516460_2	82.76990349363368	61.0	73.77888791688903	74	36.36363636363637	10.834477999999999
SRR24516461_1	88.5865892914203	61.0	73.80385311974887	74	36.36363636363637	9.879994
SRR24516461_2	80.91667265498529	61.0	73.75528163276212	74	36.36363636363637	9.879994
SRR24516462_1	87.19407972786276	62.0	73.83391640891364	74	27.27272727272727	10.11304
SRR24516462_2	80.1188361592908	62.0	73.79090777847215	74	36.36363636363637	10.11304
SRR24516463_1	84.54574258649507	62.0	73.81223882499218	74	36.36363636363637	10.121805
SRR24516463_2	77.80223225687655	62.0	73.77128348155294	74	36.36363636363637	10.121805
SRR24516464_1	85.01381486769527	62.0	73.81308753191826	74	27.27272727272727	10.822178
SRR24516464_2	76.74808303429782	62.0	73.77622027654692	74	36.36363636363637	10.822178
