Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR24516459_1	1.8019182147798716	37.437384635203856
SRR24516459_2	1.7531417085348069	37.50502270172676
SRR24516460_1	2.871116557129348	36.2372606079573
SRR24516460_2	2.622743632196905	34.76375442103386
SRR24516461_1	2.0609810276148446	35.70384662880792
SRR24516461_2	2.6601902992160626	33.249265545478416
SRR24516462_1	2.0122856485853533	30.824051562663954
SRR24516462_2	2.6699127747973415	30.31129373260016
SRR24516463_1	1.799357084526735	30.96666351391597
SRR24516463_2	2.606591541865942	29.122695193142096
SRR24516464_1	1.3600696471865423	26.652737654087975
SRR24516464_2	1.4502397758785985	26.513723602647048
