Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR24516459_1	(1, 0.0)	(2, 0.00048186467863067827)	(3, 0.0)	(4, 0.00012784164943262892)	(5, 0.00043269481346428255)	(6, 0.022549300165309087)	(7, 0.00013767562246590808)	(8, 0.0016619414426241761)	(9, 5.900383819967488e-05)	(10, 0.0)	(11, 0.00013767562246590808)	(12, 0.00013767562246590808)	(13, 0.00037369097526460766)	(14, 0.0010915710066939854)	(15, 8.850575729951233e-05)	(16, 0.00018684548763230383)	(17, 0.00033435508313149105)	(18, 0.0006097063280633072)	(19, 0.00023601535279869953)	(20, 0.00010817370336607064)	(21, 0.0004523627595308409)	(22, 0.0005900383819967489)	(23, 0.003382886723448027)	(24, 0.0009342274381615192)	(25, 0.0008850575729951233)	(26, 0.0017614275317224244)	(27, 0.0012701580982523411)	(28, 0.0009556741576742162)	(29, 0.0006605209953006396)	(30, 0.0013218820206485865)	(31, 0.0005922558987700424)	(32, 0.00029631201180744106)	(33, 0.0005040421213176017)	(34, 0.0001681307392540474)	(35, 0.00023750862948020444)	(36, 0.0002574553626862813)	(37, 0.00012880951668489487)	(38, 0.00016855257164624505)	(39, 0.0003174692620307953)	(40, 0.00018861814574067467)	(41, 0.00044700320113892443)	(42, 3.9757637442152637e-05)	(43, 0.0001292855422364927)	(44, 0.0002487771855001113)	(45, 9.956853964714702e-06)	(46, 2.9888134689484198e-05)	(47, 9.968515440831678e-06)	(48, 8.976948990382496e-05)	(49, 0.0006287673644587151)	(50, 2.9959225494102525e-05)	(51, 0.00017986335780707395)	(52, 0.0)	(53, 2.0010107105098787e-05)	(54, 0.0)	(55, 0.0003005329049470521)	(56, 7.0169789840477e-05)	(57, 0.00011033999061307607)	(58, 0.00028104486861252765)	(59, 0.00017075350104943092)	(60, 0.000190976827374337)	(61, 5.0293528118156e-05)	(62, 2.0132560833552443e-05)	(63, 4.029643670699131e-05)	(64, 6.0493097384712e-05)	(65, 3.027550100403653e-05)	(66, 9.091056017066943e-05)	(67, 0.0003437660603206306)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 6.0955997287864495e-05)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
SRR24516459_2	(1, 0.0)	(2, 0.005516858871669602)	(3, 0.0006293742741298654)	(4, 7.867178426623318e-05)	(5, 0.00035402302919804933)	(6, 1.9667946066558295e-05)	(7, 0.00011800767639934976)	(8, 0.0)	(9, 0.0005703704359301905)	(10, 5.900383819967488e-05)	(11, 0.00017701151459902466)	(12, 0.0004228608404310034)	(13, 4.916986516639574e-05)	(14, 8.850575729951233e-05)	(15, 0.0005605364628969115)	(16, 0.0006097063280633072)	(17, 0.00024584932583197866)	(18, 0.00041302686739772427)	(19, 0.0004916986516639573)	(20, 2.950191909983744e-05)	(21, 0.00022618137976542044)	(22, 0.0003048531640316536)	(23, 0.000265517271898537)	(24, 0.00021634740673214127)	(25, 0.000599872355030028)	(26, 0.00045294350258453505)	(27, 0.0005619672402676146)	(28, 0.0002072987112239123)	(29, 0.0013244184814494436)	(30, 3.958141466548807e-05)	(31, 0.0002476821409882042)	(32, 0.0001289609487399077)	(33, 0.0008044550522160849)	(34, 0.0004772432995289311)	(35, 0.0002986154693762371)	(36, 0.00014948368335768257)	(37, 0.00041902681023323334)	(38, 0.0008789910062239555)	(39, 0.00022998822460290033)	(40, 0.00012013139972501923)	(41, 0.00024049354084452112)	(42, 0.0006219347768974502)	(43, 9.037207085290851e-05)	(44, 0.0004423502511192215)	(45, 0.0001811869010325942)	(46, 0.0006248725688299654)	(47, 3.027362818838068e-05)	(48, 0.00013133537873031623)	(49, 0.0006270979333785315)	(50, 0.0002632723169361259)	(51, 0.0007400194189205327)	(52, 0.0009640851881909509)	(53, 0.00137161695757477)	(54, 0.0007832105693147456)	(55, 0.0010895552282816768)	(56, 0.0010193364038464047)	(57, 0.0003775606905850344)	(58, 0.0010010714529050532)	(59, 0.0005419999327101971)	(60, 0.0003788091693523725)	(61, 0.0003895100435164721)	(62, 0.0004618058352759111)	(63, 0.00029794089962124524)	(64, 0.0005039923393164423)	(65, 0.001060559163859274)	(66, 0.0006803438457796571)	(67, 0.00034054778659418157)	(68, 0.0002995927191944303)	(69, 0.000403373568295334)	(70, 0.0009632825686872262)	(71, 0.0007788907723044719)	(72, 0.0004998926792904149)	(73, 0.0005388617022007217)	(74, 0.0007849014510057588)	(75, 0.0)
SRR24516460_1	(1, 0.0)	(2, 0.0003996177130761646)	(3, 0.0)	(4, 0.0001998088565380823)	(5, 0.0004837477579343045)	(6, 0.02141109641639661)	(7, 8.413004485813992e-05)	(8, 0.0014933082962319834)	(9, 8.413004485813992e-05)	(10, 5.2581278036337446e-05)	(11, 0.00012619506728720988)	(12, 0.00017877634532354733)	(13, 0.00024187387896715224)	(14, 0.0009780117714758767)	(15, 8.413004485813992e-05)	(16, 5.2581278036337446e-05)	(17, 0.0002839389013962222)	(18, 0.0006730403588651193)	(19, 0.0003154876682180247)	(20, 0.00010516255607267489)	(21, 0.0003049714126107572)	(22, 0.0005678778027924444)	(23, 0.0034493318391837367)	(24, 0.0008413004485813991)	(25, 0.0009043979822250042)	(26, 0.001494389829056537)	(27, 0.0012742027439798132)	(28, 0.0008957062791539221)	(29, 0.0007908526815441873)	(30, 0.0014667085645861423)	(31, 0.0005596258658230465)	(32, 0.00025358422815987343)	(33, 0.0006343713163511427)	(34, 0.00014813588970732792)	(35, 0.0002647013544027141)	(36, 0.00022248458923411908)	(37, 0.00011662260099358214)	(38, 0.00013792045448396902)	(39, 0.0003397159231753672)	(40, 0.00016997774460142715)	(41, 0.000563411484175738)	(42, 4.2548547360681695e-05)	(43, 6.386055579331787e-05)	(44, 0.00036211409022136464)	(45, 2.1313899603859864e-05)	(46, 3.199062290861303e-05)	(47, 2.133965214659829e-05)	(48, 5.3380860804814704e-05)	(49, 0.0006516509898311466)	(50, 2.1378745208755965e-05)	(51, 0.00011765514997448488)	(52, 0.0)	(53, 1.070964805419082e-05)	(54, 0.0)	(55, 0.00028954119302553174)	(56, 4.2922401770205694e-05)	(57, 0.0001073762547720692)	(58, 0.0002686177051086897)	(59, 0.00020429268389190897)	(60, 0.00017215663413121477)	(61, 9.690836474241111e-05)	(62, 7.543117266486372e-05)	(63, 0.00011862277235869414)	(64, 8.634051035228115e-05)	(65, 9.722108647588793e-05)	(66, 9.730720685284924e-05)	(67, 0.0003787664399515049)	(68, 1.0832631830150398e-05)	(69, 0.0)	(70, 0.0)	(71, 0.00010868981600335808)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
SRR24516460_2	(1, 0.0)	(2, 0.00565774551670991)	(3, 0.0007256216369014568)	(4, 0.00016826008971627983)	(5, 0.0003154876682180247)	(6, 6.309753364360494e-05)	(7, 9.464630046540741e-05)	(8, 1.051625560726749e-05)	(9, 0.000494264013541572)	(10, 0.00010516255607267489)	(11, 0.00010516255607267489)	(12, 0.0005994265696142468)	(13, 5.2581278036337446e-05)	(14, 0.00010516255607267489)	(15, 0.0004311664798979671)	(16, 0.0008097516817595967)	(17, 0.0003049714126107572)	(18, 0.0003680689462543621)	(19, 0.0004101339686834321)	(20, 0.0)	(21, 0.00021032511214534979)	(22, 0.00021032511214534979)	(23, 0.00023135762335988478)	(24, 0.00017877634532354733)	(25, 0.0007887191705450618)	(26, 0.0005266659391654493)	(27, 0.0005486450892993739)	(28, 0.00015851880032971913)	(29, 0.0014923807611586422)	(30, 9.539845549900547e-05)	(31, 0.00020169992698462644)	(32, 0.00011696035766902686)	(33, 0.0006495339487436789)	(34, 0.0005011536129656757)	(35, 0.00035235618982517046)	(36, 0.0001497015912637573)	(37, 0.000331935456756573)	(38, 0.0008900251662658158)	(39, 0.00010737055942208871)	(40, 0.0001075146620432495)	(41, 0.0003551910362698483)	(42, 0.0005064807444103115)	(43, 5.394297235271626e-05)	(44, 0.0005942110875467401)	(45, 0.0001731148335609072)	(46, 0.0006068149216656116)	(47, 1.0851854283471052e-05)	(48, 0.00017385125069676322)	(49, 0.000663672307772484)	(50, 0.00040305410434896466)	(51, 0.00045810159209936177)	(52, 0.0010921006720241485)	(53, 0.001465413614086168)	(54, 0.0008322162290486826)	(55, 0.0009538193558232973)	(56, 0.0010536952103186615)	(57, 0.00030771144666800153)	(58, 0.0010672357417029848)	(59, 0.0005067942936284609)	(60, 0.00041916289199451823)	(61, 0.0003313428098113257)	(62, 0.0006414420679384473)	(63, 0.00023252523064841988)	(64, 0.0005875633459803573)	(65, 0.0010210651285282378)	(66, 0.0009000250006944637)	(67, 0.00034485044837232815)	(68, 0.00032296126525087126)	(69, 0.0004794654428627165)	(70, 0.000904504634078742)	(71, 0.0010295059770095648)	(72, 0.0005161347654801439)	(73, 0.00043229296721911055)	(74, 0.0007872973693395662)	(75, 0.0)
SRR24516461_1	(1, 0.0)	(2, 0.0004958050854151093)	(3, 1.1530350823607194e-05)	(4, 0.0002075463148249295)	(5, 0.00042662298047346623)	(6, 0.02172318095167595)	(7, 5.765175411803597e-05)	(8, 0.001844856131777151)	(9, 8.071245576525035e-05)	(10, 3.459105247082159e-05)	(11, 0.00013836420988328635)	(12, 0.0001614249115305007)	(13, 0.00024213736729575107)	(14, 0.0008647763117705395)	(15, 0.00013836420988328635)	(16, 0.0002075463148249295)	(17, 0.0002882587705901799)	(18, 0.0005995782428275742)	(19, 0.00025366771811935826)	(20, 9.224280658885756e-05)	(21, 0.0004496836821206806)	(22, 0.0007033514002400389)	(23, 0.0032976803355516575)	(24, 0.0011069136790662908)	(25, 0.0008071245576525035)	(26, 0.0014539257842429523)	(27, 0.0011778240670334318)	(28, 0.001086209815292332)	(29, 0.0007053748639551594)	(30, 0.0012381705532493181)	(31, 0.0005789980277011184)	(32, 0.00025493965867983207)	(33, 0.0005798080232442716)	(34, 0.00015086833430333934)	(35, 0.0002554906686678554)	(36, 0.0002324175269310904)	(37, 0.00012792545155939963)	(38, 0.00013965381680864028)	(39, 0.0004075934425435322)	(40, 0.0001514974414995543)	(41, 0.0004897916915935652)	(42, 2.333867438896725e-05)	(43, 7.005919768673871e-05)	(44, 0.0003038036923365986)	(45, 3.507710590959203e-05)	(46, 4.679876554216253e-05)	(47, 3.512171958748838e-05)	(48, 7.028704291164544e-05)	(49, 0.0006095563191941666)	(50, 2.345970057445769e-05)	(51, 0.0001291122849634894)	(52, 1.1745499917252953e-05)	(53, 4.701395562258701e-05)	(54, 0.0)	(55, 0.0003177958620624716)	(56, 1.1778460352642392e-05)	(57, 0.00012965968928587804)	(58, 0.0003892495410394048)	(59, 0.00017707094205636733)	(60, 0.00015358360766713)	(61, 9.459158428133808e-05)	(62, 3.55029291691711e-05)	(63, 4.7379499127624975e-05)	(64, 4.7423605906041035e-05)	(65, 9.494560625558621e-05)	(66, 9.504577463910228e-05)	(67, 0.00038059167971878083)	(68, 2.3816288769643377e-05)	(69, 0.0)	(70, 0.0)	(71, 0.00016741314994418564)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
SRR24516461_2	(1, 0.0)	(2, 0.00583435751674524)	(3, 0.0006572299969456101)	(4, 6.918210494164317e-05)	(5, 0.0006111085936511812)	(6, 4.612140329442878e-05)	(7, 9.224280658885756e-05)	(8, 5.765175411803597e-05)	(9, 0.0007379424527108604)	(10, 6.918210494164317e-05)	(11, 0.00012683385905967913)	(12, 0.0005073354362387165)	(13, 8.071245576525035e-05)	(14, 9.224280658885756e-05)	(15, 0.0005765175411803598)	(16, 0.0005765175411803598)	(17, 0.00031131947223739427)	(18, 0.0005534568395331454)	(19, 0.0007379424527108604)	(20, 2.306070164721439e-05)	(21, 0.0001960159640013223)	(22, 0.0002767284197665727)	(23, 0.0002997891214137871)	(24, 0.00031131947223739427)	(25, 0.0005880478920039669)	(26, 0.0005658561912289058)	(27, 0.000508939699320739)	(28, 0.00017377187020353434)	(29, 0.001403947971312586)	(30, 0.00013943722901972258)	(31, 0.0002443691813225144)	(32, 0.00012820680176710931)	(33, 0.0008753972406778656)	(34, 0.0005025653036861879)	(35, 0.00028087602892789036)	(36, 0.0002109561729174934)	(37, 0.0003755274400247473)	(38, 0.0010106484743673692)	(39, 0.00015296633493367496)	(40, 0.00015316597005605285)	(41, 0.0003420473230727786)	(42, 0.0007203285453921528)	(43, 4.72877183392175e-05)	(44, 0.0005800844460892009)	(45, 0.0001896935465188448)	(46, 0.00081928107966523)	(47, 0.0)	(48, 0.00013096811271734904)	(49, 0.0007987454689077)	(50, 0.00027454714046022693)	(51, 0.00046613594101730944)	(52, 0.0011607969433464077)	(53, 0.0016417427350786857)	(54, 0.0007199690125337005)	(55, 0.0011053255063472117)	(56, 0.0011186606672774794)	(57, 0.00027699579990064283)	(58, 0.0009887448282315105)	(59, 0.0005795693823637761)	(60, 0.0003626997190890676)	(61, 0.00033897943944422867)	(62, 0.00043641415460820014)	(63, 0.0003155946099839326)	(64, 0.0004740265075623029)	(65, 0.0009979116872496094)	(66, 0.0007189298619337849)	(67, 0.0003904308331037518)	(68, 0.00030541781890629146)	(69, 0.0005260541145750755)	(70, 0.0009558686474715987)	(71, 0.0008843419519416649)	(72, 0.00043122896064703075)	(73, 0.0007129783193299805)	(74, 0.000971159304321659)	(75, 0.0)
SRR24516462_1	(1, 0.0)	(2, 0.0005581341352604589)	(3, 1.1162682705209177e-05)	(4, 0.00022325365410418355)	(5, 0.0005581341352604589)	(6, 0.021733743227042267)	(7, 8.930146164167342e-05)	(8, 0.0016185889922553306)	(9, 0.0001004641443468826)	(10, 4.465073082083671e-05)	(11, 0.0001451148751677193)	(12, 0.00026790438492502026)	(13, 0.00025674170221981105)	(14, 0.00081487583748027)	(15, 0.00011162682705209177)	(16, 0.00017860292328334684)	(17, 0.0003460431638614845)	(18, 0.0006027848660812956)	(19, 0.0003237177984510662)	(20, 5.581341352604589e-05)	(21, 0.00037953121197711203)	(22, 0.0007702251066594332)	(23, 0.003471594321320054)	(24, 0.00081487583748027)	(25, 0.0007032490104281783)	(26, 0.0015527370956935117)	(27, 0.0014196415796251252)	(28, 0.001051483895461471)	(29, 0.0006268392414797436)	(30, 0.0013665655184155905)	(31, 0.00045956922894819846)	(32, 0.0003252841216594022)	(33, 0.0005499894996902661)	(34, 0.00020219300782880096)	(35, 0.00025853311011060046)	(36, 0.00031494174758701194)	(37, 0.00015758569707188892)	(38, 0.00010137325847781744)	(39, 0.0003606776185674133)	(40, 0.00011278960846779264)	(41, 0.000440176612400791)	(42, 0.0)	(43, 5.6503598036115743e-05)	(44, 0.00032794597259728684)	(45, 1.1315859006659948e-05)	(46, 3.396958748125587e-05)	(47, 5.665172873883281e-05)	(48, 0.00012471055813189933)	(49, 0.0005445410777965417)	(50, 1.1351909067575757e-05)	(51, 0.0001476673499878629)	(52, 0.0)	(53, 1.1373929770078285e-05)	(54, 1.1381551961109692e-05)	(55, 0.0004214028455170197)	(56, 1.1396976404953718e-05)	(57, 0.00020528440843249043)	(58, 0.0003880206609589589)	(59, 0.00026267309157434945)	(60, 0.00018286410214240153)	(61, 0.00010293960041820928)	(62, 6.868108282595183e-05)	(63, 6.873649041561289e-05)	(64, 0.00011465513969754203)	(65, 5.738004987473935e-05)	(66, 0.00016080998611635498)	(67, 0.0005173917202607838)	(68, 0.0)	(69, 0.0)	(70, 2.306906983318871e-05)	(71, 0.0001039638168952292)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
SRR24516462_2	(1, 0.0)	(2, 0.005335762333089987)	(3, 0.0006027848660812956)	(4, 0.00011162682705209177)	(5, 0.0004241819427979488)	(6, 1.1162682705209177e-05)	(7, 0.00012278950975730095)	(8, 3.348804811562753e-05)	(9, 0.00045766999091357625)	(10, 0.00012278950975730095)	(11, 0.00015627755787292848)	(12, 0.00041301926009273954)	(13, 7.813877893646424e-05)	(14, 0.00011162682705209177)	(15, 0.000569296817965668)	(16, 0.0006697609623125506)	(17, 0.00031255511574585697)	(18, 0.0005469714525552497)	(19, 0.0004018565773875304)	(20, 3.348804811562753e-05)	(21, 0.00027906706763022946)	(22, 0.00018976560598855602)	(23, 0.0004018565773875304)	(24, 0.00022325365410418355)	(25, 0.0006585982796073414)	(26, 0.0003465520585471755)	(27, 0.000638202392116924)	(28, 0.00013455595357954157)	(29, 0.001426091729364172)	(30, 7.87077270636407e-05)	(31, 0.0002927526052448431)	(32, 0.00012404223886317768)	(33, 0.0008017169841936415)	(34, 0.0005087790963698838)	(35, 0.00020377476910620536)	(36, 0.0002380593942317982)	(37, 0.0004313131533259238)	(38, 0.0010229390676114987)	(39, 0.0001707002374098902)	(40, 0.00011394211694882153)	(41, 0.00023953448184414175)	(42, 0.00043393866254166094)	(43, 0.00013718277341041177)	(44, 0.0005952669182585191)	(45, 0.0001604887110521124)	(46, 0.0005395411948311954)	(47, 0.0)	(48, 0.0001266027621960469)	(49, 0.0006453133255473208)	(50, 0.00017306116119885696)	(51, 0.0005544778534036796)	(52, 0.0012721759053815702)	(53, 0.0012159683746312865)	(54, 0.0006493139070980214)	(55, 0.0012421109989857642)	(56, 0.0009297059769983768)	(57, 0.0003955892266626208)	(58, 0.0009318498594188006)	(59, 0.0005598235622739567)	(60, 0.0004437205312642567)	(61, 0.0003858146025215206)	(62, 0.0003979966720454746)	(63, 0.0003164245803770586)	(64, 0.0005983972106711353)	(65, 0.000916196557990485)	(66, 0.0006820385615195255)	(67, 0.0003649504420844839)	(68, 0.0004242951897065044)	(69, 0.000578202611162992)	(70, 0.0009218005838070364)	(71, 0.0009118634260698437)	(72, 0.0005225659412897165)	(73, 0.0006020554413590174)	(74, 0.0008000073443297184)	(75, 0.0)
SRR24516463_1	(1, 0.0)	(2, 0.0004578374683687352)	(3, 0.0)	(4, 0.0001786682803390186)	(5, 0.0005583383760594331)	(6, 0.021328525965470347)	(7, 0.00010050090769069796)	(8, 0.0017196821982630541)	(9, 8.93341401695093e-05)	(10, 4.466707008475465e-05)	(11, 0.0001786682803390186)	(12, 0.00018983504786020727)	(13, 0.00025683565298733924)	(14, 0.0009045081692162816)	(15, 8.93341401695093e-05)	(16, 0.0001786682803390186)	(17, 0.00020100181538139592)	(18, 0.0006030054461441878)	(19, 0.00020100181538139592)	(20, 4.466707008475465e-05)	(21, 0.00037967009572041453)	(22, 0.0005918386786229991)	(23, 0.0035956991418227497)	(24, 0.0008486743316103383)	(25, 0.0009491752393010364)	(26, 0.0017991934696205624)	(27, 0.0013083965622495385)	(28, 0.0011414618097093637)	(29, 0.0006719043100757763)	(30, 0.0012214820364817463)	(31, 0.00041491989130444537)	(32, 0.00021321722346287215)	(33, 0.000673782634802288)	(34, 8.99076019574683e-05)	(35, 0.00016869129964500605)	(36, 0.0003713673938752964)	(37, 0.0001126179010883732)	(38, 9.015833832772961e-05)	(39, 0.0003157640701086454)	(40, 0.00014670704194929873)	(41, 0.00047430589003217937)	(42, 2.2601510730180227e-05)	(43, 4.5232699623211615e-05)	(44, 0.00033948691079924837)	(45, 2.264695837760814e-05)	(46, 0.0)	(47, 3.401523678516555e-05)	(48, 0.00012480259916162152)	(49, 0.0005336076909444163)	(50, 2.2722201545018817e-05)	(51, 0.00012505564976414505)	(52, 2.2753584144574455e-05)	(53, 2.2769307974699655e-05)	(54, 1.1392768189750657e-05)	(55, 0.00033063583894112617)	(56, 1.1409535108223433e-05)	(57, 0.00017127115855347576)	(58, 0.00030851649500580354)	(59, 0.00013722701258852)	(60, 0.00018311848956545067)	(61, 9.163595144119297e-05)	(62, 1.1464467659481923e-05)	(63, 2.294915717499088e-05)	(64, 8.039834393194073e-05)	(65, 9.19817972622308e-05)	(66, 9.207768225741329e-05)	(67, 0.00039176911525052314)	(68, 0.0)	(69, 0.0)	(70, 1.1565163276396877e-05)	(71, 4.6340545080661515e-05)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)
SRR24516463_2	(1, 0.0)	(2, 0.005739718505890973)	(3, 0.0006923395863136971)	(4, 0.00011166767521188662)	(5, 0.00034616979315684853)	(6, 0.0)	(7, 0.00010050090769069796)	(8, 2.2333535042377324e-05)	(9, 0.0005360048410170558)	(10, 0.00016750151281782992)	(11, 0.00011166767521188662)	(12, 0.0004801710034111125)	(13, 3.3500302563565986e-05)	(14, 6.700060512713197e-05)	(15, 0.0004578374683687352)	(16, 0.0005918386786229991)	(17, 0.00025683565298733924)	(18, 0.0004466707008475465)	(19, 0.00039083686324160313)	(20, 3.3500302563565986e-05)	(21, 0.00020100181538139592)	(22, 0.00018983504786020727)	(23, 0.00039083686324160313)	(24, 0.00037967009572041453)	(25, 0.0007481734239196404)	(26, 0.00040262358475013965)	(27, 0.0006049252340416522)	(28, 0.00014585837936754683)	(29, 0.00141588656186559)	(30, 0.00010127762853706491)	(31, 0.00022539762394840736)	(32, 0.0001241688728277079)	(33, 0.0008365218191455653)	(34, 0.00046410309699392504)	(35, 0.0003853932337190062)	(36, 0.00020432594346936822)	(37, 0.00045466041129717456)	(38, 0.0007968133839150469)	(39, 0.0001367743791497489)	(40, 9.130447039241406e-05)	(41, 0.0003084925249976063)	(42, 0.000629168959320223)	(43, 0.00013743506765699322)	(44, 0.0005505306886450751)	(45, 0.00013783714678943974)	(46, 0.0005521718413987617)	(47, 0.0)	(48, 0.00013842506877995606)	(49, 0.000565981617148088)	(50, 0.00030070245249450613)	(51, 0.0005906116374117036)	(52, 0.0011943422038558933)	(53, 0.0013469672741527779)	(54, 0.0008255232247588134)	(55, 0.0011758369922043172)	(56, 0.0011772641616427987)	(57, 0.0004318159670372698)	(58, 0.0010165666478037078)	(59, 0.0007137497333676713)	(60, 0.0003983486340215274)	(61, 0.0003285069021059991)	(62, 0.0006344110920435334)	(63, 0.0002352734135866632)	(64, 0.0005064974195723325)	(65, 0.001214761737458381)	(66, 0.0006849244699540758)	(67, 0.0005439087481928336)	(68, 0.0002723083591444166)	(69, 0.0005690938638521181)	(70, 0.0007244752809627968)	(71, 0.0009285030067427174)	(72, 0.0006806634964465783)	(73, 0.0006904668573485782)	(74, 0.0009369434423988286)	(75, 0.0)
