Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR24516459_1	(1, 31.69638611325)	(2, 31.74753644224557)	(3, 31.792207166409508)	(4, 31.81933191920801)	(5, 31.82282425805132)	(6, 35.59692058968436)	(7, 35.571033540731825)	(8, 35.5520941937273)	(9, 35.54501806009148)	(10, 35.50430806690642)	(11, 35.574339132427234)	(12, 35.52626870544596)	(13, 35.52256228100971)	(14, 35.52703565700282)	(15, 35.53894587676262)	(16, 35.55304435220178)	(17, 35.55930937974182)	(18, 35.546696915967715)	(19, 35.51962575832225)	(20, 35.53098212872081)	(21, 35.53382768715772)	(22, 35.5226533436)	(23, 35.525053029699585)	(24, 35.503935162649)	(25, 35.48694343400371)	(26, 35.46457729872197)	(27, 35.47574057109459)	(28, 35.452747873551104)	(29, 35.477931894961785)	(30, 35.455885738885684)	(31, 35.468992442419896)	(32, 35.44489668242158)	(33, 35.43814731115271)	(34, 35.450299613922375)	(35, 35.460276483795575)	(36, 35.45604969601453)	(37, 35.449086849519375)	(38, 35.41466034574693)	(39, 35.433600014127386)	(40, 35.422126913804085)	(41, 35.43541350080788)	(42, 35.44838057203289)	(43, 35.44941504259163)	(44, 35.447724400255424)	(45, 35.42574481997162)	(46, 35.44386729349391)	(47, 35.41846222889625)	(48, 35.43714230598669)	(49, 35.43131684645421)	(50, 35.395381985118256)	(51, 35.38276061675945)	(52, 35.37464048175669)	(53, 35.380673678274896)	(54, 35.371164755434954)	(55, 35.35062743256342)	(56, 35.322192709699664)	(57, 35.30835583684006)	(58, 35.32133355388664)	(59, 35.3261959374327)	(60, 35.3004217270919)	(61, 35.267674327678634)	(62, 35.20679995361458)	(63, 35.20808435172503)	(64, 35.2160455521089)	(65, 35.18138617794204)	(66, 35.12020062950512)	(67, 35.15383510977815)	(68, 35.12399088731463)	(69, 35.1406698012864)	(70, 35.16195284139128)	(71, 35.07548364012148)	(72, 35.11784198706206)	(73, 35.08989626131318)	(74, 35.07172605351661)	(75, 35.401934174678146)
SRR24516459_2	(1, 31.719616711067054)	(2, 31.639278265051143)	(3, 31.686011370039623)	(4, 31.69025404102537)	(5, 31.682975622564246)	(6, 35.43485671409592)	(7, 35.440372786249746)	(8, 35.398474849122266)	(9, 35.401559569783345)	(10, 35.43676273474923)	(11, 35.40236467715558)	(12, 35.38106537330253)	(13, 35.4333115019132)	(14, 35.42272522994288)	(15, 35.423725345000356)	(16, 35.40641932257693)	(17, 35.42570010512517)	(18, 35.30106442924112)	(19, 35.3647844442281)	(20, 35.399888581085534)	(21, 35.400128726707)	(22, 35.37984576396695)	(23, 35.33620091986984)	(24, 35.27012320984814)	(25, 35.27823505752382)	(26, 35.32275217924904)	(27, 35.26592654595216)	(28, 35.26197167332211)	(29, 35.22366492686838)	(30, 35.29460941703206)	(31, 35.29436170429883)	(32, 35.23260676404144)	(33, 35.209648931842594)	(34, 35.2189471953157)	(35, 35.30040308111441)	(36, 35.28723608655703)	(37, 35.27236094171287)	(38, 35.22604941787322)	(39, 35.271025423498315)	(40, 35.21366851061691)	(41, 35.337880197741804)	(42, 35.30520987740763)	(43, 35.370040292889854)	(44, 35.288964999941186)	(45, 35.22257643142937)	(46, 35.20291396220307)	(47, 35.19705336685633)	(48, 35.21602134018055)	(49, 35.28671099574757)	(50, 35.29865247102334)	(51, 35.27183751687599)	(52, 35.24142113869421)	(53, 35.22064633029471)	(54, 35.22794946928838)	(55, 35.21756798850081)	(56, 35.241129224945524)	(57, 35.32604437113645)	(58, 35.26059197441016)	(59, 35.22762228004237)	(60, 35.23044610103496)	(61, 35.275213753886646)	(62, 35.20202527514648)	(63, 35.291668935469495)	(64, 35.229820712439455)	(65, 35.26298644399455)	(66, 35.26228213921134)	(67, 35.244657269611686)	(68, 35.23890039967735)	(69, 35.229932656265625)	(70, 35.19444884078783)	(71, 35.19551674625546)	(72, 35.281589442099985)	(73, 35.27097727852652)	(74, 35.38042014851259)	(75, 35.806436878530434)
SRR24516460_1	(1, 31.68449182508354)	(2, 31.734694010613847)	(3, 31.781929665599897)	(4, 31.808761260806506)	(5, 31.812639655874463)	(6, 35.581764623484396)	(7, 35.54767712739645)	(8, 35.531889072853254)	(9, 35.523200542470526)	(10, 35.48766800769958)	(11, 35.56484291658674)	(12, 35.506401455113256)	(13, 35.50755067152602)	(14, 35.52092335248133)	(15, 35.51986068485222)	(16, 35.536982305768966)	(17, 35.5432605103665)	(18, 35.542461169777795)	(19, 35.50041802116039)	(20, 35.52375906080583)	(21, 35.52118226269438)	(22, 35.494156642571824)	(23, 35.51818271110752)	(24, 35.48824955663466)	(25, 35.47582733486114)	(26, 35.44556590332813)	(27, 35.46006911865397)	(28, 35.43885339901565)	(29, 35.45887423702487)	(30, 35.440834770320826)	(31, 35.45601831687136)	(32, 35.42366560016889)	(33, 35.43018918115668)	(34, 35.42611965866951)	(35, 35.44305977401281)	(36, 35.437859418556656)	(37, 35.43139357434914)	(38, 35.3841418849249)	(39, 35.42344772382369)	(40, 35.39780667092532)	(41, 35.4263781177783)	(42, 35.423381128825724)	(43, 35.43927866947809)	(44, 35.432614721471424)	(45, 35.41498748660954)	(46, 35.43200019876841)	(47, 35.407549584815726)	(48, 35.42031032856667)	(49, 35.42364973908856)	(50, 35.388248061001256)	(51, 35.37569706665389)	(52, 35.37030771078256)	(53, 35.37659363579164)	(54, 35.36943863813553)	(55, 35.344532036017206)	(56, 35.312704934348574)	(57, 35.310754290271944)	(58, 35.30890778214503)	(59, 35.30660202989512)	(60, 35.29217455563683)	(61, 35.24534721405679)	(62, 35.18027565352221)	(63, 35.189735614643354)	(64, 35.21013510239283)	(65, 35.17394937222724)	(66, 35.112438585637584)	(67, 35.14767746371066)	(68, 35.13155722224022)	(69, 35.16152221844537)	(70, 35.16191058156983)	(71, 35.079729088459814)	(72, 35.122381159468915)	(73, 35.08950837477591)	(74, 35.09286204878594)	(75, 35.39964640484709)
SRR24516460_2	(1, 31.693287516110903)	(2, 31.603530959015206)	(3, 31.668932814587478)	(4, 31.667939659407928)	(5, 31.660600890432395)	(6, 35.39870395562645)	(7, 35.40281980774602)	(8, 35.36111917357374)	(9, 35.37591733297662)	(10, 35.39221437429121)	(11, 35.357147919968774)	(12, 35.35944098950394)	(13, 35.39562427017186)	(14, 35.37691532563375)	(15, 35.38587580638648)	(16, 35.36427573285682)	(17, 35.38900365629175)	(18, 35.275317149236606)	(19, 35.332238591124614)	(20, 35.3526892379164)	(21, 35.35897627616865)	(22, 35.35245924740627)	(23, 35.30180927971221)	(24, 35.228956026066854)	(25, 35.22751014608341)	(26, 35.27254172352903)	(27, 35.227625356434665)	(28, 35.20695717878807)	(29, 35.182703391652254)	(30, 35.24775519484339)	(31, 35.262123704900695)	(32, 35.190486210586485)	(33, 35.17462603082901)	(34, 35.18577369907453)	(35, 35.25840009148448)	(36, 35.25246414165706)	(37, 35.236344255616)	(38, 35.210086258451085)	(39, 35.23664804145363)	(40, 35.17844574009169)	(41, 35.313256967260536)	(42, 35.279595043859615)	(43, 35.338607481588184)	(44, 35.26575096937436)	(45, 35.18930139508917)	(46, 35.17248259037154)	(47, 35.18254717979298)	(48, 35.21390136331978)	(49, 35.27153967514655)	(50, 35.279914321590766)	(51, 35.24820129682016)	(52, 35.231771501960594)	(53, 35.214169980980245)	(54, 35.20128868683068)	(55, 35.195057483513175)	(56, 35.24274360719823)	(57, 35.29992272046811)	(58, 35.2520895540616)	(59, 35.205276367598174)	(60, 35.20681155142334)	(61, 35.25582392973235)	(62, 35.17879854804058)	(63, 35.26649528449905)	(64, 35.21432869668251)	(65, 35.23772760179881)	(66, 35.24757809939165)	(67, 35.249256457936475)	(68, 35.22706059031751)	(69, 35.21255461306526)	(70, 35.17817524118448)	(71, 35.183302420178315)	(72, 35.27143953688798)	(73, 35.257233882440204)	(74, 35.36312566553183)	(75, 35.79843653440526)
SRR24516461_1	(1, 31.657272889850674)	(2, 31.73540554492265)	(3, 31.779558371420965)	(4, 31.806517138771117)	(5, 31.812246800702383)	(6, 35.580460229340986)	(7, 35.54985395081129)	(8, 35.52812281391755)	(9, 35.52236720869693)	(10, 35.49801902807675)	(11, 35.56325579287708)	(12, 35.5100511797682)	(13, 35.498933730807586)	(14, 35.51550918663406)	(15, 35.51739808870599)	(16, 35.53082668118569)	(17, 35.53884027500809)	(18, 35.534144309028164)	(19, 35.49206267944829)	(20, 35.52156089126383)	(21, 35.51250795161819)	(22, 35.49569889088402)	(23, 35.51313232011528)	(24, 35.483123313758256)	(25, 35.47373195831594)	(26, 35.43952776490528)	(27, 35.451216894338906)	(28, 35.4295340448778)	(29, 35.45275931083257)	(30, 35.43988670392287)	(31, 35.45263193975456)	(32, 35.42221588220768)	(33, 35.42569945720692)	(34, 35.426503852655024)	(35, 35.44105191547161)	(36, 35.43109012070953)	(37, 35.42962739502612)	(38, 35.390424938633785)	(39, 35.42302388218081)	(40, 35.39319086591626)	(41, 35.41816747004166)	(42, 35.418167197563164)	(43, 35.43371278951672)	(44, 35.42859000733569)	(45, 35.40726227046857)	(46, 35.42688933051324)	(47, 35.39735472573859)	(48, 35.41278291706222)	(49, 35.41919715571644)	(50, 35.38389841105102)	(51, 35.36907756080132)	(52, 35.3601285380529)	(53, 35.366336503327645)	(54, 35.36345845215083)	(55, 35.34056522936622)	(56, 35.313736488044746)	(57, 35.30045756904349)	(58, 35.305857427093564)	(59, 35.29596735095142)	(60, 35.28781414493213)	(61, 35.24065033133067)	(62, 35.17820967485589)	(63, 35.19110438059004)	(64, 35.20500027387133)	(65, 35.16909492032699)	(66, 35.10804114579107)	(67, 35.144492820554234)	(68, 35.122271754810356)	(69, 35.15425134494732)	(70, 35.15972108485253)	(71, 35.07581160998237)	(72, 35.123538380642486)	(73, 35.08613947226951)	(74, 35.0826057734345)	(75, 35.38892220712672)
SRR24516461_2	(1, 31.708146181326526)	(2, 31.62157918993059)	(3, 31.69294099239193)	(4, 31.700565667481055)	(5, 31.688386619120113)	(6, 35.45429363168347)	(7, 35.43277880417117)	(8, 35.405753622000276)	(9, 35.40773476687879)	(10, 35.44462497130384)	(11, 35.38130593445249)	(12, 35.38461825833359)	(13, 35.42877200725997)	(14, 35.41158636526791)	(15, 35.41176485509866)	(16, 35.39275845540804)	(17, 35.41859670326515)	(18, 35.286092448277444)	(19, 35.346407252221695)	(20, 35.376173775300906)	(21, 35.37171372029883)	(22, 35.3688756397471)	(23, 35.31303564965398)	(24, 35.23705640290182)	(25, 35.24235771229999)	(26, 35.290736911053415)	(27, 35.23438824580631)	(28, 35.211155528488334)	(29, 35.187183741864786)	(30, 35.25441368213866)	(31, 35.268496216059596)	(32, 35.191675812085194)	(33, 35.168687881082306)	(34, 35.17797625601004)	(35, 35.26804935694018)	(36, 35.26058021385799)	(37, 35.238487032802794)	(38, 35.210192554388165)	(39, 35.237210661235814)	(40, 35.1798301625032)	(41, 35.32549777616164)	(42, 35.282666013883684)	(43, 35.35225957268926)	(44, 35.27187303111644)	(45, 35.19325563564707)	(46, 35.1608992049174)	(47, 35.18322835203701)	(48, 35.20851290351424)	(49, 35.28352126105458)	(50, 35.27923175025473)	(51, 35.24084479131333)	(52, 35.23135484868473)	(53, 35.2087311713379)	(54, 35.196099999856)	(55, 35.187189397525515)	(56, 35.244166214691674)	(57, 35.299908651602514)	(58, 35.25305742207937)	(59, 35.20377140286339)	(60, 35.21546793402008)	(61, 35.2589743595952)	(62, 35.178769784866006)	(63, 35.27058353564769)	(64, 35.22246513717355)	(65, 35.244069362164055)	(66, 35.24895176370554)	(67, 35.2450191396515)	(68, 35.21907473549595)	(69, 35.20060645475739)	(70, 35.16000983809423)	(71, 35.18067413141346)	(72, 35.28588496437679)	(73, 35.258685420581536)	(74, 35.36779348502568)	(75, 35.80747606435032)
SRR24516462_1	(1, 31.675005637154765)	(2, 31.731987895186876)	(3, 31.775675844624388)	(4, 31.80508929029896)	(5, 31.812443488918806)	(6, 35.582979922798884)	(7, 35.548511567888085)	(8, 35.527905590494754)	(9, 35.52756345426984)	(10, 35.49814018543449)	(11, 35.567603997133425)	(12, 35.52151674067525)	(13, 35.50465651309048)	(14, 35.511619236427855)	(15, 35.51913462418596)	(16, 35.53234498940662)	(17, 35.535299193384546)	(18, 35.533647562851485)	(19, 35.49976558366319)	(20, 35.51958838723793)	(21, 35.515107909653715)	(22, 35.497260119530004)	(23, 35.512394261488076)	(24, 35.48681519732274)	(25, 35.4727664030041)	(26, 35.44588856441524)	(27, 35.453038256546)	(28, 35.43392458421922)	(29, 35.44868078323563)	(30, 35.43730488636783)	(31, 35.44800960566943)	(32, 35.42323827521796)	(33, 35.41820427081438)	(34, 35.419292133512535)	(35, 35.43274935574673)	(36, 35.42960247715182)	(37, 35.42060084049457)	(38, 35.38662780841941)	(39, 35.41794781423164)	(40, 35.394118585866444)	(41, 35.41991618585837)	(42, 35.419424521531994)	(43, 35.43149729788493)	(44, 35.42353453384176)	(45, 35.411188442434245)	(46, 35.425911933391525)	(47, 35.39722107408052)	(48, 35.41336754332898)	(49, 35.4195280598614)	(50, 35.38691154399472)	(51, 35.37156433451835)	(52, 35.36016150553604)	(53, 35.365918315166134)	(54, 35.364412368195936)	(55, 35.340424366332556)	(56, 35.310720668428104)	(57, 35.295080826744176)	(58, 35.29988724576087)	(59, 35.291231024296)	(60, 35.28300734187941)	(61, 35.23429155994785)	(62, 35.17756246258312)	(63, 35.18161177446916)	(64, 35.19470208409794)	(65, 35.15955899988868)	(66, 35.10239208300276)	(67, 35.13349982615638)	(68, 35.11431632723882)	(69, 35.14435792276694)	(70, 35.15560422103999)	(71, 35.07057063890848)	(72, 35.11217944078816)	(73, 35.07871959764752)	(74, 35.07547054542729)	(75, 35.39977476705168)
SRR24516462_2	(1, 31.706082657432894)	(2, 31.61649420321887)	(3, 31.685193706032983)	(4, 31.6861696593819)	(5, 31.674593845789772)	(6, 35.42946222659799)	(7, 35.42140578360916)	(8, 35.39098401280583)	(9, 35.39564822814737)	(10, 35.42466684973466)	(11, 35.37025011106869)	(12, 35.37593113517786)	(13, 35.41700076576004)	(14, 35.400587157110294)	(15, 35.40063013343871)	(16, 35.38906447788784)	(17, 35.40779021300631)	(18, 35.28425693370036)	(19, 35.353880818269296)	(20, 35.37418640787103)	(21, 35.37267453412544)	(22, 35.36689081333539)	(23, 35.31588371610172)	(24, 35.24102911004396)	(25, 35.247681287548474)	(26, 35.29448071130369)	(27, 35.24329114927487)	(28, 35.21685822388608)	(29, 35.19523644937745)	(30, 35.257685275459615)	(31, 35.27626714305773)	(32, 35.205685600060534)	(33, 35.177905176754315)	(34, 35.19151044416076)	(35, 35.2665750963232)	(36, 35.26048186848964)	(37, 35.24415366371013)	(38, 35.214151384525294)	(39, 35.23665289153684)	(40, 35.186202612328124)	(41, 35.32520307676339)	(42, 35.280827973239234)	(43, 35.3497972095652)	(44, 35.27229832671614)	(45, 35.198684107204166)	(46, 35.17604689646147)	(47, 35.188643091515374)	(48, 35.214897485139716)	(49, 35.28249028717019)	(50, 35.2786507367329)	(51, 35.23966242464155)	(52, 35.22346856910165)	(53, 35.21043108626624)	(54, 35.1994274906522)	(55, 35.202346498587765)	(56, 35.25205746838041)	(57, 35.30009503449422)	(58, 35.26295381961763)	(59, 35.21053879518971)	(60, 35.21443868944105)	(61, 35.25758876863294)	(62, 35.181407585465394)	(63, 35.26725114583786)	(64, 35.226804862786935)	(65, 35.24572086286452)	(66, 35.25542179498908)	(67, 35.2497372356817)	(68, 35.227478087216)	(69, 35.208501159591236)	(70, 35.16999007291679)	(71, 35.18544898082683)	(72, 35.2774579304726)	(73, 35.25447956340866)	(74, 35.36255493493055)	(75, 35.80573575872328)
SRR24516463_1	(1, 31.660434344822857)	(2, 31.71890633125568)	(3, 31.762577772348248)	(4, 31.797139811167728)	(5, 31.80527066960293)	(6, 35.5735380216709)	(7, 35.53803060431307)	(8, 35.52052435120243)	(9, 35.521492398278845)	(10, 35.492926131944515)	(11, 35.55825317362325)	(12, 35.51244854493111)	(13, 35.49956533357424)	(14, 35.510008271224706)	(15, 35.51214570219593)	(16, 35.520131504321036)	(17, 35.527350261185106)	(18, 35.52235469606683)	(19, 35.48716441490661)	(20, 35.50858450836575)	(21, 35.50266254821391)	(22, 35.488717042262756)	(23, 35.50096263119416)	(24, 35.47553891657565)	(25, 35.463905489839746)	(26, 35.436172103024724)	(27, 35.43777897782469)	(28, 35.420725813039745)	(29, 35.437464018124395)	(30, 35.42578622540311)	(31, 35.437654922116174)	(32, 35.414201838156906)	(33, 35.40957584372465)	(34, 35.408398988359664)	(35, 35.42390121797368)	(36, 35.418758487292315)	(37, 35.411080340146604)	(38, 35.37727410321191)	(39, 35.403617754060384)	(40, 35.37814078617144)	(41, 35.402531325363114)	(42, 35.40134056340594)	(43, 35.415322690079115)	(44, 35.410512664842116)	(45, 35.39555268090164)	(46, 35.40813027604581)	(47, 35.37726832023803)	(48, 35.3993562908849)	(49, 35.40450517026116)	(50, 35.37090756108523)	(51, 35.3532687955231)	(52, 35.336554292782196)	(53, 35.345563184032706)	(54, 35.34508318885405)	(55, 35.32142751681426)	(56, 35.295721002181615)	(57, 35.27392800810958)	(58, 35.282425026492426)	(59, 35.27780796772055)	(60, 35.267314425433696)	(61, 35.21923523384006)	(62, 35.16149410904062)	(63, 35.16251996433242)	(64, 35.17413316515531)	(65, 35.13449900331974)	(66, 35.07881607897318)	(67, 35.11244488010194)	(68, 35.09320951299242)	(69, 35.12099671625832)	(70, 35.13738430933481)	(71, 35.05147530917832)	(72, 35.09366438706248)	(73, 35.05864427123579)	(74, 35.05462687932416)	(75, 35.385325205436)
SRR24516463_2	(1, 31.69154004575918)	(2, 31.605322438737158)	(3, 31.673277690819678)	(4, 31.675946436589566)	(5, 31.664719145188414)	(6, 35.40977447261311)	(7, 35.40447695810106)	(8, 35.36798172848831)	(9, 35.37517268010126)	(10, 35.403946983314505)	(11, 35.351343356549414)	(12, 35.352797716351375)	(13, 35.396289037483825)	(14, 35.37857407748821)	(15, 35.37937250136598)	(16, 35.36674612566209)	(17, 35.38482389393447)	(18, 35.263291272959016)	(19, 35.33026987955413)	(20, 35.3510064551733)	(21, 35.34832140592283)	(22, 35.343795180043465)	(23, 35.286283312282116)	(24, 35.21721920018474)	(25, 35.22149942217561)	(26, 35.26391215469156)	(27, 35.211635445616494)	(28, 35.19112552740427)	(29, 35.170476787438794)	(30, 35.237037138731445)	(31, 35.24891718981455)	(32, 35.17779165208153)	(33, 35.14880694466849)	(34, 35.16515108706529)	(35, 35.24081885633878)	(36, 35.234312818932935)	(37, 35.21871166289204)	(38, 35.187942779237275)	(39, 35.209733366326354)	(40, 35.16327476265688)	(41, 35.30834136366036)	(42, 35.26107171496587)	(43, 35.32973513055644)	(44, 35.25203432558844)	(45, 35.17213171809639)	(46, 35.15033361532443)	(47, 35.160903655244404)	(48, 35.19538859954204)	(49, 35.265630304272875)	(50, 35.26321676911175)	(51, 35.21722557056558)	(52, 35.20552658083946)	(53, 35.187023154715796)	(54, 35.183043032084015)	(55, 35.177583284766996)	(56, 35.23371327882872)	(57, 35.28119797419958)	(58, 35.235841709589344)	(59, 35.18308511418767)	(60, 35.18428135035969)	(61, 35.232874671214454)	(62, 35.160859279278455)	(63, 35.24169967160537)	(64, 35.203440695866206)	(65, 35.224744838117665)	(66, 35.23262101582093)	(67, 35.221420521748016)	(68, 35.20708423219757)	(69, 35.18695812334659)	(70, 35.13867383255856)	(71, 35.16032985188353)	(72, 35.25498753191655)	(73, 35.23127720378851)	(74, 35.348603268058724)	(75, 35.798458646491135)
