Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24516459_1	(24.0, 4.0)	(25.0, 42.0)	(26.0, 469.0)	(27.0, 3441.0)	(28.0, 14932.0)	(29.0, 44096.0)	(30.0, 100171.0)	(31.0, 183120.0)	(32.0, 295920.0)	(33.0, 491386.0)	(34.0, 1146175.0)	(35.0, 7889074.0)				
SRR24516459_2	(21.0, 1.0)	(22.0, 4.0)	(23.0, 25.0)	(24.0, 212.0)	(25.0, 1003.0)	(26.0, 3804.0)	(27.0, 12286.0)	(28.0, 32660.0)	(29.0, 72833.0)	(30.0, 140683.0)	(31.0, 235803.0)	(32.0, 358800.0)	(33.0, 556917.0)	(34.0, 1229842.0)	(35.0, 7523948.0)	(36.0, 9.0)
SRR24516460_1	(24.0, 1.0)	(25.0, 66.0)	(26.0, 645.0)	(27.0, 4454.0)	(28.0, 17602.0)	(29.0, 46959.0)	(30.0, 99788.0)	(31.0, 175311.0)	(32.0, 280007.0)	(33.0, 462357.0)	(34.0, 1067226.0)	(35.0, 7354672.0)				
SRR24516460_2	(22.0, 8.0)	(23.0, 48.0)	(24.0, 331.0)	(25.0, 1451.0)	(26.0, 5325.0)	(27.0, 15306.0)	(28.0, 37960.0)	(29.0, 78956.0)	(30.0, 145147.0)	(31.0, 235843.0)	(32.0, 351459.0)	(33.0, 536695.0)	(34.0, 1173411.0)	(35.0, 6927131.0)	(36.0, 17.0)	
SRR24516461_1	(24.0, 2.0)	(25.0, 63.0)	(26.0, 613.0)	(27.0, 4112.0)	(28.0, 16523.0)	(29.0, 44664.0)	(30.0, 93673.0)	(31.0, 163613.0)	(32.0, 258052.0)	(33.0, 423035.0)	(34.0, 969053.0)	(35.0, 6699360.0)				
SRR24516461_2	(22.0, 8.0)	(23.0, 45.0)	(24.0, 266.0)	(25.0, 1369.0)	(26.0, 4832.0)	(27.0, 14175.0)	(28.0, 34068.0)	(29.0, 70323.0)	(30.0, 128061.0)	(31.0, 208771.0)	(32.0, 313872.0)	(33.0, 479024.0)	(34.0, 1056877.0)	(35.0, 6361058.0)	(36.0, 14.0)	
SRR24516462_1	(24.0, 4.0)	(25.0, 49.0)	(26.0, 631.0)	(27.0, 3887.0)	(28.0, 16093.0)	(29.0, 44259.0)	(30.0, 94582.0)	(31.0, 167638.0)	(32.0, 267980.0)	(33.0, 441291.0)	(34.0, 1019563.0)	(35.0, 6902443.0)				
SRR24516462_2	(22.0, 11.0)	(23.0, 48.0)	(24.0, 262.0)	(25.0, 1184.0)	(26.0, 4605.0)	(27.0, 13865.0)	(28.0, 33681.0)	(29.0, 71268.0)	(30.0, 131528.0)	(31.0, 215915.0)	(32.0, 323671.0)	(33.0, 498922.0)	(34.0, 1100935.0)	(35.0, 6562508.0)	(36.0, 17.0)	
SRR24516463_1	(24.0, 2.0)	(25.0, 42.0)	(26.0, 541.0)	(27.0, 3901.0)	(28.0, 15736.0)	(29.0, 44143.0)	(30.0, 96117.0)	(31.0, 171903.0)	(32.0, 276048.0)	(33.0, 455849.0)	(34.0, 1049344.0)	(35.0, 6841517.0)				
SRR24516463_2	(22.0, 9.0)	(23.0, 54.0)	(24.0, 266.0)	(25.0, 1258.0)	(26.0, 4649.0)	(27.0, 14123.0)	(28.0, 34813.0)	(29.0, 74111.0)	(30.0, 137098.0)	(31.0, 224102.0)	(32.0, 338037.0)	(33.0, 517656.0)	(34.0, 1136124.0)	(35.0, 6472828.0)	(36.0, 15.0)	
SRR24516464_1	(24.0, 6.0)	(25.0, 61.0)	(26.0, 671.0)	(27.0, 4622.0)	(28.0, 18203.0)	(29.0, 49640.0)	(30.0, 105136.0)	(31.0, 182365.0)	(32.0, 289678.0)	(33.0, 476516.0)	(34.0, 1102636.0)	(35.0, 7188219.0)				
SRR24516464_2	(22.0, 12.0)	(23.0, 62.0)	(24.0, 335.0)	(25.0, 1503.0)	(26.0, 5528.0)	(27.0, 15487.0)	(28.0, 37072.0)	(29.0, 76386.0)	(30.0, 140491.0)	(31.0, 231542.0)	(32.0, 347281.0)	(33.0, 529682.0)	(34.0, 1158017.0)	(35.0, 6874338.0)	(36.0, 17.0)	
