Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24516459_1	(1.0, 6.501300952699475)	(2.0, 3.3081054910943597)	(3.0, 2.1356310627576427)	(4.0, 1.4473701322299815)	(5.0, 1.106939234769832)	(6.0, 0.8721281385305133)	(7.0, 0.6957642336188683)	(8.0, 0.604841261670513)	(9.0, 0.5326769131412715)	('>10', 7.561762235055203)	('>50', 2.9921980375803585)	('>100', 7.656689464308834)	('>500', 3.8387698416193863)	('>1k', 12.192842698915571)	('>5k', 8.870970138633401)	('>10k+', 39.682010163374784)
SRR24516459_2	(1.0, 6.655020753474951)	(2.0, 3.1382486705973776)	(3.0, 2.099404492256194)	(4.0, 1.4808704859504884)	(5.0, 1.0788793589136687)	(6.0, 0.8839797051529812)	(7.0, 0.7436762676623215)	(8.0, 0.6226839518212129)	(9.0, 0.5551817854923518)	('>10', 7.686086142263507)	('>50', 3.004775345897885)	('>100', 6.941813272670322)	('>500', 3.6710063863171745)	('>1k', 12.839782308233005)	('>5k', 8.806561200285701)	('>10k+', 39.79202987301085)
SRR24516460_1	(1.0, 5.33730208765919)	(2.0, 3.2322120383524715)	(3.0, 2.6117110949423563)	(4.0, 1.9337556397811941)	(5.0, 1.434672560821855)	(6.0, 1.0647858782975983)	(7.0, 0.8796520110592155)	(8.0, 0.6954251284448821)	(9.0, 0.6312004475818092)	('>10', 8.270403307961404)	('>50', 3.1686384248805015)	('>100', 7.83569063751995)	('>500', 3.6839495682027517)	('>1k', 11.81383027121428)	('>5k', 8.27851230628977)	('>10k+', 39.12825859699075)
SRR24516460_2	(1.0, 5.933887865938599)	(2.0, 3.129330029910165)	(3.0, 2.5033594964175703)	(4.0, 1.8950104025154562)	(5.0, 1.4348135606717318)	(6.0, 1.1010856236298205)	(7.0, 0.9284620274075941)	(8.0, 0.7376312327912278)	(9.0, 0.6322295037224964)	('>10', 8.38042449965242)	('>50', 3.198870241884929)	('>100', 6.94359950052789)	('>500', 3.406547228477255)	('>1k', 14.026064104985936)	('>5k', 8.443514387928662)	('>10k+', 37.30517029353822)
SRR24516461_1	(1.0, 6.928499624580815)	(2.0, 4.146533911270133)	(3.0, 2.7749270630347036)	(4.0, 1.9374224233218347)	(5.0, 1.405737903820317)	(6.0, 1.1076124659007602)	(7.0, 0.8885866169293797)	(8.0, 0.7666031187467637)	(9.0, 0.6447619110199286)	('>10', 8.886753190512888)	('>50', 3.2601618238148284)	('>100', 7.624286783171157)	('>500', 3.4477744285959857)	('>1k', 12.165315630557899)	('>5k', 7.619644014590237)	('>10k+', 36.395379090132394)
SRR24516461_2	(1.0, 7.326182576996415)	(2.0, 4.011078900243411)	(3.0, 2.784873128107128)	(4.0, 2.041881123090998)	(5.0, 1.4311412210268861)	(6.0, 1.1600091816894076)	(7.0, 0.9339207116097308)	(8.0, 0.7843751107193702)	(9.0, 0.6662089780594802)	('>10', 8.821448840451348)	('>50', 3.031721027564419)	('>100', 6.3493455506131795)	('>500', 3.465726915272982)	('>1k', 14.468939892522123)	('>5k', 8.039225290371293)	('>10k+', 34.68392155166181)
SRR24516462_1	(1.0, 7.145852815562479)	(2.0, 4.892082703046327)	(3.0, 4.018244748723056)	(4.0, 2.9985261055908636)	(5.0, 2.219466393251021)	(6.0, 1.7062080548538923)	(7.0, 1.2985863529683586)	(8.0, 1.0827536313910142)	(9.0, 0.9206710654536949)	('>10', 10.920499206993378)	('>50', 3.264615762354456)	('>100', 6.402413576328643)	('>500', 2.9471341072311685)	('>1k', 11.65722998301402)	('>5k', 6.272118660507781)	('>10k+', 32.25359683272986)
SRR24516462_2	(1.0, 7.743001241552902)	(2.0, 4.639794327811155)	(3.0, 4.005606258950551)	(4.0, 3.0441925897145485)	(5.0, 2.271882550309655)	(6.0, 1.7767927436804023)	(7.0, 1.396499327245074)	(8.0, 1.2013276406960895)	(9.0, 0.9957294234525512)	('>10', 10.904065148433496)	('>50', 2.7163235431428703)	('>100', 5.226921096794515)	('>500', 2.879960356508137)	('>1k', 12.271698478954612)	('>5k', 7.962208982983938)	('>10k+', 30.96399628976947)
SRR24516463_1	(1.0, 10.002943881267278)	(2.0, 5.55129192907361)	(3.0, 3.616586587952679)	(4.0, 2.331857505813827)	(5.0, 1.697809083845897)	(6.0, 1.4034970857616924)	(7.0, 1.120592151116865)	(8.0, 0.9645539329391979)	(9.0, 0.812167500079883)	('>10', 10.039317051883712)	('>50', 2.9796998297072266)	('>100', 6.114646024398268)	('>500', 3.1884836102388014)	('>1k', 11.42929448561109)	('>5k', 7.000889547052365)	('>10k+', 31.746369793257617)
SRR24516463_2	(1.0, 10.188354283207657)	(2.0, 5.378958475532325)	(3.0, 3.62537478075677)	(4.0, 2.543037173393039)	(5.0, 1.8594626646128356)	(6.0, 1.5020639990120732)	(7.0, 1.2171134165181696)	(8.0, 1.0131264982473909)	(9.0, 0.8664748831887886)	('>10', 9.872826202802042)	('>50', 2.5885490805067533)	('>100', 4.921318503420753)	('>500', 2.8320798271956162)	('>1k', 13.602612692686975)	('>5k', 7.1488506389935385)	('>10k+', 30.83979687992528)
