Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR24516459_1	(24, 6618.0)	(26, 12309.0)	(28, 12841.0)	(30, 12599.0)	(32, 13284.0)	(34, 12341.0)	(36, 12964.0)	(38, 12612.0)	(40, 12302.0)	(42, 11807.0)	(44, 11725.0)	(46, 11750.0)	(48, 12068.0)	(50, 12379.0)	(52, 12559.0)	(54, 12869.0)	(56, 12981.0)	(58, 13971.0)	(60, 14695.0)	(62, 15669.0)	(64, 18647.0)	(66, 20864.0)	(68, 21094.0)	(70, 40091.0)	(72, 723606.0)	(74, 9094185.0)
SRR24516459_2	(24, 13038.0)	(26, 25483.0)	(28, 24556.0)	(30, 25182.0)	(32, 22808.0)	(34, 23223.0)	(36, 23061.0)	(38, 22417.0)	(40, 20171.0)	(42, 22022.0)	(44, 24846.0)	(46, 23700.0)	(48, 22617.0)	(50, 21805.0)	(52, 22573.0)	(54, 21024.0)	(56, 20793.0)	(58, 22060.0)	(60, 23096.0)	(62, 21985.0)	(64, 21393.0)	(66, 21169.0)	(68, 25320.0)	(70, 52427.0)	(72, 938553.0)	(74, 8663508.0)
SRR24516460_1	(24, 6882.0)	(26, 12488.0)	(28, 12716.0)	(30, 12691.0)	(32, 13529.0)	(34, 11926.0)	(36, 13133.0)	(38, 12726.0)	(40, 11971.0)	(42, 11720.0)	(44, 11558.0)	(46, 11095.0)	(48, 11567.0)	(50, 11832.0)	(52, 11929.0)	(54, 12182.0)	(56, 12236.0)	(58, 13045.0)	(60, 13879.0)	(62, 14344.0)	(64, 16581.0)	(66, 17691.0)	(68, 17942.0)	(70, 33981.0)	(72, 657685.0)	(74, 8521759.0)
SRR24516460_2	(24, 15404.0)	(26, 31084.0)	(28, 28485.0)	(30, 29219.0)	(32, 26534.0)	(34, 26424.0)	(36, 26359.0)	(38, 24522.0)	(40, 21336.0)	(42, 23751.0)	(44, 27456.0)	(46, 25244.0)	(48, 23361.0)	(50, 23244.0)	(52, 24423.0)	(54, 21448.0)	(56, 21893.0)	(58, 23213.0)	(60, 23562.0)	(62, 21822.0)	(64, 20554.0)	(66, 20345.0)	(68, 24227.0)	(70, 42777.0)	(72, 910342.0)	(74, 8002059.0)
SRR24516461_1	(24, 6571.0)	(26, 12247.0)	(28, 12163.0)	(30, 12289.0)	(32, 12708.0)	(34, 11582.0)	(36, 12527.0)	(38, 11673.0)	(40, 11536.0)	(42, 11309.0)	(44, 10924.0)	(46, 10810.0)	(48, 11166.0)	(50, 11359.0)	(52, 11714.0)	(54, 12111.0)	(56, 12222.0)	(58, 13407.0)	(60, 14438.0)	(62, 15389.0)	(64, 17621.0)	(66, 19383.0)	(68, 20586.0)	(70, 37733.0)	(72, 592052.0)	(74, 7747243.0)
SRR24516461_2	(24, 13319.0)	(26, 27437.0)	(28, 25984.0)	(30, 26135.0)	(32, 23786.0)	(34, 23524.0)	(36, 23190.0)	(38, 21863.0)	(40, 19167.0)	(42, 21312.0)	(44, 25028.0)	(46, 23027.0)	(48, 21559.0)	(50, 21104.0)	(52, 22636.0)	(54, 20179.0)	(56, 20170.0)	(58, 22038.0)	(60, 22260.0)	(62, 21657.0)	(64, 20746.0)	(66, 21134.0)	(68, 25391.0)	(70, 43779.0)	(72, 805488.0)	(74, 7310850.0)
SRR24516462_1	(24, 6486.0)	(26, 12187.0)	(28, 12257.0)	(30, 12207.0)	(32, 12898.0)	(34, 11852.0)	(36, 12452.0)	(38, 12016.0)	(40, 11659.0)	(42, 11486.0)	(44, 11491.0)	(46, 11005.0)	(48, 11333.0)	(50, 11374.0)	(52, 11569.0)	(54, 11891.0)	(56, 11837.0)	(58, 12753.0)	(60, 13637.0)	(62, 14223.0)	(64, 15880.0)	(66, 17728.0)	(68, 18582.0)	(70, 33498.0)	(72, 631844.0)	(74, 8004275.0)
SRR24516462_2	(24, 13155.0)	(26, 27042.0)	(28, 24560.0)	(30, 25716.0)	(32, 23244.0)	(34, 23375.0)	(36, 23150.0)	(38, 21792.0)	(40, 19388.0)	(42, 21421.0)	(44, 24472.0)	(46, 22511.0)	(48, 21138.0)	(50, 20853.0)	(52, 22115.0)	(54, 19617.0)	(56, 19797.0)	(58, 21125.0)	(60, 21164.0)	(62, 20018.0)	(64, 18849.0)	(66, 19259.0)	(68, 22959.0)	(70, 41710.0)	(72, 795060.0)	(74, 7624930.0)
SRR24516463_1	(24, 6689.0)	(26, 12544.0)	(28, 12324.0)	(30, 12486.0)	(32, 13076.0)	(34, 11945.0)	(36, 12801.0)	(38, 12081.0)	(40, 12231.0)	(42, 12101.0)	(44, 11482.0)	(46, 11464.0)	(48, 11955.0)	(50, 12140.0)	(52, 12326.0)	(54, 12899.0)	(56, 13041.0)	(58, 14046.0)	(60, 14909.0)	(62, 15956.0)	(64, 18331.0)	(66, 20381.0)	(68, 21278.0)	(70, 38145.0)	(72, 627917.0)	(74, 7980595.0)
SRR24516463_2	(24, 13789.0)	(26, 28599.0)	(28, 26291.0)	(30, 27561.0)	(32, 24659.0)	(34, 24790.0)	(36, 24461.0)	(38, 23100.0)	(40, 20203.0)	(42, 22830.0)	(44, 25914.0)	(46, 23996.0)	(48, 22529.0)	(50, 22427.0)	(52, 23388.0)	(54, 21393.0)	(56, 20994.0)	(58, 22982.0)	(60, 23406.0)	(62, 22153.0)	(64, 21591.0)	(66, 21780.0)	(68, 26420.0)	(70, 45705.0)	(72, 796350.0)	(74, 7577832.0)
