Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR24516459_1	89.68636262937098	60.0	73.05349346975021	74	27.27272727272727	10.16883
SRR24516459_2	89.6068474472896	60.0	72.38258541051428	74	36.36363636363637	10.16883
SRR24516460_1	90.41723435686322	60.0	73.02396107807604	74	27.27272727272727	9.509088
SRR24516460_2	89.89542608904587	61.0	72.1150512015453	74	36.36363636363637	9.509088
SRR24516461_1	88.26346189490337	61.0	72.96591247794964	74	27.27272727272727	8.672763
SRR24516461_2	87.89196609654499	61.0	72.12788473523375	74	36.36363636363637	8.672763
SRR24516462_1	86.48490820816765	61.0	72.99568696265636	74	27.27272727272727	8.95842
SRR24516462_2	85.94679093220593	62.0	72.22528012752248	74	36.36363636363637	8.95842
SRR24516463_1	83.86030346834684	62.0	72.9566679169724	74	36.36363636363637	8.955143
SRR24516463_2	83.6407311694833	62.0	72.1162612366994	74	36.36363636363637	8.955143
SRR24516464_1	84.29724260841506	62.0	72.92451883161515	74	27.27272727272727	9.417753
SRR24516464_2	83.97665098861738	62.0	72.10069302093609	74	36.36363636363637	9.417753
