"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_03298",2053.61983589832,-7.19363274675788,0.204802333885373,-35.124759617164,2.82384515991528e-270,2.30792864919876e-266
"FGFFFLIJ_02621",2466.62926736869,-6.61260205539594,0.188766189386118,-35.0306486394657,7.68591945744691e-269,3.14085098628568e-265
"FGFFFLIJ_05928",4222.43202426217,5.46329477560868,0.157108732216322,34.7739727673846,6.01931104899579e-265,1.63986097344809e-261
"FGFFFLIJ_07619",17331.6098458076,-5.02838731048565,0.155630571982359,-32.3097656613099,5.10076856800587e-229,1.0422145376578e-225
"FGFFFLIJ_05929",4429.57324205428,5.27691788745648,0.170139204432641,31.0152965923009,3.35292978071799e-211,5.48069901956163e-208
"FGFFFLIJ_00196",12782.3000087871,-5.70273343364359,0.18605552078289,-30.6507079695751,2.58589301488482e-206,3.52241726844228e-203
"FGFFFLIJ_03776",2438.65681733043,7.4716827043244,0.245170582936883,30.4754453606203,5.51343331359304e-204,6.43732721028513e-201
"FGFFFLIJ_05732",1551.06263703266,6.96056311819539,0.244799025501263,28.4337860575326,7.73263158395238e-178,7.89984974195535e-175
"FGFFFLIJ_03997",1735.97525610123,-4.99625444057296,0.181497681936137,-27.5279242537708,8.13435208871545e-167,7.38689551345238e-164
"FGFFFLIJ_00353",1368.30958222156,4.88059869718685,0.178929204240579,27.2767026372322,8.01678924117752e-164,6.55212184681439e-161
"FGFFFLIJ_00173",2298.48949516407,-5.18343392130571,0.193955126945429,-26.7249131432556,2.41714121014613e-157,1.79593591913858e-154
"FGFFFLIJ_03715",2686.07371571459,9.14782534713119,0.346386390444886,26.4093093709082,1.07119182935186e-153,7.29570901774396e-151
"FGFFFLIJ_06331",2396.20296945921,-3.50822277847695,0.133929448533063,-26.194558529903,3.06517779866693e-151,1.92705370373114e-148
"FGFFFLIJ_03300",677.434926240829,-5.26025453407946,0.209965314806716,-25.0529690531115,1.62051338303395e-138,9.46032562824033e-136
"FGFFFLIJ_00351",1168.82032120535,4.4367358318736,0.180629676621505,24.5626074012768,3.17183061046811e-133,1.72822477195706e-130
"FGFFFLIJ_03998",884.163813275302,-4.63383358114359,0.188753732730123,-24.5496261934537,4.36493741709649e-133,2.2296645943706e-130
"FGFFFLIJ_03714",3364.7258287575,10.061453701922,0.410668516243719,24.5001827604209,1.47053110707269e-132,7.06979455182654e-130
"FGFFFLIJ_03999",628.816327325776,-4.78002561122007,0.198051453123746,-24.1352715964847,1.06614497071064e-128,4.84089046978782e-126
"FGFFFLIJ_04148",2463.03163034006,-4.14519898725663,0.176060109290641,-23.5442259121499,1.43853692372431e-122,6.18798014610462e-120
"FGFFFLIJ_05094",634.514180194115,-6.5406438093494,0.29060872119878,-22.5067017341008,3.56851658153975e-112,1.45827430104622e-109
"FGFFFLIJ_04102",758.510363714697,6.61628207114986,0.295511052747729,22.3892880135283,5.00520025409212e-111,1.9479762703188e-108
"FGFFFLIJ_00205",6967.39404077218,-2.96204907599056,0.134404786109431,-22.0382708215382,1.23774876459025e-107,4.59823666045277e-105
"FGFFFLIJ_05733",784.854388650621,5.61017571304235,0.2548061829991,22.0174237807336,1.9609953624609e-107,6.96835439017084e-105
"FGFFFLIJ_01671",16260.5258243614,-3.67302300297788,0.167227328451774,-21.9642509210875,6.32921330867842e-107,2.1553608488262e-104
"FGFFFLIJ_04616",7412.01451480543,3.65101668156931,0.167439979694697,21.804927880584,2.08334583583707e-105,6.81087420651857e-103
"FGFFFLIJ_03985",726.457441026361,-3.99698038835062,0.185788314325822,-21.5136264240011,1.16066325283357e-102,3.64850029438798e-100
"FGFFFLIJ_00022",5075.38570008138,-3.66915757236226,0.171319316279033,-21.4170687348892,9.26380587156885e-102,2.80418834771601e-99
"FGFFFLIJ_07322",1812.4273245138,-3.13402238213792,0.147248507624008,-21.2838991220237,1.60061946349137e-100,4.67209388396962e-98
"FGFFFLIJ_07276",18697.4101916194,-3.71339372861315,0.177242024443327,-20.9509778523236,1.83817916418051e-97,5.18049596856803e-95
"FGFFFLIJ_00348",706.539388722382,4.31927671157781,0.207248214948801,20.8410804051792,1.83647156816273e-96,5.00316070886466e-94
"FGFFFLIJ_01127",662.743754952111,4.62942729448685,0.222199691625653,20.8345351904727,2.10548680806915e-96,5.55101409108037e-94
"FGFFFLIJ_04103",557.654773026979,5.9296049372355,0.285739319821994,20.7517990206228,1.18089122795901e-95,3.01607000190905e-93
"FGFFFLIJ_02459",1052.37339686298,-3.15128537870988,0.153134819449427,-20.5785032433502,4.27684200013094e-94,1.05923120203243e-91
"FGFFFLIJ_00352",638.942520619651,4.82642838932082,0.234616112690065,20.5715981480636,4.93139352569759e-94,1.18541997898607e-91
"FGFFFLIJ_04093",1034.64071382318,8.25437416015919,0.410719803515238,20.097336650223,7.78616777708998e-90,1.81818140691876e-87
"FGFFFLIJ_04094",545.172609324929,6.04975396328388,0.302755420424923,19.9823142878596,7.84991921329034e-89,1.78214971472839e-86
"FGFFFLIJ_04107",1902.57683356334,3.40694698133956,0.171169411357014,19.9039475238574,3.76108237335885e-88,8.30792601012484e-86
"FGFFFLIJ_00203",12180.8988428077,-3.11032992666316,0.15656226333571,-19.8664088037218,7.94902487525244e-88,1.70966790277469e-85
"FGFFFLIJ_00345",522.517327273169,6.41111446892306,0.326887462548976,19.612604346863,1.20690764930544e-85,2.52924518404445e-83
"FGFFFLIJ_00359",1374.72449099826,3.41634692168943,0.17429763657973,19.6006497203803,1.52662271762827e-85,3.11927186779395e-83
"FGFFFLIJ_04753",534.241653639632,6.43827560385413,0.332581050820514,19.3585160308147,1.7279169736174e-83,3.44445498179879e-81
