locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGFFFLIJ_00001	CDS	828				hypothetical protein
FGFFFLIJ_00002	CDS	651				hypothetical protein
FGFFFLIJ_00003	CDS	1395				hypothetical protein
FGFFFLIJ_00004	CDS	507				hypothetical protein
FGFFFLIJ_00005	CDS	870				hypothetical protein
FGFFFLIJ_00006	CDS	492	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
FGFFFLIJ_00007	CDS	2040				hypothetical protein
FGFFFLIJ_00008	CDS	1365				hypothetical protein
FGFFFLIJ_00009	CDS	576				hypothetical protein
FGFFFLIJ_00010	CDS	1644				hypothetical protein
FGFFFLIJ_00011	CDS	126				hypothetical protein
FGFFFLIJ_00012	CDS	258				hypothetical protein
FGFFFLIJ_00013	CDS	288				hypothetical protein
FGFFFLIJ_00014	CDS	1038				hypothetical protein
FGFFFLIJ_00015	CDS	195				hypothetical protein
FGFFFLIJ_00016	CDS	156				hypothetical protein
FGFFFLIJ_00017	CDS	948	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
FGFFFLIJ_00018	CDS	567				hypothetical protein
FGFFFLIJ_00019	CDS	579				hypothetical protein
FGFFFLIJ_00020	CDS	189				hypothetical protein
FGFFFLIJ_00021	CDS	612				hypothetical protein
FGFFFLIJ_00022	CDS	3984				hypothetical protein
FGFFFLIJ_00023	CDS	537				hypothetical protein
FGFFFLIJ_00024	CDS	1545				hypothetical protein
FGFFFLIJ_00025	CDS	1779				hypothetical protein
FGFFFLIJ_00026	CDS	1167				hypothetical protein
FGFFFLIJ_00027	CDS	483				hypothetical protein
FGFFFLIJ_00028	CDS	477				hypothetical protein
FGFFFLIJ_00029	CDS	108				hypothetical protein
FGFFFLIJ_00030	CDS	954				hypothetical protein
FGFFFLIJ_00031	CDS	1062				hypothetical protein
FGFFFLIJ_00032	CDS	546				hypothetical protein
FGFFFLIJ_00033	CDS	447				hypothetical protein
FGFFFLIJ_00034	CDS	387				hypothetical protein
FGFFFLIJ_00035	CDS	1353	pksS_1	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
FGFFFLIJ_00036	CDS	1389	ptlI_1	1.14.15.32	COG2124	Pentalenene oxygenase
FGFFFLIJ_00037	CDS	330				hypothetical protein
FGFFFLIJ_00038	CDS	234				hypothetical protein
FGFFFLIJ_00039	CDS	444				hypothetical protein
FGFFFLIJ_00040	CDS	1233				hypothetical protein
FGFFFLIJ_00041	CDS	312		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
FGFFFLIJ_00042	CDS	357				hypothetical protein
FGFFFLIJ_00043	CDS	1152		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
FGFFFLIJ_00044	CDS	582				hypothetical protein
FGFFFLIJ_00045	CDS	465				hypothetical protein
FGFFFLIJ_00046	CDS	792				hypothetical protein
FGFFFLIJ_00047	CDS	795			COG3324	Putative glyoxylase CFP32
FGFFFLIJ_00048	CDS	1293	cpgS	6.5.-.-		Cyclic 2,3-diphosphoglycerate synthetase
FGFFFLIJ_00049	CDS	1167				hypothetical protein
FGFFFLIJ_00050	CDS	954				hypothetical protein
FGFFFLIJ_00051	CDS	1206				hypothetical protein
FGFFFLIJ_00052	CDS	612				hypothetical protein
FGFFFLIJ_00053	CDS	807	linC_1	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
FGFFFLIJ_00054	CDS	357				hypothetical protein
FGFFFLIJ_00055	CDS	957	hcaR_1			Hca operon transcriptional activator HcaR
FGFFFLIJ_00056	CDS	1194		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
FGFFFLIJ_00057	CDS	696	hdl IVa_1	3.8.1.2		(S)-2-haloacid dehalogenase 4A
FGFFFLIJ_00058	CDS	717				hypothetical protein
FGFFFLIJ_00059	CDS	516				hypothetical protein
FGFFFLIJ_00060	CDS	1239	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
FGFFFLIJ_00061	CDS	642				hypothetical protein
FGFFFLIJ_00062	CDS	591	rppH	3.6.1.-		RNA pyrophosphohydrolase
FGFFFLIJ_00063	CDS	765				hypothetical protein
FGFFFLIJ_00064	CDS	624	tetR_1			Tetracycline repressor protein class H
FGFFFLIJ_00065	CDS	1605	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
FGFFFLIJ_00066	CDS	1014				hypothetical protein
FGFFFLIJ_00067	CDS	1524				hypothetical protein
FGFFFLIJ_00068	CDS	801				hypothetical protein
FGFFFLIJ_00069	CDS	903				hypothetical protein
FGFFFLIJ_00070	CDS	846				hypothetical protein
FGFFFLIJ_00071	CDS	750	ydaD	1.-.-.-		General stress protein 39
FGFFFLIJ_00072	tRNA	90				tRNA-Asp(gtc)
