locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFIBJOL_00001	CDS	552				hypothetical protein
HFFIBJOL_00002	CDS	267				hypothetical protein
HFFIBJOL_00003	CDS	249				hypothetical protein
HFFIBJOL_00004	CDS	729				hypothetical protein
HFFIBJOL_00005	CDS	906				hypothetical protein
HFFIBJOL_00006	CDS	288				hypothetical protein
HFFIBJOL_00007	CDS	1140				hypothetical protein
HFFIBJOL_00008	CDS	591				hypothetical protein
HFFIBJOL_00009	CDS	489				hypothetical protein
HFFIBJOL_00010	CDS	162				hypothetical protein
HFFIBJOL_00011	CDS	180				hypothetical protein
HFFIBJOL_00012	CDS	366	dhbF_1		COG1020	Dimodular nonribosomal peptide synthase
HFFIBJOL_00013	CDS	2847	dhbF_2		COG1020	Dimodular nonribosomal peptide synthase
HFFIBJOL_00014	CDS	393				hypothetical protein
HFFIBJOL_00015	CDS	231	dhbB_1	3.3.2.1	COG1535	Isochorismatase
HFFIBJOL_00016	CDS	978	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
HFFIBJOL_00017	CDS	1089	fepD_1		COG0609	Ferric enterobactin transport system permease protein FepD
HFFIBJOL_00018	CDS	1158	feuC_1		COG0609	Iron-uptake system permease protein FeuC
HFFIBJOL_00019	CDS	999	ispH2_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
HFFIBJOL_00020	CDS	1398				hypothetical protein
HFFIBJOL_00021	CDS	777		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
HFFIBJOL_00022	CDS	309				hypothetical protein
HFFIBJOL_00023	CDS	585				hypothetical protein
HFFIBJOL_00024	CDS	813				hypothetical protein
HFFIBJOL_00025	CDS	384				hypothetical protein
HFFIBJOL_00026	CDS	222				hypothetical protein
HFFIBJOL_00027	CDS	639				hypothetical protein
HFFIBJOL_00028	CDS	774				hypothetical protein
HFFIBJOL_00029	CDS	543				hypothetical protein
HFFIBJOL_00030	CDS	2640				hypothetical protein
HFFIBJOL_00031	CDS	591				hypothetical protein
HFFIBJOL_00032	CDS	852	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
HFFIBJOL_00033	CDS	237	gph_1	3.1.3.18		Phosphoglycolate phosphatase
HFFIBJOL_00034	CDS	174				hypothetical protein
HFFIBJOL_00035	CDS	984	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
HFFIBJOL_00036	CDS	468				hypothetical protein
HFFIBJOL_00037	CDS	288				hypothetical protein
HFFIBJOL_00038	CDS	687			COG1926	putative protein
HFFIBJOL_00039	CDS	1350			COG1926	putative protein
HFFIBJOL_00040	CDS	681			COG1926	Putative phosphoribosyl transferase
HFFIBJOL_00041	CDS	1494	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
HFFIBJOL_00042	CDS	354				hypothetical protein
HFFIBJOL_00043	CDS	984				hypothetical protein
HFFIBJOL_00044	CDS	1203				hypothetical protein
HFFIBJOL_00045	CDS	918			COG3039	IS5 family transposase IS4811
HFFIBJOL_00046	CDS	909	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
HFFIBJOL_00047	CDS	993	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
HFFIBJOL_00048	CDS	282				hypothetical protein
HFFIBJOL_00049	CDS	324				hypothetical protein
HFFIBJOL_00050	CDS	474	cadI		COG0346	Cadmium-induced protein CadI
HFFIBJOL_00051	CDS	378				hypothetical protein
HFFIBJOL_00052	CDS	1122	acr3		COG0798	Arsenical-resistance protein Acr3
HFFIBJOL_00053	CDS	495	arsC	1.20.4.4		Arsenate reductase
HFFIBJOL_00054	CDS	1284				hypothetical protein
HFFIBJOL_00055	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
HFFIBJOL_00056	CDS	939	cysL		COG0583	HTH-type transcriptional regulator CysL
HFFIBJOL_00057	CDS	1008	yfmJ_1	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
HFFIBJOL_00058	CDS	1962	bmrA_1	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
HFFIBJOL_00059	CDS	417				hypothetical protein
HFFIBJOL_00060	CDS	258				hypothetical protein
HFFIBJOL_00061	CDS	1857				hypothetical protein
HFFIBJOL_00062	CDS	108				hypothetical protein
HFFIBJOL_00063	CDS	99				hypothetical protein
HFFIBJOL_00064	CDS	750				hypothetical protein
HFFIBJOL_00065	CDS	600				hypothetical protein
HFFIBJOL_00066	CDS	1245				hypothetical protein
HFFIBJOL_00067	CDS	891				hypothetical protein
HFFIBJOL_00068	CDS	471				hypothetical protein
HFFIBJOL_00069	CDS	1017	sigJ_1			ECF RNA polymerase sigma factor SigJ
HFFIBJOL_00070	CDS	783				hypothetical protein
HFFIBJOL_00071	CDS	372				hypothetical protein
HFFIBJOL_00072	CDS	321				hypothetical protein
HFFIBJOL_00073	CDS	3099			COG0247	putative protein
HFFIBJOL_00074	CDS	1755		3.2.1.28	COG3387	Trehalase
HFFIBJOL_00075	CDS	1029	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
HFFIBJOL_00076	CDS	819	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
HFFIBJOL_00077	CDS	1620				hypothetical protein
HFFIBJOL_00078	CDS	762	tipA_1			HTH-type transcriptional activator TipA
HFFIBJOL_00079	CDS	3690	narG_1	1.7.5.1	COG5013	Nitrate reductase alpha subunit
HFFIBJOL_00080	CDS	1641	narY_1	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
HFFIBJOL_00081	CDS	627				hypothetical protein
HFFIBJOL_00082	CDS	807	narX_1		COG2180	Nitrate reductase-like protein NarX
HFFIBJOL_00083	CDS	933				hypothetical protein
HFFIBJOL_00084	CDS	1284	icl	4.1.3.1	COG2224	Isocitrate lyase
HFFIBJOL_00085	CDS	1599	aceB_1	2.3.3.9		Malate synthase
HFFIBJOL_00086	CDS	870	fadB2_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
HFFIBJOL_00087	CDS	1140	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
HFFIBJOL_00088	CDS	906	mmgF	4.1.3.-	COG2513	2-methylisocitrate lyase
HFFIBJOL_00089	CDS	1509	prpD2	4.2.1.79	COG2079	2-methylcitrate dehydratase 2
HFFIBJOL_00090	CDS	1443	prpR		COG1396	HTH-type transcriptional regulator PrpR
HFFIBJOL_00091	CDS	570	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
HFFIBJOL_00092	CDS	999	paoB_1	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
HFFIBJOL_00093	CDS	2229	paoC_1	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
HFFIBJOL_00094	CDS	210				hypothetical protein
HFFIBJOL_00095	CDS	756	embR_1		COG1716	Transcriptional regulatory protein EmbR
HFFIBJOL_00096	CDS	1692	otr(B)			oxytetracycline resistance efflux MFS transporter OtrB
HFFIBJOL_00097	CDS	498				hypothetical protein
HFFIBJOL_00098	CDS	1278		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 1
