# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-a" "/home/lukasa/Genome_analysis_project/05-annotation/R7_prokka_output/R7_annotation.gtf" "-o" "R7_counts_64.txt" "-g" "gene_id" "-t" "transcript" "/home/lukasa/Genome_analysis_project/07-RNA_mapping/64_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lukasa/Genome_analysis_project/07-RNA_mapping/64_sorted.bam
FGFFFLIJ_00001	contig_2_pilon	515	1342	+	828	11
FGFFFLIJ_00002	contig_2_pilon	1294	1944	+	651	2
FGFFFLIJ_00003	contig_2_pilon	1944	3338	+	1395	46
FGFFFLIJ_00004	contig_2_pilon	3456	3962	+	507	204
FGFFFLIJ_00005	contig_2_pilon	3973	4842	+	870	362
FGFFFLIJ_00006	contig_2_pilon	4969	5460	-	492	10
FGFFFLIJ_00007	contig_2_pilon	5534	7573	+	2040	550
FGFFFLIJ_00008	contig_2_pilon	7585	8949	+	1365	414
FGFFFLIJ_00009	contig_2_pilon	9083	9658	-	576	37
FGFFFLIJ_00010	contig_2_pilon	9658	11301	-	1644	154
FGFFFLIJ_00011	contig_2_pilon	11409	11534	-	126	13
FGFFFLIJ_00012	contig_2_pilon	12464	12721	+	258	9
FGFFFLIJ_00013	contig_2_pilon	12779	13066	-	288	53
FGFFFLIJ_00014	contig_2_pilon	13313	14350	-	1038	623
FGFFFLIJ_00015	contig_2_pilon	14453	14647	+	195	1
FGFFFLIJ_00016	contig_2_pilon	14644	14799	+	156	0
FGFFFLIJ_00017	contig_2_pilon	14973	15920	-	948	77
FGFFFLIJ_00018	contig_2_pilon	16067	16633	+	567	128
FGFFFLIJ_00019	contig_2_pilon	17025	17603	-	579	133
FGFFFLIJ_00020	contig_2_pilon	18119	18307	-	189	121
FGFFFLIJ_00021	contig_2_pilon	18560	19171	-	612	2003
FGFFFLIJ_00022	contig_2_pilon	19212	23195	-	3984	1075
FGFFFLIJ_00023	contig_2_pilon	23497	24033	+	537	67
FGFFFLIJ_00024	contig_2_pilon	24614	26158	+	1545	64
FGFFFLIJ_00025	contig_2_pilon	26380	28158	+	1779	16
FGFFFLIJ_00026	contig_2_pilon	28155	29321	+	1167	27
FGFFFLIJ_00027	contig_2_pilon	29491	29973	+	483	18
FGFFFLIJ_00028	contig_2_pilon	29922	30398	+	477	15
FGFFFLIJ_00029	contig_2_pilon	30728	30835	+	108	4
FGFFFLIJ_00030	contig_2_pilon	31504	32457	-	954	220
FGFFFLIJ_00031	contig_2_pilon	32923	33984	-	1062	34
FGFFFLIJ_00032	contig_2_pilon	33981	34526	-	546	8
FGFFFLIJ_00033	contig_2_pilon	35552	35998	+	447	13
FGFFFLIJ_00034	contig_2_pilon	36434	36820	+	387	66
FGFFFLIJ_00035	contig_2_pilon	37413	38765	-	1353	1165
FGFFFLIJ_00036	contig_2_pilon	39021	40409	-	1389	382
FGFFFLIJ_00037	contig_2_pilon	41422	41751	+	330	20
FGFFFLIJ_00038	contig_2_pilon	42730	42963	-	234	31
FGFFFLIJ_00039	contig_2_pilon	43136	43579	+	444	696
FGFFFLIJ_00040	contig_2_pilon	43680	44912	-	1233	31
FGFFFLIJ_00041	contig_2_pilon	45246	45557	-	312	4
FGFFFLIJ_00042	contig_2_pilon	45677	46033	+	357	20
FGFFFLIJ_00043	contig_2_pilon	46996	48147	-	1152	16
FGFFFLIJ_00044	contig_2_pilon	48388	48969	-	582	2
FGFFFLIJ_00045	contig_2_pilon	49110	49574	-	465	2
FGFFFLIJ_00046	contig_2_pilon	50023	50814	-	792	21
FGFFFLIJ_00047	contig_2_pilon	51208	52002	+	795	30
FGFFFLIJ_00048	contig_2_pilon	52044	53336	-	1293	22
FGFFFLIJ_00049	contig_2_pilon	53697	54863	+	1167	35
FGFFFLIJ_00050	contig_2_pilon	54914	55867	-	954	18
FGFFFLIJ_00051	contig_2_pilon	55931	57136	+	1206	42
FGFFFLIJ_00052	contig_2_pilon	57356	57967	-	612	3
FGFFFLIJ_00053	contig_2_pilon	58264	59070	-	807	0
FGFFFLIJ_00054	contig_2_pilon	59067	59423	-	357	4
FGFFFLIJ_00055	contig_2_pilon	59467	60423	+	957	26
FGFFFLIJ_00056	contig_2_pilon	60651	61844	+	1194	78
FGFFFLIJ_00057	contig_2_pilon	62131	62826	+	696	80
FGFFFLIJ_00058	contig_2_pilon	63030	63746	+	717	34
FGFFFLIJ_00059	contig_2_pilon	63958	64473	+	516	101
FGFFFLIJ_00060	contig_2_pilon	65006	66244	+	1239	27
FGFFFLIJ_00061	contig_2_pilon	66592	67233	+	642	11
FGFFFLIJ_00062	contig_2_pilon	67681	68271	-	591	40
FGFFFLIJ_00063	contig_2_pilon	68249	69013	-	765	24
FGFFFLIJ_00064	contig_2_pilon	69271	69894	-	624	58
FGFFFLIJ_00065	contig_2_pilon	70041	71645	+	1605	46
FGFFFLIJ_00066	contig_2_pilon	72298	73311	+	1014	26
FGFFFLIJ_00067	contig_2_pilon	73411	74934	+	1524	25
FGFFFLIJ_00068	contig_2_pilon	75044	75844	+	801	59
FGFFFLIJ_00069	contig_2_pilon	75930	76832	-	903	6
FGFFFLIJ_00070	contig_2_pilon	76958	77803	+	846	395
FGFFFLIJ_00071	contig_2_pilon	77999	78748	-	750	30
FGFFFLIJ_00072	contig_2_pilon	79053	79142	-	90	0
FGFFFLIJ_00073	contig_2_pilon	79547	81166	+	1620	51
FGFFFLIJ_00074	contig_2_pilon	81189	82319	-	1131	45
FGFFFLIJ_00075	contig_2_pilon	82351	83460	-	1110	13
FGFFFLIJ_00076	contig_2_pilon	83505	84278	-	774	10
FGFFFLIJ_00077	contig_2_pilon	84275	85357	-	1083	17
FGFFFLIJ_00078	contig_2_pilon	85628	86731	-	1104	861
FGFFFLIJ_00079	contig_2_pilon	86933	87481	-	549	1090
FGFFFLIJ_00080	contig_2_pilon	87617	87826	-	210	61
FGFFFLIJ_00081	contig_2_pilon	87867	88343	-	477	96
FGFFFLIJ_00082	contig_2_pilon	88520	89344	-	825	98
FGFFFLIJ_00083	contig_2_pilon	89424	90131	-	708	157
FGFFFLIJ_00084	contig_2_pilon	90268	91146	-	879	17
FGFFFLIJ_00085	contig_2_pilon	91264	91797	-	534	84
FGFFFLIJ_00086	contig_2_pilon	91944	92660	+	717	104
FGFFFLIJ_00087	contig_2_pilon	92719	93963	-	1245	509
FGFFFLIJ_00088	contig_2_pilon	94055	95269	-	1215	272
FGFFFLIJ_00089	contig_2_pilon	95266	98427	-	3162	615
FGFFFLIJ_00090	contig_2_pilon	98484	98972	-	489	225
FGFFFLIJ_00091	contig_2_pilon	99399	100424	-	1026	64
FGFFFLIJ_00092	contig_2_pilon	100626	101021	+	396	0
FGFFFLIJ_00093	contig_2_pilon	100978	103188	-	2211	0
FGFFFLIJ_00094	contig_2_pilon	103185	105059	-	1875	17
FGFFFLIJ_00095	contig_2_pilon	105099	106316	-	1218	87
FGFFFLIJ_00096	contig_2_pilon	106313	106600	-	288	15
FGFFFLIJ_00097	contig_2_pilon	106597	107952	-	1356	151
FGFFFLIJ_00098	contig_2_pilon	108049	108495	+	447	96
FGFFFLIJ_00099	contig_2_pilon	108807	109241	+	435	24
FGFFFLIJ_00100	contig_2_pilon	109419	112598	+	3180	86
FGFFFLIJ_00101	contig_2_pilon	112686	114200	-	1515	46
FGFFFLIJ_00102	contig_2_pilon	114215	115807	-	1593	33
FGFFFLIJ_00103	contig_2_pilon	116040	117680	+	1641	24
FGFFFLIJ_00104	contig_2_pilon	117702	118454	-	753	228
FGFFFLIJ_00105	contig_2_pilon	118451	119107	-	657	597
FGFFFLIJ_00106	contig_2_pilon	119104	119853	-	750	335
FGFFFLIJ_00107	contig_2_pilon	119850	120884	-	1035	1560
FGFFFLIJ_00108	contig_2_pilon	121187	121537	+	351	0
FGFFFLIJ_00109	contig_2_pilon	121587	122225	+	639	8
FGFFFLIJ_00110	contig_2_pilon	122622	126914	+	4293	1403
FGFFFLIJ_00111	contig_2_pilon	126994	129498	+	2505	149
FGFFFLIJ_00112	contig_2_pilon	129592	130518	+	927	19
FGFFFLIJ_00113	contig_2_pilon	130541	131275	-	735	38
FGFFFLIJ_00114	contig_2_pilon	131309	131908	-	600	77
FGFFFLIJ_00115	contig_2_pilon	132055	132246	+	192	38
FGFFFLIJ_00116	contig_2_pilon	132243	133430	+	1188	87
FGFFFLIJ_00117	contig_2_pilon	133464	133979	+	516	26
FGFFFLIJ_00118	contig_2_pilon	134020	135690	-	1671	74
