locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFIBJOL_00001	CDS	552				Ferric enterobactin transport system permease protein FepG [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00002	CDS	267				hypothetical protein
HFFIBJOL_00003	CDS	249				hypothetical protein
HFFIBJOL_00004	CDS	729				hypothetical protein
HFFIBJOL_00005	CDS	906				hypothetical protein
HFFIBJOL_00006	CDS	288				Acetyltransferase (GNAT) family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00007	CDS	1140				hypothetical protein
HFFIBJOL_00008	CDS	591				hypothetical protein
HFFIBJOL_00009	CDS	489				Helix-turn-helix domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00010	CDS	162				Virginiamycin B lyase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00011	CDS	180				Virginiamycin B lyase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00012	CDS	366				Dimodular nonribosomal peptide synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00013	CDS	2847				Dimodular nonribosomal peptide synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00014	CDS	393				hypothetical protein
HFFIBJOL_00015	CDS	231				Isochorismatase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00016	CDS	978				putative siderophore-binding lipoprotein YfiY precursor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00017	CDS	1089				Ferric enterobactin transport system permease protein FepD [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00018	CDS	1158				Iron-uptake system permease protein FeuC [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00019	CDS	999				4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00020	CDS	1398				Protein involved in sporulation [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00021	CDS	777				Gluconate 5-dehydrogenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00022	CDS	309				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00023	CDS	585				Pyridoxamine 5'-phosphate oxidase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00024	CDS	813				S-adenosyl methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00025	CDS	384				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00026	CDS	222				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00027	CDS	639				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00028	CDS	774				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00029	CDS	543				Acetyltransferase (GNAT) family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00030	CDS	2640				Phosphoserine phosphatase RsbU [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00031	CDS	591				Transcriptional regulator, TetR family [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00032	CDS	852				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00033	CDS	237				Phosphatase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00034	CDS	174				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00035	CDS	984				HTH-type transcriptional regulator CdhR [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00036	CDS	468				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00037	CDS	288				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00038	CDS	687				Putative phosphoribosyl transferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00039	CDS	1350				Erythromycin esterase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00040	CDS	681				Putative phosphoribosyl transferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00041	CDS	1494				putative HTH-type transcriptional regulator YdcR [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00042	CDS	354				Cupin domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00043	CDS	984				putative DMT superfamily transporter inner membrane protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00044	CDS	1203				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00045	CDS	918				Regulatory protein SoxS [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00046	CDS	909				Quinone oxidoreductase 1 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00047	CDS	993				General stress protein 69 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00048	CDS	282				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00049	CDS	324				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00050	CDS	474				Cadmium-induced protein CadI [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00051	CDS	378				Arsenical resistance operon repressor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00052	CDS	1122				Sodium Bile acid symporter family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00053	CDS	495				Arsenate-mycothiol transferase ArsC2 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00054	CDS	1284				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00055	CDS	837				HTH-type transcriptional regulator YesS [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00056	CDS	939				HTH-type transcriptional regulator CysL [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00057	CDS	1008				Putative NADP-dependent oxidoreductase YfmJ [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00058	CDS	1962				Multidrug resistance ABC transporter ATP-binding/permease protein BmrA [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00059	CDS	417				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00060	CDS	258				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00061	CDS	1857				Asparagine synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00062	CDS	108				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00063	CDS	99				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00064	CDS	750				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00065	CDS	600				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00066	CDS	1245				hypothetical protein [Streptomyces rimosus subsp. rimosus]
