locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGFFFLIJ_00001	CDS	828				Helicase associated domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00002	CDS	651				Helicase associated domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00003	CDS	1395				Helicase associated domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00004	CDS	507				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00005	CDS	870				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00006	CDS	492				Protein-L-isoaspartate O-methyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00007	CDS	2040				HNH endonuclease [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00008	CDS	1365				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00009	CDS	576				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00010	CDS	1644				Helix-turn-helix protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00011	CDS	126				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00012	CDS	258				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00013	CDS	288				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00014	CDS	1038				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00015	CDS	195				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00016	CDS	156				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00017	CDS	948				F420-dependent glucose-6-phosphate dehydrogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00018	CDS	567				DNA-binding transcriptional regulator EnvR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00019	CDS	579				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00020	CDS	189				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00021	CDS	612				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00022	CDS	3984				Hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00023	CDS	537				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00024	CDS	1545				Trypsin [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00025	CDS	1779				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00026	CDS	1167				Acyltransferase family protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00027	CDS	483				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00028	CDS	477				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00029	CDS	108				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00030	CDS	954				Ribosome inactivating protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00031	CDS	1062				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00032	CDS	546				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00033	CDS	447				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00034	CDS	387				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00035	CDS	1353				cholestanetriol 26-monooxygenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00036	CDS	1389				Pentalenene oxygenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00037	CDS	330				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00038	CDS	234				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00039	CDS	444				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00040	CDS	1233				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00041	CDS	312				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00042	CDS	357				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00043	CDS	1152				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00044	CDS	582				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00045	CDS	465				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00046	CDS	792				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00047	CDS	795				27 kDa antigen Cfp30B [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00048	CDS	1293				Cyclic 2,3-diphosphoglycerate synthetase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00049	CDS	1167				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00050	CDS	954				Bifunctional ligase/repressor BirA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00051	CDS	1206				hypothetical protein [Streptomyces rimosus subsp. rimosus]
