# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-a" "/home/lukasa/Genome_analysis_project/05-annotation/HP126_prokka_output/HP126_annotation.gtf" "-o" "HP126_counts_61.txt" "-g" "gene_id" "-t" "transcript" "/home/lukasa/Genome_analysis_project/07-RNA_mapping/61_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lukasa/Genome_analysis_project/07-RNA_mapping/61_sorted.bam
HFFIBJOL_00001	contig_1_pilon	549	1100	+	552	0
HFFIBJOL_00002	contig_1_pilon	1851	2117	-	267	0
HFFIBJOL_00003	contig_1_pilon	2829	3077	+	249	0
HFFIBJOL_00004	contig_1_pilon	3473	4201	+	729	0
HFFIBJOL_00005	contig_1_pilon	4364	5269	-	906	0
HFFIBJOL_00006	contig_1_pilon	5308	5595	+	288	3
HFFIBJOL_00007	contig_1_pilon	5977	7116	+	1140	6
HFFIBJOL_00008	contig_1_pilon	7733	8323	-	591	0
HFFIBJOL_00009	contig_1_pilon	8682	9170	+	489	2
HFFIBJOL_00010	contig_1_pilon	9211	9372	-	162	1
HFFIBJOL_00011	contig_1_pilon	9574	9753	-	180	6
HFFIBJOL_00012	contig_1_pilon	10437	10802	-	366	0
HFFIBJOL_00013	contig_1_pilon	10817	13663	-	2847	10
HFFIBJOL_00014	contig_1_pilon	14086	14478	+	393	0
HFFIBJOL_00015	contig_1_pilon	14394	14624	-	231	2
HFFIBJOL_00016	contig_1_pilon	14748	15725	-	978	4
HFFIBJOL_00017	contig_1_pilon	15868	16956	+	1089	19
HFFIBJOL_00018	contig_1_pilon	16953	18110	+	1158	9
HFFIBJOL_00019	contig_1_pilon	18150	19148	-	999	2
HFFIBJOL_00020	contig_1_pilon	19554	20951	-	1398	2
HFFIBJOL_00021	contig_1_pilon	21338	22114	-	777	73
HFFIBJOL_00022	contig_1_pilon	22298	22606	-	309	583
HFFIBJOL_00023	contig_1_pilon	22895	23479	+	585	6
HFFIBJOL_00024	contig_1_pilon	23562	24374	-	813	72
HFFIBJOL_00025	contig_1_pilon	24480	24863	-	384	17
HFFIBJOL_00026	contig_1_pilon	24903	25124	-	222	22
HFFIBJOL_00027	contig_1_pilon	25240	25878	+	639	58
HFFIBJOL_00028	contig_1_pilon	25934	26707	+	774	119
HFFIBJOL_00029	contig_1_pilon	26775	27317	-	543	6
HFFIBJOL_00030	contig_1_pilon	27525	30164	-	2640	179
HFFIBJOL_00031	contig_1_pilon	30360	30950	-	591	31
HFFIBJOL_00032	contig_1_pilon	31061	31912	+	852	0
HFFIBJOL_00033	contig_1_pilon	31940	32176	-	237	6
HFFIBJOL_00034	contig_1_pilon	32303	32476	-	174	2
HFFIBJOL_00035	contig_1_pilon	32645	33628	-	984	22
HFFIBJOL_00036	contig_1_pilon	33867	34334	+	468	0
HFFIBJOL_00037	contig_1_pilon	34337	34624	+	288	0
HFFIBJOL_00038	contig_1_pilon	34654	35340	-	687	31
HFFIBJOL_00039	contig_1_pilon	35402	36751	-	1350	85
HFFIBJOL_00040	contig_1_pilon	36741	37421	-	681	33
HFFIBJOL_00041	contig_1_pilon	37574	39067	-	1494	0
HFFIBJOL_00042	contig_1_pilon	39300	39653	+	354	29
HFFIBJOL_00043	contig_1_pilon	39658	40641	-	984	14
HFFIBJOL_00044	contig_1_pilon	40991	42193	-	1203	57
HFFIBJOL_00045	contig_1_pilon	42552	43469	-	918	38
HFFIBJOL_00046	contig_1_pilon	43493	44401	-	909	44
HFFIBJOL_00047	contig_1_pilon	45295	46287	+	993	158
HFFIBJOL_00048	contig_1_pilon	46883	47164	+	282	23
HFFIBJOL_00049	contig_1_pilon	47405	47728	+	324	482
HFFIBJOL_00050	contig_1_pilon	48158	48631	-	474	6
HFFIBJOL_00051	contig_1_pilon	48748	49125	+	378	12
HFFIBJOL_00052	contig_1_pilon	49122	50243	+	1122	27
HFFIBJOL_00053	contig_1_pilon	50236	50730	+	495	20
HFFIBJOL_00054	contig_1_pilon	50802	52085	-	1284	606
HFFIBJOL_00055	contig_1_pilon	52375	53211	+	837	86
HFFIBJOL_00056	contig_1_pilon	53225	54163	-	939	12
HFFIBJOL_00057	contig_1_pilon	54298	55305	+	1008	6
HFFIBJOL_00058	contig_1_pilon	55381	57342	-	1962	20
HFFIBJOL_00059	contig_1_pilon	57347	57763	-	417	5
HFFIBJOL_00060	contig_1_pilon	57809	58066	-	258	23
HFFIBJOL_00061	contig_1_pilon	58089	59945	-	1857	66
HFFIBJOL_00062	contig_1_pilon	60091	60198	-	108	67
HFFIBJOL_00063	contig_1_pilon	60254	60352	+	99	0
HFFIBJOL_00064	contig_1_pilon	60571	61320	+	750	65
HFFIBJOL_00065	contig_1_pilon	61375	61974	-	600	24
HFFIBJOL_00066	contig_1_pilon	62071	63315	-	1245	63
HFFIBJOL_00067	contig_1_pilon	63558	64448	+	891	133
HFFIBJOL_00068	contig_1_pilon	64421	64891	-	471	15
HFFIBJOL_00069	contig_1_pilon	64879	65895	-	1017	9
HFFIBJOL_00070	contig_1_pilon	66009	66791	-	783	5
HFFIBJOL_00071	contig_1_pilon	66923	67294	+	372	33
HFFIBJOL_00072	contig_1_pilon	67443	67763	+	321	9
HFFIBJOL_00073	contig_1_pilon	68640	71738	-	3099	546
HFFIBJOL_00074	contig_1_pilon	71905	73659	-	1755	262
HFFIBJOL_00075	contig_1_pilon	73928	74956	+	1029	40
HFFIBJOL_00076	contig_1_pilon	74953	75771	+	819	2
HFFIBJOL_00077	contig_1_pilon	76320	77939	+	1620	50
HFFIBJOL_00078	contig_1_pilon	78399	79160	-	762	390
HFFIBJOL_00079	contig_1_pilon	79574	83263	+	3690	1463
HFFIBJOL_00080	contig_1_pilon	83265	84905	+	1641	648
HFFIBJOL_00081	contig_1_pilon	84902	85528	+	627	53
HFFIBJOL_00082	contig_1_pilon	85525	86331	+	807	214
HFFIBJOL_00083	contig_1_pilon	86331	87263	+	933	30
HFFIBJOL_00084	contig_1_pilon	87642	88925	+	1284	35
HFFIBJOL_00085	contig_1_pilon	89059	90657	+	1599	9
HFFIBJOL_00086	contig_1_pilon	90654	91523	+	870	4
HFFIBJOL_00087	contig_1_pilon	91589	92728	-	1140	165
HFFIBJOL_00088	contig_1_pilon	92779	93684	-	906	120
HFFIBJOL_00089	contig_1_pilon	93684	95192	-	1509	356
HFFIBJOL_00090	contig_1_pilon	95395	96837	+	1443	16
HFFIBJOL_00091	contig_1_pilon	97033	97602	+	570	41
HFFIBJOL_00092	contig_1_pilon	97599	98597	+	999	8
HFFIBJOL_00093	contig_1_pilon	98594	100822	+	2229	30
HFFIBJOL_00094	contig_1_pilon	101060	101269	+	210	27
